x	y	r	phi
-0.6540	0.0007	0.6540	3.1405
-0.6560	0.0032	0.6560	3.1367
-0.6600	0.0059	0.6600	3.1327
-0.6619	0.0084	0.6620	3.1288
-0.6639	0.0112	0.6640	3.1247
-0.6679	0.0133	0.6680	3.1217
-0.6698	0.0161	0.6700	3.1176
-0.6737	0.0187	0.6740	3.1138
-0.6757	0.0215	0.6760	3.1098
-0.6796	0.0242	0.6800	3.1059
-0.6835	0.0264	0.6840	3.1030
-0.6854	0.0293	0.6860	3.0988
-0.6892	0.0323	0.6900	3.0947
-0.6911	0.0351	0.6920	3.0909
-0.6948	0.0407	0.6960	3.0830
-0.6998	0.0551	0.7020	3.0631
-0.7017	0.0573	0.7040	3.0601
-0.6971	0.0633	0.7000	3.0511
-0.6949	0.0660	0.6980	3.0470
-0.6906	0.0682	0.6940	3.0432
-0.6884	0.0708	0.6920	3.0391
-0.6861	0.0732	0.6900	3.0353
-0.6838	0.0758	0.6880	3.0311
-0.6815	0.0784	0.6860	3.0271
-0.6792	0.0807	0.6840	3.0233
-0.6768	0.0838	0.6820	3.0184
-0.6745	0.0863	0.6800	3.0143
-0.6722	0.0889	0.6780	3.0101
-0.6698	0.0911	0.6760	3.0064
-0.6675	0.0936	0.6740	3.0023
-0.6651	0.0959	0.6720	2.9985
-0.6627	0.0983	0.6700	2.9943
-0.6604	0.1007	0.6680	2.9903
-0.6580	0.1029	0.6660	2.9865
-0.6555	0.1058	0.6640	2.9816
-0.6531	0.1082	0.6620	2.9775
-0.6527	0.1109	0.6620	2.9733
-0.6503	0.1130	0.6600	2.9696
-0.6478	0.1153	0.6580	2.9655
-0.6454	0.1174	0.6560	2.9616
-0.6430	0.1197	0.6540	2.9575
-0.6405	0.1219	0.6520	2.9535
-0.6381	0.1240	0.6500	2.9497
-0.6356	0.1262	0.6480	2.9455
-0.6351	0.1286	0.6480	2.9418
-0.6325	0.1314	0.6460	2.9368
-0.6300	0.1335	0.6440	2.9328
-0.6295	0.1361	0.6440	2.9287
-0.6270	0.1381	0.6420	2.9248
-0.6225	0.1398	0.6380	2.9207
-0.6220	0.1421	0.6380	2.9170
-0.6194	0.1442	0.6360	2.9128
-0.6169	0.1463	0.6340	2.9087
-0.6163	0.1486	0.6340	2.9050
-0.6138	0.1507	0.6320	2.9009
-0.6111	0.1532	0.6300	2.8960
-0.6085	0.1552	0.6280	2.8918
-0.6060	0.1570	0.6260	2.8880
-0.6034	0.1590	0.6240	2.8839
-0.6027	0.1615	0.6240	2.8799
-0.6021	0.1639	0.6240	2.8757
-0.5995	0.1659	0.6220	2.8716
-0.5969	0.1676	0.6200	2.8679
-0.5962	0.1701	0.6200	2.8638
-0.5936	0.1720	0.6180	2.8596
-0.5910	0.1738	0.6160	2.8556
-0.5903	0.1762	0.6160	2.8515
-0.5875	0.1785	0.6140	2.8466
-0.5848	0.1803	0.6120	2.8425
-0.5822	0.1822	0.6100	2.8383
-0.5814	0.1845	0.6100	2.8343
-0.5788	0.1863	0.6080	2.8302
-0.5780	0.1887	0.6080	2.8261
-0.5754	0.1902	0.6060	2.8223
-0.5746	0.1926	0.6060	2.8182
-0.5719	0.1943	0.6040	2.8141
-0.5711	0.1966	0.6040	2.8101
-0.5684	0.1983	0.6020	2.8059
-0.5676	0.2006	0.6020	2.8018
-0.5649	0.2022	0.6000	2.7978
-0.5620	0.2044	0.5980	2.7928
-0.5612	0.2066	0.5980	2.7888
-0.5584	0.2082	0.5960	2.7847
-0.5576	0.2105	0.5960	2.7805
-0.5568	0.2126	0.5960	2.7768
-0.5540	0.2142	0.5940	2.7727
-0.5513	0.2158	0.5920	2.7685
-0.5504	0.2180	0.5920	2.7645
-0.5477	0.2195	0.5900	2.7604
-0.5467	0.2218	0.5900	2.7563
-0.5440	0.2232	0.5880	2.7522
-0.5431	0.2253	0.5880	2.7484
-0.5422	0.2275	0.5880	2.7443
-0.5394	0.2290	0.5860	2.7402
-0.5385	0.2311	0.5860	2.7361
-0.5355	0.2330	0.5840	2.7313
-0.5346	0.2352	0.5840	2.7271
-0.5318	0.2366	0.5820	2.7230
-0.5308	0.2387	0.5820	2.7190
-0.5298	0.2409	0.5820	2.7149
-0.5270	0.2422	0.5800	2.7107
