x	y	r	phi
-0.0991	0.9890	0.9940	1.6707
-0.0945	0.9835	0.9880	1.6666
-0.0904	0.9839	0.9880	1.6625
-0.0864	0.9862	0.9900	1.6581
-0.0821	0.9846	0.9880	1.6540
-0.0781	0.9849	0.9880	1.6499
-0.0739	0.9832	0.9860	1.6459
-0.0700	0.9855	0.9880	1.6417
-0.0658	0.9838	0.9860	1.6376
-0.0605	0.9801	0.9820	1.6324
-0.0563	0.9764	0.9780	1.6284
-0.0521	0.9726	0.9740	1.6243
-0.0482	0.9748	0.9760	1.6202
-0.0440	0.9750	0.9760	1.6159
-0.0399	0.9732	0.9740	1.6117
-0.0358	0.9713	0.9720	1.6076
-0.0318	0.9695	0.9700	1.6036
-0.0277	0.9676	0.9680	1.5995
-0.0237	0.9657	0.9660	1.5953
-0.0198	0.9638	0.9640	1.5913
-0.0155	0.9619	0.9620	1.5869
-0.0116	0.9619	0.9620	1.5829
-0.0076	0.9600	0.9600	1.5788
-0.0037	0.9540	0.9540	1.5746
0.0002	0.9560	0.9560	1.5706
0.0041	0.9560	0.9560	1.5665
0.0080	0.9540	0.9540	1.5624
0.0121	0.9519	0.9520	1.5580
0.0161	0.9519	0.9520	1.5539
0.0200	0.9518	0.9520	1.5498
0.0238	0.9517	0.9520	1.5458
0.0276	0.9476	0.9480	1.5417
0.0315	0.9475	0.9480	1.5375
0.0355	0.9453	0.9460	1.5332
0.0394	0.9452	0.9460	1.5291
0.0432	0.9450	0.9460	1.5251
0.0480	0.9428	0.9440	1.5199
0.0518	0.9406	0.9420	1.5158
0.0556	0.9384	0.9400	1.5116
0.0594	0.9381	0.9400	1.5076
0.0632	0.9379	0.9400	1.5035
0.0668	0.9336	0.9360	1.4994
0.0704	0.9313	0.9340	1.4953
0.0747	0.9330	0.9360	1.4909
0.0789	0.9367	0.9400	1.4868
0.0823	0.9324	0.9360	1.4828
0.0857	0.9280	0.9320	1.4787
0.0898	0.9297	0.9340	1.4745
0.0933	0.9273	0.9320	1.4705
0.0969	0.9249	0.9300	1.4664
0.1007	0.9225	0.9280	1.4621
0.1043	0.9201	0.9260	1.4580
0.1083	0.9217	0.9280	1.4538
0.1120	0.9212	0.9280	1.4498
0.1158	0.9207	0.9280	1.4457
0.1199	0.9222	0.9300	1.4416
0.1236	0.9218	0.9300	1.4375
0.1271	0.9172	0.9260	1.4331
0.1303	0.9127	0.9220	1.4290
0.1343	0.9142	0.9240	1.4250
0.1377	0.9117	0.9220	1.4208
0.1409	0.9071	0.9180	1.4167
0.1442	0.9046	0.9160	1.4127
0.1476	0.9020	0.9140	1.4086
0.1518	0.9033	0.9160	1.4043
0.1553	0.9027	0.9160	1.4004
0.1590	0.9021	0.9160	1.3963
0.1625	0.9015	0.9160	1.3925
0.1661	0.9008	0.9160	1.3884
0.1692	0.8982	0.9140	1.3846
0.1729	0.8975	0.9140	1.3805
0.1763	0.8968	0.9140	1.3767
0.1799	0.8961	0.9140	1.3726
0.1830	0.8935	0.9120	1.3688
0.1867	0.8927	0.9120	1.3647
0.1901	0.8920	0.9120	1.3608
0.1937	0.8912	0.9120	1.3568
0.1971	0.8904	0.9120	1.3530
0.2008	0.8896	0.9120	1.3488
0.2047	0.8867	0.9100	1.3440
0.2083	0.8858	0.9100	1.3398
0.2112	0.8831	0.9080	1.3360
0.2148	0.8822	0.9080	1.3320
0.2182	0.8814	0.9080	1.3281
0.2223	0.8824	0.9100	1.3240
0.2264	0.8876	0.9160	1.3210
0.2293	0.8848	0.9140	1.3172
0.2306	0.8720	0.9020	1.3123
0.2331	0.8672	0.8980	1.3082
0.2375	0.8702	0.9020	1.3044
0.2421	0.8731	0.9060	1.3003
0.2454	0.8721	0.9060	1.2965
