x	y	r	phi
0.2391	-0.1893	0.3050	-0.6697
0.2372	-0.1906	0.3043	-0.6767
0.2362	-0.1923	0.3046	-0.6833
0.2343	-0.1935	0.3038	-0.6903
0.2332	-0.1952	0.3041	-0.6968
0.2311	-0.1967	0.3035	-0.7051
0.2292	-0.1978	0.3027	-0.7121
0.2281	-0.1995	0.3030	-0.7186
0.2270	-0.2012	0.3033	-0.7252
0.2251	-0.2023	0.3026	-0.7320
0.2240	-0.2039	0.3029	-0.7386
0.2220	-0.2050	0.3022	-0.7456
0.2201	-0.2061	0.3015	-0.7526
0.2189	-0.2077	0.3018	-0.7591
0.2169	-0.2088	0.3011	-0.7664
0.2158	-0.2105	0.3014	-0.7729
0.2146	-0.2121	0.3017	-0.7794
0.2125	-0.2133	0.3011	-0.7873
0.2113	-0.2150	0.3014	-0.7941
0.2101	-0.2165	0.3017	-0.8005
0.2089	-0.2181	0.3020	-0.8069
0.2069	-0.2191	0.3013	-0.8138
0.2057	-0.2206	0.3017	-0.8203
0.2037	-0.2215	0.3010	-0.8273
0.2025	-0.2231	0.3013	-0.8337
0.2013	-0.2246	0.3016	-0.8401
0.1993	-0.2255	0.3010	-0.8471
0.1981	-0.2270	0.3013	-0.8535
0.1960	-0.2279	0.3006	-0.8604
0.1947	-0.2295	0.3010	-0.8670
0.1935	-0.2309	0.3013	-0.8734
0.1922	-0.2324	0.3016	-0.8798
0.1909	-0.2339	0.3019	-0.8862
0.1887	-0.2350	0.3014	-0.8943
0.1874	-0.2365	0.3017	-0.9007
0.1861	-0.2379	0.3020	-0.9070
0.1848	-0.2394	0.3024	-0.9134
0.1835	-0.2407	0.3027	-0.9194
0.1822	-0.2421	0.3030	-0.9257
0.1802	-0.2429	0.3024	-0.9326
0.1789	-0.2442	0.3027	-0.9386
0.1776	-0.2456	0.3031	-0.9449
0.1762	-0.2470	0.3034	-0.9512
0.1742	-0.2476	0.3028	-0.9577
0.1736	-0.2497	0.3041	-0.9633
0.1722	-0.2511	0.3045	-0.9696
0.1702	-0.2517	0.3038	-0.9761
0.1688	-0.2530	0.3042	-0.9824
0.1675	-0.2544	0.3045	-0.9886
0.1668	-0.2564	0.3059	-0.9939
0.1654	-0.2577	0.3062	-1.0001
0.1641	-0.2590	0.3066	-1.0060
0.1620	-0.2595	0.3059	-1.0128
0.1606	-0.2609	0.3063	-1.0191
0.1592	-0.2621	0.3067	-1.0249
0.1578	-0.2634	0.3070	-1.0311
0.1563	-0.2647	0.3074	-1.0373
0.1550	-0.2659	0.3077	-1.0431
0.1542	-0.2679	0.3091	-1.0487
0.1527	-0.2692	0.3095	-1.0548
0.1513	-0.2704	0.3098	-1.0607
0.1492	-0.2709	0.3092	-1.0674
0.1477	-0.2721	0.3096	-1.0735
0.1463	-0.2733	0.3100	-1.0793
0.1454	-0.2753	0.3113	-1.0847
0.1445	-0.2773	0.3127	-1.0902
0.1431	-0.2784	0.3130	-1.0960
0.1410	-0.2788	0.3124	-1.1027
0.1395	-0.2800	0.3128	-1.1085
0.1380	-0.2812	0.3132	-1.1145
0.1371	-0.2831	0.3146	-1.1200
0.1356	-0.2842	0.3149	-1.1257
0.1340	-0.2854	0.3153	-1.1318
0.1325	-0.2866	0.3157	-1.1378
0.1310	-0.2877	0.3161	-1.1435
0.1294	-0.2888	0.3165	-1.1495
0.1287	-0.2905	0.3178	-1.1537
0.1271	-0.2916	0.3182	-1.1597
0.1256	-0.2927	0.3185	-1.1654
0.1246	-0.2946	0.3199	-1.1707
0.1230	-0.2957	0.3203	-1.1767
0.1220	-0.2976	0.3217	-1.1817
0.1204	-0.2987	0.3221	-1.1877
0.1187	-0.2998	0.3225	-1.1937
0.1172	-0.3008	0.3228	-1.1993
0.1155	-0.3019	0.3232	-1.2052
0.1145	-0.3037	0.3246	-1.2102
0.1129	-0.3048	0.3250	-1.2162
0.1112	-0.3058	0.3254	-1.2221
0.1101	-0.3076	0.3268	-1.2271
0.1093	-0.3093	0.3281	-1.2311
0.1076	-0.3103	0.3285	-1.2370
0.1059	-0.3114	0.3289	-1.2429
0.1043	-0.3123	0.3293	-1.2485
0.1031	-0.3142	0.3306	-1.2537
0.1014	-0.3152	0.3311	-1.2596
0.1002	-0.3170	0.3324	-1.2645
0.0985	-0.3179	0.3328	-1.2703
0.0972	-0.3198	0.3342	-1.2756
0.0961	-0.3216	0.3356	-1.2805
0.0943	-0.3225	0.3360	-1.2862
0.0926	-0.3234	0.3364	-1.2920
0.0914	-0.3252	0.3378	-1.2969
0.0904	-0.3268	0.3391	-1.3010
0.0886	-0.3277	0.3395	-1.3068
0.0872	-0.3296	0.3409	-1.3120
0.0855	-0.3304	0.3413	-1.3175
0.0837	-0.3313	0.3417	-1.3232
0.0829	-0.3339	0.3441	-1.3275
0.0811	-0.3348	0.3445	-1.3333
0.0793	-0.3357	0.3449	-1.3389
0.0779	-0.3374	0.3463	-1.3438
0.0769	-0.3390	0.3476	-1.3478
0.0754	-0.3407	0.3490	-1.3530
0.0736	-0.3416	0.3494	-1.3587
0.0722	-0.3433	0.3508	-1.3635
0.0707	-0.3450	0.3522	-1.3686
0.0692	-0.3467	0.3536	-1.3738
0.0674	-0.3475	0.3540	-1.3792
0.0659	-0.3492	0.3554	-1.3843
0.0648	-0.3508	0.3567	-1.3882
0.0629	-0.3516	0.3571	-1.3939
0.0614	-0.3532	0.3585	-1.3987
0.0602	-0.3558	0.3609	-1.4032
0.0582	-0.3566	0.3613	-1.4089
0.0568	-0.3582	0.3627	-1.4137
0.0548	-0.3590	0.3631	-1.4193
0.0532	-0.3606	0.3645	-1.4244
0.0520	-0.3621	0.3658	-1.4283
0.0504	-0.3637	0.3672	-1.4331
0.0488	-0.3654	0.3686	-1.4381
0.0468	-0.3661	0.3691	-1.4438
0.0452	-0.3677	0.3704	-1.4485
0.0438	-0.3702	0.3728	-1.4531
0.0424	-0.3718	0.3742	-1.4572
0.0404	-0.3724	0.3746	-1.4628
0.0386	-0.3740	0.3760	-1.4679
0.0369	-0.3756	0.3774	-1.4729
0.0351	-0.3772	0.3788	-1.4780
0.0336	-0.3797	0.3812	-1.4825
0.0315	-0.3803	0.3816	-1.4881
0.0301	-0.3818	0.3830	-1.4922
0.0285	-0.3843	0.3854	-1.4967
0.0267	-0.3859	0.3868	-1.5018
0.0248	-0.3874	0.3882	-1.5068
0.0230	-0.3889	0.3896	-1.5117
0.0211	-0.3904	0.3910	-1.5168
0.0195	-0.3919	0.3924	-1.5210
0.0176	-0.3934	0.3938	-1.5260
0.0157	-0.3949	0.3952	-1.5310
0.0138	-0.3963	0.3966	-1.5360
0.0119	-0.3978	0.3980	-1.5410
0.0104	-0.4002	0.4003	-1.5447
0.0085	-0.4016	0.4017	-1.5497
0.0065	-0.4031	0.4031	-1.5547
0.0047	-0.4055	0.4055	-1.5592
0.0027	-0.4069	0.4069	-1.5642
0.0006	-0.4084	0.4084	-1.5692
-0.0008	-0.4107	0.4107	-1.5727
-0.0029	-0.4121	0.4121	-1.5779
-0.0050	-0.4135	0.4135	-1.5829
-0.0069	-0.4158	0.4159	-1.5874
-0.0090	-0.4172	0.4173	-1.5924
-0.0107	-0.4185	0.4186	-1.5963
-0.0127	-0.4208	0.4210	-1.6009
-0.0148	-0.4222	0.4224	-1.6058
-0.0169	-0.4245	0.4249	-1.6107
-0.0190	-0.4268	0.4273	-1.6153
-0.0207	-0.4281	0.4286	-1.6191
-0.0229	-0.4294	0.4300	-1.6241
-0.0250	-0.4317	0.4324	-1.6287
-0.0271	-0.4339	0.4348	-1.6332
-0.0294	-0.4352	0.4362	-1.6382
-0.0312	-0.4374	0.4385	-1.6420
-0.0335	-0.4387	0.4399	-1.6469
-0.0356	-0.4419	0.4433	-1.6511
-0.0379	-0.4431	0.4447	-1.6561
-0.0401	-0.4453	0.4471	-1.6607
