x	y	r	phi
-0.9931	0.0992	0.9980	3.0421
-0.9927	0.1032	0.9980	3.0380
-0.9923	0.1070	0.9980	3.0342
-0.9918	0.1110	0.9980	3.0301
-0.9893	0.1149	0.9960	3.0260
-0.9889	0.1186	0.9960	3.0222
-0.9884	0.1227	0.9960	3.0181
-0.9859	0.1265	0.9940	3.0140
-0.9854	0.1303	0.9940	3.0101
-0.9849	0.1342	0.9940	3.0061
-0.9843	0.1383	0.9940	3.0020
-0.9818	0.1418	0.9920	2.9982
-0.9793	0.1455	0.9900	2.9941
-0.9786	0.1495	0.9900	2.9900
-0.9781	0.1532	0.9900	2.9862
-0.9794	0.1576	0.9920	2.9821
-0.9788	0.1615	0.9920	2.9780
-0.9762	0.1649	0.9900	2.9742
-0.9755	0.1690	0.9900	2.9701
-0.9748	0.1729	0.9900	2.9660
-0.9721	0.1763	0.9880	2.9622
-0.9714	0.1803	0.9880	2.9581
-0.9707	0.1842	0.9880	2.9541
-0.9680	0.1875	0.9860	2.9502
-0.9692	0.1919	0.9880	2.9461
-0.9684	0.1959	0.9880	2.9420
-0.9676	0.1995	0.9880	2.9382
-0.9668	0.2035	0.9880	2.9341
-0.9660	0.2075	0.9880	2.9300
-0.9652	0.2112	0.9880	2.9262
-0.9624	0.2147	0.9860	2.9221
-0.9634	0.2191	0.9880	2.9180
-0.9606	0.2223	0.9860	2.9142
-0.9597	0.2262	0.9860	2.9102
-0.9607	0.2306	0.9880	2.9060
-0.9598	0.2343	0.9880	2.9022
-0.9588	0.2382	0.9880	2.8981
-0.9579	0.2421	0.9880	2.8940
-0.9531	0.2448	0.9840	2.8902
-0.9521	0.2487	0.9840	2.8861
-0.9530	0.2530	0.9860	2.8821
-0.9520	0.2567	0.9860	2.8782
-0.9509	0.2606	0.9860	2.8741
-0.9499	0.2645	0.9860	2.8700
-0.9489	0.2681	0.9860	2.8662
-0.9477	0.2720	0.9860	2.8621
-0.9505	0.2770	0.9900	2.8580
-0.9532	0.2818	0.9940	2.8542
-0.9482	0.2845	0.9900	2.8501
-0.9413	0.2866	0.9840	2.8460
-0.9421	0.2908	0.9860	2.8422
-0.9429	0.2952	0.9880	2.8382
-0.9416	0.2991	0.9880	2.8340
-0.9405	0.3027	0.9880	2.8302
-0.9392	0.3066	0.9880	2.8261
-0.9381	0.3101	0.9880	2.8223
-0.9368	0.3140	0.9880	2.8182
-0.9356	0.3176	0.9880	2.8144
-0.9362	0.3221	0.9900	2.8103
-0.9349	0.3256	0.9900	2.8065
-0.9336	0.3294	0.9900	2.8024
-0.9323	0.3330	0.9900	2.7986
-0.9310	0.3367	0.9900	2.7945
-0.9297	0.3403	0.9900	2.7907
-0.9283	0.3441	0.9900	2.7866
-0.9269	0.3477	0.9900	2.7827
-0.9275	0.3520	0.9920	2.7789
-0.9260	0.3557	0.9920	2.7749
-0.9247	0.3592	0.9920	2.7710
-0.9232	0.3630	0.9920	2.7669
-0.9218	0.3666	0.9920	2.7631
-0.9222	0.3710	0.9940	2.7591
-0.9207	0.3746	0.9940	2.7552
-0.9192	0.3784	0.9940	2.7511
-0.9177	0.3819	0.9940	2.7473
-0.9180	0.3864	0.9960	2.7432
-0.9165	0.3899	0.9960	2.7394
-0.9150	0.3934	0.9960	2.7356
-0.9152	0.3979	0.9980	2.7314
-0.9137	0.4014	0.9980	2.7277
-0.9121	0.4051	0.9980	2.7236
-0.9105	0.4086	0.9980	2.7197
0.4648	0.8377	0.9580	1.0642
0.4612	0.8214	0.9420	1.0592
0.4576	0.8074	0.9280	1.0552
0.4539	0.7933	0.9140	1.0511
0.4508	0.7790	0.9000	1.0462
0.4467	0.7651	0.8860	1.0423
0.4444	0.7526	0.8740	1.0375
0.4413	0.7405	0.8620	1.0333
0.4371	0.7266	0.8480	1.0292
0.4345	0.7142	0.8360	1.0243
0.4320	0.7040	0.8260	1.0205
0.4293	0.6916	0.8140	1.0153
0.4255	0.6798	0.8020	1.0116
0.4235	0.6692	0.7920	1.0066
0.4208	0.6591	0.7820	1.0026
0.4179	0.6491	0.7720	0.9987
0.4158	0.6385	0.7620	0.9935
0.4128	0.6286	0.7520	0.9897
0.4114	0.6199	0.7440	0.9848
0.4084	0.6099	0.7340	0.9807
0.4053	0.5999	0.7240	0.9766
0.4038	0.5913	0.7160	0.9717
0.4015	0.5832	0.7080	0.9678
0.3986	0.5730	0.6980	0.9630
0.3963	0.5648	0.6900	0.9589
