x	y	r	phi
-0.5040	0.0015	0.5040	3.1386
-0.5010	0.0039	0.5010	3.1337
-0.5000	0.0058	0.5000	3.1299
-0.4979	0.0077	0.4980	3.1261
-0.4959	0.0097	0.4960	3.1220
-0.4949	0.0116	0.4950	3.1182
-0.4928	0.0134	0.4930	3.1144
-0.4907	0.0158	0.4910	3.1095
-0.4897	0.0178	0.4900	3.1054
-0.4896	0.0196	0.4900	3.1015
-0.4885	0.0214	0.4890	3.0978
-0.4854	0.0233	0.4860	3.0937
-0.4834	0.0250	0.4840	3.0898
-0.4823	0.0268	0.4830	3.0860
-0.4811	0.0291	0.4820	3.0811
-0.4790	0.0310	0.4800	3.0770
-0.4789	0.0328	0.4800	3.0732
-0.4768	0.0345	0.4780	3.0694
-0.4746	0.0363	0.4760	3.0653
-0.4735	0.0380	0.4750	3.0614
-0.4723	0.0398	0.4740	3.0576
-0.4701	0.0419	0.4720	3.0527
-0.4690	0.0436	0.4710	3.0489
-0.4678	0.0454	0.4700	3.0449
-0.4666	0.0471	0.4690	3.0410
-0.4655	0.0488	0.4680	3.0372
-0.4652	0.0507	0.4680	3.0331
-0.4641	0.0523	0.4670	3.0293
-0.4629	0.0540	0.4660	3.0255
-0.4607	0.0557	0.4640	3.0214
-0.4584	0.0577	0.4620	3.0165
-0.4552	0.0590	0.4590	3.0126
-0.4520	0.0604	0.4560	3.0088
-0.4507	0.0624	0.4550	3.0039
-0.4504	0.0643	0.4550	2.9998
-0.4502	0.0660	0.4550	2.9961
-0.4499	0.0677	0.4550	2.9922
-0.4477	0.0693	0.4530	2.9881
-0.4464	0.0708	0.4520	2.9843
-0.4461	0.0725	0.4520	2.9804
-0.4468	0.0745	0.4530	2.9764
-0.4475	0.0764	0.4540	2.9726
-0.4462	0.0779	0.4530	2.9687
-0.4430	0.0792	0.4500	2.9646
-0.4396	0.0808	0.4470	2.9597
-0.4354	0.0818	0.4430	2.9559
-0.4331	0.0832	0.4410	2.9519
-0.4328	0.0848	0.4410	2.9480
-0.4344	0.0869	0.4430	2.9442
-0.4360	0.0891	0.4450	2.9401
-0.4357	0.0907	0.4450	2.9363
-0.4323	0.0919	0.4420	2.9322
-0.4290	0.0933	0.4390	2.9273
-0.4257	0.0943	0.4360	2.9235
-0.4233	0.0957	0.4340	2.9194
-0.4230	0.0973	0.4340	2.9155
-0.4226	0.0989	0.4340	2.9118
-0.4241	0.1011	0.4360	2.9077
-0.4237	0.1027	0.4360	2.9038
-0.4223	0.1042	0.4350	2.8997
-0.4200	0.1053	0.4330	2.8960
-0.4175	0.1069	0.4310	2.8910
-0.4162	0.1082	0.4300	2.8872
-0.4138	0.1094	0.4280	2.8831
-0.4114	0.1105	0.4260	2.8793
-0.4110	0.1122	0.4260	2.8752
-0.4105	0.1137	0.4260	2.8714
-0.4101	0.1154	0.4260	2.8673
-0.4087	0.1167	0.4250	2.8635
-0.4082	0.1183	0.4250	2.8596
-0.4077	0.1199	0.4250	2.8556
-0.4063	0.1212	0.4240	2.8518
-0.4048	0.1229	0.4230	2.8469
-0.4043	0.1245	0.4230	2.8428
-0.4038	0.1261	0.4230	2.8389
-0.4014	0.1270	0.4210	2.8351
-0.3999	0.1283	0.4200	2.8311
-0.3985	0.1296	0.4190	2.8272
-0.3979	0.1312	0.4190	2.8231
-0.3974	0.1327	0.4190	2.8193
-0.3959	0.1340	0.4180	2.8152
-0.3945	0.1352	0.4170	2.8114
-0.3949	0.1370	0.4180	2.8076
-0.3953	0.1390	0.4190	2.8034
-0.3938	0.1401	0.4180	2.7997
-0.3912	0.1414	0.4160	2.7947
-0.3878	0.1420	0.4130	2.7907
-0.3854	0.1428	0.4110	2.7869
-0.3839	0.1439	0.4100	2.7830
-0.3843	0.1458	0.4110	2.7789
-0.3846	0.1476	0.4120	2.7752
-0.3850	0.1496	0.4130	2.7710
-0.3844	0.1510	0.4130	2.7672
-0.3838	0.1526	0.4130	2.7631
-0.3823	0.1537	0.4120	2.7593
-0.3798	0.1544	0.4100	2.7555
-0.3772	0.1555	0.4080	2.7506
-0.3766	0.1570	0.4080	2.7465
-0.3760	0.1585	0.4080	2.7427
-0.3753	0.1600	0.4080	2.7385
-0.3738	0.1610	0.4070	2.7348
-0.3722	0.1621	0.4060	2.7310
-0.3707	0.1632	0.4050	2.7268
-0.3691	0.1642	0.4040	2.7230
-0.3685	0.1657	0.4040	2.7190
-0.3678	0.1671	0.4040	2.7151
-0.3671	0.1686	0.4040	2.7110
-0.3654	0.1700	0.4030	2.7061
-0.3647	0.1714	0.4030	2.7023
-0.3641	0.1728	0.4030	2.6985
-0.3634	0.1743	0.4030	2.6944
