x	y	r	phi
-0.1260	0.9900	0.9980	1.6973
-0.1217	0.9885	0.9960	1.6933
-0.1174	0.9870	0.9940	1.6892
-0.1133	0.9875	0.9940	1.6851
-0.1092	0.9860	0.9920	1.6811
-0.1051	0.9864	0.9920	1.6769
-0.1006	0.9829	0.9880	1.6728
-0.0966	0.9813	0.9860	1.6690
-0.0925	0.9796	0.9840	1.6649
-0.0873	0.9781	0.9820	1.6598
-0.0831	0.9765	0.9800	1.6556
-0.0789	0.9748	0.9780	1.6515
-0.0748	0.9731	0.9760	1.6475
-0.0708	0.9734	0.9760	1.6434
-0.0666	0.9717	0.9740	1.6393
-0.0625	0.9680	0.9700	1.6352
-0.0583	0.9662	0.9680	1.6311
-0.0544	0.9665	0.9680	1.6270
-0.0503	0.9627	0.9640	1.6230
-0.0462	0.9609	0.9620	1.6188
-0.0422	0.9611	0.9620	1.6147
-0.0386	0.9592	0.9600	1.6110
-0.0345	0.9574	0.9580	1.6068
-0.0305	0.9555	0.9560	1.6027
-0.0267	0.9556	0.9560	1.5987
-0.0227	0.9537	0.9540	1.5946
-0.0187	0.9518	0.9520	1.5905
-0.0149	0.9519	0.9520	1.5864
-0.0109	0.9499	0.9500	1.5823
-0.0070	0.9480	0.9480	1.5782
-0.0032	0.9460	0.9460	1.5742
0.0007	0.9460	0.9460	1.5700
0.0056	0.9440	0.9440	1.5649
0.0095	0.9420	0.9420	1.5607
0.0132	0.9399	0.9400	1.5567
0.0168	0.9378	0.9380	1.5529
0.0207	0.9378	0.9380	1.5487
0.0245	0.9357	0.9360	1.5446
0.0283	0.9356	0.9360	1.5406
0.0321	0.9334	0.9340	1.5365
0.0359	0.9333	0.9340	1.5324
0.0396	0.9312	0.9320	1.5283
0.0433	0.9290	0.9300	1.5242
0.0471	0.9288	0.9300	1.5201
0.0508	0.9266	0.9280	1.5161
0.0546	0.9264	0.9280	1.5119
0.0583	0.9242	0.9260	1.5078
0.0620	0.9239	0.9260	1.5038
0.0657	0.9217	0.9240	1.4997
0.0695	0.9214	0.9240	1.4955
0.0732	0.9211	0.9240	1.4915
0.0770	0.9208	0.9240	1.4874
0.0810	0.9225	0.9260	1.4833
0.0841	0.9161	0.9200	1.4792
0.0877	0.9138	0.9180	1.4751
0.0913	0.9114	0.9160	1.4710
0.0945	0.9071	0.9120	1.4670
0.0985	0.9026	0.9080	1.4621
0.1018	0.8983	0.9040	1.4580
0.1055	0.8978	0.9040	1.4538
0.1094	0.8994	0.9060	1.4498
0.1128	0.8969	0.9040	1.4457
0.1168	0.8984	0.9060	1.4416
0.1206	0.8999	0.9080	1.4375
0.1241	0.8975	0.9060	1.4334
0.1278	0.8969	0.9060	1.4293
0.1314	0.8964	0.9060	1.4253
0.1348	0.8939	0.9040	1.4211
0.1382	0.8914	0.9020	1.4170
0.1418	0.8908	0.9020	1.4130
0.1454	0.8902	0.9020	1.4089
0.1488	0.8876	0.9000	1.4047
0.1518	0.8851	0.8980	1.4009
0.1557	0.8864	0.9000	1.3969
0.1590	0.8838	0.8980	1.3928
0.1627	0.8831	0.8980	1.3886
0.1659	0.8805	0.8960	1.3846
0.1691	0.8779	0.8940	1.3805
0.1727	0.8772	0.8940	1.3764
0.1759	0.8745	0.8920	1.3723
0.1795	0.8738	0.8920	1.3682
0.1847	0.8808	0.9000	1.3641
0.1878	0.8781	0.8980	1.3601
0.1898	0.8695	0.8900	1.3559
0.1925	0.8648	0.8860	1.3518
0.1955	0.8621	0.8840	1.3478
0.1995	0.8632	0.8860	1.3437
0.2035	0.8644	0.8880	1.3395
0.2070	0.8635	0.8880	1.3355
0.2106	0.8627	0.8880	1.3314
0.2136	0.8599	0.8860	1.3273
0.2171	0.8590	0.8860	1.3233
0.2206	0.8581	0.8860	1.3191
0.2242	0.8572	0.8860	1.3150
0.2276	0.8563	0.8860	1.3110
0.2306	0.8534	0.8840	1.3069
0.2334	0.8506	0.8820	1.3030
0.2368	0.8496	0.8820	1.2990
0.2408	0.8506	0.8840	1.2949
0.2443	0.8496	0.8840	1.2907
0.2478	0.8486	0.8840	1.2867
0.2507	0.8456	0.8820	1.2826
0.2542	0.8446	0.8820	1.2785
0.2576	0.8436	0.8820	1.2745
0.2608	0.8426	0.8820	1.2706
0.2643	0.8415	0.8820	1.2665
0.2675	0.8405	0.8820	1.2627
0.2707	0.8394	0.8820	1.2588
0.2739	0.8384	0.8820	1.2551
0.2771	0.8374	0.8820	1.2512
0.2803	0.8363	0.8820	1.2474
0.2828	0.8333	0.8800	1.2436
0.2863	0.8321	0.8800	1.2395
0.2894	0.8289	0.8780	1.2349
0.2929	0.8277	0.8780	1.2307
0.2959	0.8266	0.8780	1.2270
0.2991	0.8255	0.8780	1.2232
0.3023	0.8243	0.8780	1.2193
0.3054	0.8232	0.8780	1.2155
0.3086	0.8220	0.8780	1.2117
0.3117	0.8208	0.8780	1.2079
0.3150	0.8195	0.8780	1.2038
0.3182	0.8183	0.8780	1.2000
0.3213	0.8171	0.8780	1.1961
0.3245	0.8159	0.8780	1.1923
0.3275	0.8146	0.8780	1.1885
0.3306	0.8134	0.8780	1.1847
0.3340	0.8120	0.8780	1.1806
0.3369	0.8129	0.8800	1.1779
0.3400	0.8117	0.8800	1.1741
0.3432	0.8081	0.8780	1.1692
0.3463	0.8068	0.8780	1.1653
0.3495	0.8076	0.8800	1.1624
0.3526	0.8063	0.8800	1.1585
0.3558	0.8027	0.8780	1.1536
0.3588	0.8013	0.8780	1.1498
0.3618	0.8022	0.8800	1.1470
0.3651	0.8007	0.8800	1.1430
0.3681	0.7993	0.8800	1.1392
0.3712	0.7979	0.8800	1.1353
0.3743	0.7964	0.8800	1.1315
0.3773	0.7950	0.8800	1.1277
0.3812	0.7954	0.8820	1.1238
0.3842	0.7939	0.8820	1.1201
0.3875	0.7923	0.8820	1.1160
0.3905	0.7908	0.8820	1.1121
0.3935	0.7893	0.8820	1.1083
0.3966	0.7878	0.8820	1.1045
0.3995	0.7863	0.8820	1.1007
0.4025	0.7848	0.8820	1.0969
0.4067	0.7849	0.8840	1.0928
0.4097	0.7833	0.8840	1.0889
0.4126	0.7818	0.8840	1.0852
0.4156	0.7802	0.8840	1.0814
0.4195	0.7804	0.8860	1.0775
0.4225	0.7788	0.8860	1.0737
0.4255	0.7771	0.8860	1.0699
0.4286	0.7754	0.8860	1.0658
0.4316	0.7738	0.8860	1.0620
0.4355	0.7739	0.8880	1.0582
0.4385	0.7722	0.8880	1.0543
0.4415	0.7705	0.8880	1.0505
0.4454	0.7705	0.8900	1.0467
0.4485	0.7687	0.8900	1.0426
0.4515	0.7670	0.8900	1.0388
0.4554	0.7670	0.8920	1.0350
0.4584	0.7652	0.8920	1.0311
0.4612	0.7635	0.8920	1.0274
0.4652	0.7634	0.8940	1.0235
0.4683	0.7615	0.8940	1.0194
0.4712	0.7597	0.8940	1.0156
0.4742	0.7579	0.8940	1.0118
0.4781	0.7578	0.8960	1.0080
0.4810	0.7560	0.8960	1.0042
0.4849	0.7558	0.8980	1.0003
0.4878	0.7539	0.8980	0.9965
0.4920	0.7536	0.9000	0.9924
0.4948	0.7518	0.9000	0.9887
0.4977	0.7499	0.9000	0.9848
0.5006	0.7479	0.9000	0.9810
0.5035	0.7460	0.9000	0.9771
0.5074	0.7457	0.9020	0.9733
0.5104	0.7437	0.9020	0.9693
0.5133	0.7417	0.9020	0.9654
0.5173	0.7414	0.9040	0.9616
0.5201	0.7394	0.9040	0.9578
0.5229	0.7374	0.9040	0.9539
0.5280	0.7387	0.9080	0.9502
0.5326	0.7403	0.9120	0.9471
0.5378	0.7415	0.9160	0.9433
0.5406	0.7395	0.9160	0.9396
0.5410	0.7342	0.9120	0.9357
0.5440	0.7320	0.9120	0.9316
0.5469	0.7299	0.9120	0.9278
0.5496	0.7278	0.9120	0.9239
0.5524	0.7257	0.9120	0.9202
0.5551	0.7236	0.9120	0.9164
0.5579	0.7214	0.9120	0.9125
0.5631	0.7224	0.9160	0.9087
0.5673	0.7217	0.9180	0.9047
0.5713	0.7211	0.9200	0.9008
0.5767	0.7219	0.9240	0.8967
0.5797	0.7195	0.9240	0.8926
0.5839	0.7187	0.9260	0.8886
0.5868	0.7163	0.9260	0.8844
0.5885	0.7123	0.9240	0.8803
0.5912	0.7101	0.9240	0.8766
0.5954	0.7092	0.9260	0.8725
0.5996	0.7083	0.9280	0.8683
0.6050	0.7089	0.9320	0.8643
0.6079	0.7064	0.9320	0.8602
0.6122	0.7054	0.9340	0.8561
0.6162	0.7046	0.9360	0.8522
0.6203	0.7036	0.9380	0.8482
0.6246	0.7025	0.9400	0.8441
0.6274	0.6999	0.9400	0.8400
0.6316	0.6989	0.9420	0.8359
0.6343	0.6965	0.9420	0.8321
0.6385	0.6953	0.9440	0.8280
0.6421	0.6947	0.9460	0.8247
0.6461	0.6937	0.9480	0.8209
0.6503	0.6925	0.9500	0.8168
0.6531	0.6899	0.9500	0.8127
0.6574	0.6886	0.9520	0.8086
0.6615	0.6874	0.9540	0.8046
0.6655	0.6863	0.9560	0.8007
0.6698	0.6850	0.9580	0.7966
0.6740	0.6836	0.9600	0.7925
0.6767	0.6809	0.9600	0.7885
0.6739	0.6725	0.9520	0.7843
0.6920	0.6798	0.9700	0.7765
0.6905	0.6727	0.9640	0.7724
0.6947	0.6712	0.9660	0.7682
0.7003	0.6712	0.9700	0.7642
0.7045	0.6697	0.9720	0.7601
0.7085	0.6684	0.9740	0.7563
0.7127	0.6668	0.9760	0.7521
0.7169	0.6653	0.9780	0.7481
0.7211	0.6637	0.9800	0.7440
0.7253	0.6620	0.9820	0.7399
0.7287	0.6612	0.9840	0.7369
0.7426	0.6578	0.9920	0.7249
0.9554	-0.0328	0.9560	-0.0343
0.9533	-0.0364	0.9540	-0.0382
0.9532	-0.0402	0.9540	-0.0422
0.9588	-0.0478	0.9600	-0.0499
0.5237	-0.7295	0.8980	-0.9482
