x	y	r	phi
-0.6260	0.0017	0.6260	3.1389
-0.6320	0.0036	0.6320	3.1359
-0.6400	0.0063	0.6400	3.1318
-0.6479	0.0083	0.6480	3.1288
-0.6559	0.0111	0.6560	3.1247
-0.6639	0.0139	0.6640	3.1206
-0.6718	0.0161	0.6720	3.1176
-0.6797	0.0190	0.6800	3.1136
-0.6897	0.0214	0.6900	3.1105
-0.6976	0.0245	0.6980	3.1065
-0.7075	0.0270	0.7080	3.1034
-0.7154	0.0302	0.7160	3.0994
-0.7253	0.0328	0.7260	3.0963
-0.7351	0.0363	0.7360	3.0923
-0.7450	0.0390	0.7460	3.0892
-0.7548	0.0426	0.7560	3.0852
-0.7666	0.0464	0.7680	3.0811
-0.7764	0.0493	0.7780	3.0781
-0.7882	0.0534	0.7900	3.0740
-0.8000	0.0565	0.8020	3.0710
-0.8117	0.0607	0.8140	3.0669
-0.8235	0.0641	0.8260	3.0639
-0.8352	0.0685	0.8380	3.0598
-0.8489	0.0721	0.8520	3.0568
-0.8626	0.0769	0.8660	3.0527
-0.8742	0.0815	0.8780	3.0487
-0.8899	0.0857	0.8940	3.0456
-0.9035	0.0906	0.9080	3.0416
-0.9191	0.0951	0.9240	3.0385
-0.9346	0.1005	0.9400	3.0345
-0.9502	0.1051	0.9560	3.0314
-0.9657	0.1107	0.9720	3.0274
-0.9832	0.1158	0.9900	3.0243
-0.2429	0.6330	0.6780	1.9371
-0.2395	0.6321	0.6760	1.9330
-0.2362	0.6312	0.6740	1.9289
-0.2323	0.6284	0.6700	1.9249
-0.2290	0.6275	0.6680	1.9207
-0.2258	0.6266	0.6660	1.9166
-0.2220	0.6258	0.6640	1.9117
-0.2188	0.6248	0.6620	1.9076
-0.2156	0.6238	0.6600	1.9036
-0.2126	0.6227	0.6580	1.8997
-0.2094	0.6217	0.6560	1.8956
-0.2062	0.6206	0.6540	1.8916
-0.2024	0.6177	0.6500	1.8875
-0.1999	0.6185	0.6500	1.8833
-0.1968	0.6174	0.6480	1.8793
-0.1931	0.6165	0.6460	1.8743
-0.1900	0.6153	0.6440	1.8703
-0.1869	0.6142	0.6420	1.8662
-0.1844	0.6150	0.6420	1.8621
-0.1807	0.6119	0.6380	1.8580
-0.1778	0.6106	0.6360	1.8542
-0.1748	0.6094	0.6340	1.8501
-0.1723	0.6101	0.6340	1.8460
-0.1693	0.6089	0.6320	1.8419
-0.1658	0.6078	0.6300	1.8370
-0.1627	0.6065	0.6280	1.8329
-0.1597	0.6053	0.6260	1.8288
-0.1568	0.6040	0.6240	1.8248
-0.1538	0.6027	0.6220	1.8206
-0.1508	0.6014	0.6200	1.8165
-0.1486	0.6019	0.6200	1.8128
-0.1456	0.6006	0.6180	1.8087
-0.1427	0.5992	0.6160	1.8045
-0.1403	0.5998	0.6160	1.8005
-0.1368	0.5986	0.6140	1.7955
-0.1340	0.5972	0.6120	1.7915
-0.1311	0.5957	0.6100	1.7874
-0.1286	0.5963	0.6100	1.7833
-0.1258	0.5948	0.6080	1.7792
-0.1230	0.5934	0.6060	1.7751
-0.1203	0.5919	0.6040	1.7713
-0.1174	0.5904	0.6020	1.7671
-0.1147	0.5889	0.6000	1.7631
-0.1126	0.5914	0.6020	1.7590
-0.1098	0.5899	0.6000	1.7549
-0.1066	0.5884	0.5980	1.7500
-0.1042	0.5888	0.5980	1.7460
-0.1014	0.5873	0.5960	1.7418
-0.0987	0.5857	0.5940	1.7377
-0.0960	0.5842	0.5920	1.7337
-0.0938	0.5845	0.5920	1.7299
-0.0910	0.5829	0.5900	1.7257
-0.0886	0.5833	0.5900	1.7216
-0.0860	0.5817	0.5880	1.7176
-0.0833	0.5800	0.5860	1.7135
-0.0809	0.5804	0.5860	1.7093
-0.0778	0.5788	0.5840	1.7044
-0.0755	0.5791	0.5840	1.7004
-0.0728	0.5774	0.5820	1.6963
-0.0702	0.5757	0.5800	1.6922
-0.0683	0.5780	0.5820	1.6883
-0.0655	0.5743	0.5780	1.6843
-0.0629	0.5726	0.5760	1.6802
-0.0605	0.5728	0.5760	1.6761
-0.0582	0.5731	0.5760	1.6720
-0.0557	0.5713	0.5740	1.6679
-0.0533	0.5695	0.5720	1.6641
-0.0510	0.5697	0.5720	1.6601
-0.0479	0.5680	0.5700	1.6549
-0.0455	0.5682	0.5700	1.6508
-0.0432	0.5664	0.5680	1.6469
-0.0407	0.5645	0.5660	1.6428
-0.0384	0.5647	0.5660	1.6388
-0.0361	0.5648	0.5660	1.6346
-0.0337	0.5630	0.5640	1.6305
-0.0314	0.5631	0.5640	1.6265
-0.0290	0.5613	0.5620	1.6224
-0.0268	0.5614	0.5620	1.6185
-0.0246	0.5615	0.5620	1.6145
-0.0222	0.5596	0.5600	1.6104
-0.0194	0.5577	0.5580	1.6055
-0.0171	0.5577	0.5580	1.6014
-0.0148	0.5578	0.5580	1.5973
