x	y	r	phi
-0.2340	0.0002	0.2340	3.1405
-0.2340	0.0011	0.2340	3.1367
-0.2340	0.0020	0.2340	3.1329
-0.2350	0.0027	0.2350	3.1299
-0.2350	0.0037	0.2350	3.1259
-0.2350	0.0046	0.2350	3.1220
-0.2359	0.0055	0.2360	3.1182
-0.2359	0.0065	0.2360	3.1141
-0.2359	0.0074	0.2360	3.1102
-0.2359	0.0083	0.2360	3.1065
-0.2358	0.0093	0.2360	3.1024
-0.2358	0.0102	0.2360	3.0985
-0.2357	0.0111	0.2360	3.0947
-0.2367	0.0118	0.2370	3.0917
-0.2367	0.0127	0.2370	3.0879
-0.2366	0.0137	0.2370	3.0838
-0.2375	0.0146	0.2380	3.0800
-0.2375	0.0156	0.2380	3.0762
-0.2374	0.0165	0.2380	3.0721
-0.2374	0.0174	0.2380	3.0682
-0.2373	0.0183	0.2380	3.0645
-0.2382	0.0191	0.2390	3.0614
-0.2382	0.0200	0.2390	3.0576
-0.2381	0.0210	0.2390	3.0536
-0.2380	0.0219	0.2390	3.0497
-0.2379	0.0228	0.2390	3.0459
-0.2378	0.0238	0.2390	3.0418
-0.2377	0.0247	0.2390	3.0380
-0.2386	0.0257	0.2400	3.0342
-0.2385	0.0267	0.2400	3.0301
-0.2384	0.0276	0.2400	3.0263
-0.2383	0.0285	0.2400	3.0224
-0.2392	0.0296	0.2410	3.0184
-0.2391	0.0305	0.2410	3.0146
-0.2400	0.0314	0.2420	3.0116
-0.2398	0.0323	0.2420	3.0078
-0.2407	0.0333	0.2430	3.0039
-0.2406	0.0343	0.2430	2.9998
-0.2404	0.0352	0.2430	2.9961
-0.2403	0.0362	0.2430	2.9922
-0.2412	0.0371	0.2440	2.9892
-0.2410	0.0380	0.2440	2.9851
-0.2409	0.0389	0.2440	2.9813
-0.2407	0.0399	0.2440	2.9775
-0.2415	0.0410	0.2450	2.9733
-0.2414	0.0419	0.2450	2.9696
-0.2412	0.0429	0.2450	2.9658
-0.2421	0.0438	0.2460	2.9628
-0.2419	0.0447	0.2460	2.9590
-0.2427	0.0459	0.2470	2.9548
-0.2425	0.0468	0.2470	2.9510
-0.2423	0.0477	0.2470	2.9472
-0.2422	0.0487	0.2470	2.9431
-0.2429	0.0498	0.2480	2.9393
-0.2427	0.0508	0.2480	2.9355
-0.2436	0.0517	0.2490	2.9325
-0.2434	0.0526	0.2490	2.9287
-0.2441	0.0538	0.2500	2.9245
-0.2439	0.0548	0.2500	2.9207
-0.2437	0.0557	0.2500	2.9170
-0.2435	0.0567	0.2500	2.9128
-0.2443	0.0576	0.2510	2.9102
-0.2450	0.0588	0.2520	2.9060
-0.2448	0.0598	0.2520	2.9022
-0.2446	0.0607	0.2520	2.8984
-0.2453	0.0619	0.2530	2.8943
-0.2451	0.0629	0.2530	2.8905
-0.2448	0.0638	0.2530	2.8867
-0.2456	0.0648	0.2540	2.8837
-0.2453	0.0657	0.2540	2.8799
-0.2460	0.0670	0.2550	2.8757
-0.2458	0.0679	0.2550	2.8719
-0.2455	0.0689	0.2550	2.8682
-0.2462	0.0701	0.2560	2.8640
-0.2470	0.0712	0.2570	2.8611
-0.2476	0.0724	0.2580	2.8572
-0.2474	0.0733	0.2580	2.8534
-0.2471	0.0743	0.2580	2.8493
-0.2468	0.0753	0.2580	2.8454
-0.2475	0.0763	0.2590	2.8425
-0.2482	0.0776	0.2600	2.8386
-0.2479	0.0785	0.2600	2.8348
-0.2485	0.0798	0.2610	2.8308
-0.2482	0.0808	0.2610	2.8269
-0.2489	0.0818	0.2620	2.8240
-0.2495	0.0831	0.2630	2.8201
-0.2492	0.0841	0.2630	2.8163
-0.2498	0.0854	0.2640	2.8122
-0.2495	0.0863	0.2640	2.8084
-0.2502	0.0874	0.2650	2.8054
-0.2498	0.0884	0.2650	2.8015
-0.2504	0.0897	0.2660	2.7975
-0.2501	0.0907	0.2660	2.7937
-0.2507	0.0920	0.2670	2.7898
-0.2513	0.0931	0.2680	2.7869
-0.2510	0.0941	0.2680	2.7830
-0.2515	0.0954	0.2690	2.7789
-0.2511	0.0964	0.2690	2.7752
-0.2517	0.0977	0.2700	2.7713
-0.2523	0.0988	0.2710	2.7683
-0.2520	0.0998	0.2710	2.7645
-0.2525	0.1012	0.2720	2.7604
-0.2521	0.1022	0.2720	2.7566
-0.2526	0.1036	0.2730	2.7524
-0.2532	0.1046	0.2740	2.7498
-0.2528	0.1057	0.2740	2.7456
-0.2533	0.1070	0.2750	2.7419
-0.2538	0.1084	0.2760	2.7381
-0.2544	0.1096	0.2770	2.7350
-0.2549	0.1109	0.2780	2.7313
-0.2545	0.1120	0.2780	2.7271
-0.2549	0.1133	0.2790	2.7233
-0.2545	0.1143	0.2790	2.7195
-0.2551	0.1155	0.2800	2.7165
-0.2555	0.1169	0.2810	2.7124
-0.2551	0.1179	0.2810	2.7086
-0.2555	0.1193	0.2820	2.7048
-0.2561	0.1205	0.2830	2.7017
-0.2565	0.1219	0.2840	2.6980
-0.2560	0.1229	0.2840	2.6939
-0.2564	0.1244	0.2850	2.6900
-0.2570	0.1256	0.2860	2.6871
-0.2574	0.1270	0.2870	2.6832
-0.2569	0.1280	0.2870	2.6794
-0.2572	0.1295	0.2880	2.6753
-0.2577	0.1309	0.2890	2.6715
-0.2581	0.1321	0.2900	2.6685
-0.2576	0.1331	0.2900	2.6647
-0.2580	0.1346	0.2910	2.6606
-0.2583	0.1361	0.2920	2.6568
-0.2597	0.1378	0.2940	2.6538
-0.2601	0.1393	0.2950	2.6500
-0.2595	0.1403	0.2950	2.6461
-0.2598	0.1418	0.2960	2.6420
-0.2603	0.1430	0.2970	2.6393
-0.2606	0.1445	0.2980	2.6352
-0.2601	0.1455	0.2980	2.6314
-0.2604	0.1470	0.2990	2.6276
-0.2608	0.1483	0.3000	2.6245
-0.2611	0.1498	0.3010	2.6205
-0.2613	0.1513	0.3020	2.6167
-0.2616	0.1528	0.3030	2.6128
-0.2620	0.1541	0.3040	2.6099
-0.2623	0.1556	0.3050	2.6060
-0.2625	0.1572	0.3060	2.6019
-0.2619	0.1582	0.3060	2.5982
-0.2622	0.1597	0.3070	2.5943
-0.2634	0.1616	0.3090	2.5913
-0.2636	0.1631	0.3100	2.5875
-0.2638	0.1647	0.3110	2.5834
-0.2632	0.1657	0.3110	2.5796
-0.2635	0.1670	0.3120	2.5766
-0.2646	0.1691	0.3140	2.5728
-0.2647	0.1708	0.3150	2.5687
-0.2651	0.1720	0.3160	2.5660
-0.2652	0.1737	0.3170	2.5618
-0.2654	0.1752	0.3180	2.5580
-0.2655	0.1768	0.3190	2.5543
-0.2658	0.1781	0.3200	2.5512
-0.2660	0.1797	0.3210	2.5474
-0.2661	0.1814	0.3220	2.5433
-0.2662	0.1829	0.3230	2.5395
-0.2673	0.1849	0.3250	2.5365
-0.2674	0.1865	0.3260	2.5327
-0.2675	0.1881	0.3270	2.5286
-0.2678	0.1894	0.3280	2.5259
-0.2678	0.1911	0.3290	2.5218
-0.2687	0.1933	0.3310	2.5179
-0.2688	0.1949	0.3320	2.5141
-0.2690	0.1963	0.3330	2.5111
-0.2690	0.1979	0.3340	2.5073
-0.2690	0.1996	0.3350	2.5033
-0.2700	0.2016	0.3370	2.5002
-0.2701	0.2032	0.3380	2.4965
-0.2701	0.2049	0.3390	2.4926
-0.2708	0.2072	0.3410	2.4885
-0.2710	0.2086	0.3420	2.4855
-0.2710	0.2103	0.3430	2.4817
-0.2718	0.2125	0.3450	2.4779
-0.2717	0.2143	0.3460	2.4737
-0.2726	0.2163	0.3480	2.4708
-0.2725	0.2180	0.3490	2.4669
-0.2733	0.2203	0.3510	2.4632
-0.2734	0.2217	0.3520	2.4601
-0.2740	0.2241	0.3540	2.4561
-0.2739	0.2258	0.3550	2.4523
-0.2748	0.2279	0.3570	2.4492
-0.2747	0.2296	0.3580	2.4455
-0.2745	0.2313	0.3590	2.4413
-0.2752	0.2337	0.3610	2.4375
-0.2760	0.2358	0.3630	2.4345
-0.2766	0.2382	0.3650	2.4307
-0.2764	0.2399	0.3660	2.4269
-0.2772	0.2420	0.3680	2.4239
-0.2777	0.2445	0.3700	2.4198
-0.2783	0.2469	0.3720	2.4159
-0.2783	0.2484	0.3730	2.4130
-0.2788	0.2508	0.3750	2.4091
-0.2793	0.2532	0.3770	2.4051
-0.2791	0.2550	0.3780	2.4013
-0.2798	0.2572	0.3800	2.3983
-0.2802	0.2596	0.3820	2.3944
-0.2806	0.2621	0.3840	2.3903
-0.2814	0.2642	0.3860	2.3876
-0.2818	0.2668	0.3880	2.3835
-0.2822	0.2692	0.3900	2.3797
-0.2828	0.2714	0.3920	2.3767
-0.2832	0.2739	0.3940	2.3729
-0.2835	0.2765	0.3960	2.3688
-0.2842	0.2786	0.3980	2.3661
-0.2845	0.2812	0.4000	2.3619
-0.2848	0.2837	0.4020	2.3581
-0.2861	0.2867	0.4050	2.3551
-0.2864	0.2892	0.4070	2.3513
-0.2866	0.2918	0.4090	2.3473
-0.2871	0.2941	0.4110	2.3442
-0.2881	0.2973	0.4140	2.3405
-0.2883	0.2999	0.4160	2.3366
-0.2888	0.3022	0.4180	2.3336
-0.2897	0.3055	0.4210	2.3295
-0.2898	0.3081	0.4230	2.3257
-0.2903	0.3104	0.4250	2.3227
-0.2911	0.3137	0.4280	2.3189
-0.2920	0.3170	0.4310	2.3151
-0.2924	0.3194	0.4330	2.3121
-0.2931	0.3228	0.4360	2.3080
-0.2932	0.3254	0.4380	2.3041
-0.2942	0.3285	0.4410	2.3012
-0.2949	0.3319	0.4440	2.2973
-0.2956	0.3353	0.4470	2.2932
-0.2960	0.3376	0.4490	2.2905
-0.2965	0.3411	0.4520	2.2864
-0.2972	0.3445	0.4550	2.2826
-0.2981	0.3477	0.4580	2.2796
-0.2987	0.3511	0.4610	2.2758
-0.2996	0.3543	0.4640	2.2728
-0.3001	0.3578	0.4670	2.2687
-0.3007	0.3612	0.4700	2.2649
-0.3015	0.3645	0.4730	2.2619
-0.3026	0.3687	0.4770	2.2580
-0.3030	0.3723	0.4800	2.2540
-0.3039	0.3754	0.4830	2.2512
-0.3049	0.3798	0.4870	2.2472
-0.3053	0.3833	0.4900	2.2434
-0.3060	0.3866	0.4930	2.2404
-0.3070	0.3909	0.4970	2.2365
-0.3072	0.3945	0.5000	2.2324
-0.3086	0.3985	0.5040	2.2297
-0.3084	0.4049	0.5090	2.2218
-0.3074	0.4069	0.5100	2.2178
-0.3001	0.4295	0.5240	2.1806
-0.2968	0.4294	0.5220	2.1757
-0.2940	0.4289	0.5200	2.1716
-0.2923	0.4301	0.5200	2.1678
-0.2907	0.4312	0.5200	2.1640
-0.2878	0.4307	0.5180	2.1598
-0.2860	0.4319	0.5180	2.1558
-0.2832	0.4314	0.5160	2.1517
-0.2814	0.4325	0.5160	2.1476
-0.2787	0.4319	0.5140	2.1438
-0.2769	0.4330	0.5140	2.1397
-0.2751	0.4342	0.5140	2.1356
-0.2718	0.4339	0.5120	2.1304
-0.2695	0.4341	0.5110	2.1264
-0.2679	0.4352	0.5110	2.1226
-0.2655	0.4354	0.5100	2.1184
-0.2632	0.4357	0.5090	2.1143
-0.2610	0.4359	0.5080	2.1103
-0.2592	0.4369	0.5080	2.1062
-0.2568	0.4371	0.5070	2.1020
-0.2546	0.4373	0.5060	2.0980
-0.2523	0.4375	0.5050	2.0939
-0.2495	0.4368	0.5030	2.0898
-0.2478	0.4377	0.5030	2.0860
-0.2465	0.4396	0.5040	2.0819
-0.2442	0.4397	0.5030	2.0778
-0.2420	0.4398	0.5020	2.0738
-0.2392	0.4402	0.5010	2.0686
-0.2371	0.4402	0.5000	2.0647
-0.2352	0.4412	0.5000	2.0606
-0.2334	0.4422	0.5000	2.0565
-0.2307	0.4413	0.4980	2.0525
