x	y	r	phi
-0.5640	0.0021	0.5640	3.1379
-0.5620	0.0044	0.5620	3.1337
-0.5620	0.0067	0.5620	3.1296
-0.5619	0.0090	0.5620	3.1256
-0.5599	0.0113	0.5600	3.1215
-0.5598	0.0136	0.5600	3.1173
-0.5578	0.0163	0.5580	3.1124
-0.5577	0.0186	0.5580	3.1083
-0.5556	0.0207	0.5560	3.1043
-0.5535	0.0229	0.5540	3.1002
-0.5534	0.0252	0.5540	3.0961
-0.5533	0.0274	0.5540	3.0920
-0.5512	0.0296	0.5520	3.0879
-0.5511	0.0319	0.5520	3.0838
-0.5489	0.0340	0.5500	3.0798
-0.5468	0.0361	0.5480	3.0756
-0.5467	0.0382	0.5480	3.0718
-0.5465	0.0404	0.5480	3.0678
-0.5443	0.0431	0.5460	3.0626
-0.5441	0.0453	0.5460	3.0585
-0.5419	0.0474	0.5440	3.0543
-0.5417	0.0496	0.5440	3.0503
-0.5395	0.0516	0.5420	3.0462
-0.5393	0.0538	0.5420	3.0421
-0.5371	0.0557	0.5400	3.0382
-0.5369	0.0579	0.5400	3.0342
-0.5366	0.0601	0.5400	3.0301
-0.5344	0.0621	0.5380	3.0260
-0.5342	0.0642	0.5380	3.0219
-0.5339	0.0664	0.5380	3.0178
-0.5316	0.0684	0.5360	3.0137
-0.5313	0.0705	0.5360	3.0097
-0.5290	0.0728	0.5340	3.0048
-0.5287	0.0750	0.5340	3.0007
-0.5284	0.0772	0.5340	2.9965
-0.5261	0.0790	0.5320	2.9925
-0.5258	0.0812	0.5320	2.9884
-0.5254	0.0834	0.5320	2.9843
-0.5231	0.0851	0.5300	2.9802
-0.5228	0.0873	0.5300	2.9761
-0.5224	0.0895	0.5300	2.9720
-0.5220	0.0916	0.5300	2.9680
-0.5197	0.0934	0.5280	2.9638
-0.5193	0.0955	0.5280	2.9597
-0.5189	0.0976	0.5280	2.9557
-0.5185	0.0997	0.5280	2.9516
-0.5161	0.1013	0.5260	2.9477
-0.5157	0.1035	0.5260	2.9436
-0.5133	0.1051	0.5240	2.9396
-0.5129	0.1072	0.5240	2.9355
-0.5125	0.1094	0.5240	2.9313
-0.5120	0.1114	0.5240	2.9273
-0.5095	0.1136	0.5220	2.9221
-0.5090	0.1157	0.5220	2.9180
-0.5086	0.1177	0.5220	2.9142
-0.5081	0.1197	0.5220	2.9102
-0.5056	0.1214	0.5200	2.9060
-0.5051	0.1234	0.5200	2.9019
-0.5046	0.1255	0.5200	2.8979
-0.5041	0.1276	0.5200	2.8938
-0.5036	0.1296	0.5200	2.8896
-0.5011	0.1312	0.5180	2.8856
-0.5006	0.1332	0.5180	2.8815
-0.5000	0.1353	0.5180	2.8774
-0.4975	0.1368	0.5160	2.8733
-0.4970	0.1388	0.5160	2.8692
-0.4964	0.1409	0.5160	2.8651
-0.4958	0.1429	0.5160	2.8611
-0.4953	0.1448	0.5160	2.8572
-0.4947	0.1468	0.5160	2.8531
-0.4941	0.1488	0.5160	2.8490
-0.4916	0.1502	0.5140	2.8450
-0.4909	0.1523	0.5140	2.8408
-0.4903	0.1543	0.5140	2.8367
-0.4897	0.1563	0.5140	2.8327
-0.4890	0.1583	0.5140	2.8286
-0.4884	0.1603	0.5140	2.8244
-0.4857	0.1620	0.5120	2.8196
-0.4850	0.1640	0.5120	2.8155
-0.4843	0.1660	0.5120	2.8114
-0.4837	0.1680	0.5120	2.8073
-0.4830	0.1699	0.5120	2.8033
-0.4823	0.1719	0.5120	2.7991
-0.4816	0.1739	0.5120	2.7950
-0.4809	0.1759	0.5120	2.7910
-0.4782	0.1771	0.5100	2.7869
-0.4784	0.1795	0.5110	2.7827
-0.4777	0.1814	0.5110	2.7787
-0.4770	0.1834	0.5110	2.7746
-0.4762	0.1853	0.5110	2.7705
-0.4746	0.1868	0.5100	2.7666
-0.4738	0.1887	0.5100	2.7626
-0.4730	0.1906	0.5100	2.7585
-0.4723	0.1925	0.5100	2.7546
-0.4706	0.1940	0.5090	2.7506
-0.4698	0.1959	0.5090	2.7465
-0.4690	0.1977	0.5090	2.7427
-0.4682	0.1996	0.5090	2.7385
-0.4683	0.2019	0.5100	2.7345
-0.4666	0.2033	0.5090	2.7307
-0.4658	0.2052	0.5090	2.7266
-0.4650	0.2071	0.5090	2.7225
-0.4632	0.2085	0.5080	2.7187
-0.4624	0.2104	0.5080	2.7146
-0.4615	0.2123	0.5080	2.7104
-0.4607	0.2140	0.5080	2.7067
-0.4607	0.2163	0.5090	2.7026
-0.4599	0.2181	0.5090	2.6988
-0.4581	0.2196	0.5080	2.6946
-0.4572	0.2214	0.5080	2.6906
-0.4564	0.2232	0.5080	2.6868
-0.4545	0.2246	0.5070	2.6826
-0.4545	0.2269	0.5080	2.6786
-0.4536	0.2286	0.5080	2.6748
-0.4536	0.2309	0.5090	2.6707
-0.4517	0.2324	0.5080	2.6665
-0.4509	0.2340	0.5080	2.6628
-0.4499	0.2359	0.5080	2.6587
-0.4489	0.2377	0.5080	2.6546
-0.4489	0.2399	0.5090	2.6507
-0.4479	0.2417	0.5090	2.6467
-0.4470	0.2435	0.5090	2.6429
-0.4451	0.2448	0.5080	2.6387
-0.4441	0.2466	0.5080	2.6347
-0.4432	0.2483	0.5080	2.6309
-0.4430	0.2506	0.5090	2.6268
-0.4420	0.2524	0.5090	2.6227
-0.4410	0.2541	0.5090	2.6189
-0.4408	0.2564	0.5100	2.6148
-0.4398	0.2582	0.5100	2.6106
-0.4388	0.2599	0.5100	2.6069
-0.4369	0.2612	0.5090	2.6028
-0.4358	0.2630	0.5090	2.5987
-0.4356	0.2652	0.5100	2.5948
-0.4346	0.2669	0.5100	2.5908
-0.4335	0.2687	0.5100	2.5867
-0.4324	0.2704	0.5100	2.5828
-0.4313	0.2721	0.5100	2.5788
-0.4303	0.2738	0.5100	2.5750
-0.4300	0.2761	0.5110	2.5709
-0.4297	0.2784	0.5120	2.5667
-0.4287	0.2800	0.5120	2.5630
-0.4258	0.2807	0.5100	2.5589
-0.4263	0.2835	0.5120	2.5547
-0.4252	0.2851	0.5120	2.5509
-0.4241	0.2869	0.5120	2.5469
-0.4229	0.2886	0.5120	2.5428
-0.4218	0.2902	0.5120	2.5389
-0.4226	0.2926	0.5140	2.5360
-0.4214	0.2944	0.5140	2.5318
-0.4202	0.2960	0.5140	2.5278
-0.4190	0.2977	0.5140	2.5240
-0.4178	0.2994	0.5140	2.5199
-0.4166	0.3011	0.5140	2.5157
-0.4154	0.3027	0.5140	2.5120
-0.4158	0.3056	0.5160	2.5079
-0.4146	0.3071	0.5160	2.5040
-0.4134	0.3088	0.5160	2.5000
-0.4121	0.3105	0.5160	2.4959
-0.4109	0.3121	0.5160	2.4920
-0.4112	0.3150	0.5180	2.4879
-0.4099	0.3167	0.5180	2.4839
-0.4087	0.3182	0.5180	2.4801
-0.4074	0.3199	0.5180	2.4759
-0.4061	0.3215	0.5180	2.4719
-0.4065	0.3243	0.5200	2.4681
-0.4051	0.3260	0.5200	2.4640
-0.4038	0.3277	0.5200	2.4598
-0.4025	0.3292	0.5200	2.4561
-0.4027	0.3321	0.5220	2.4520
-0.4013	0.3338	0.5220	2.4478
-0.4001	0.3353	0.5220	2.4440
-0.4006	0.3378	0.5240	2.4410
-0.3992	0.3394	0.5240	2.4369
-0.3979	0.3409	0.5240	2.4332
-0.3965	0.3426	0.5240	2.4291
-0.3951	0.3442	0.5240	2.4249
-0.3938	0.3457	0.5240	2.4211
-0.3939	0.3486	0.5260	2.4171
-0.3939	0.3516	0.5280	2.4130
-0.3926	0.3531	0.5280	2.4091
