x	y	r	phi
0.3594	-0.0165	0.3598	-0.0460
0.3585	-0.0191	0.3590	-0.0533
0.3585	-0.0212	0.3591	-0.0592
0.3566	-0.0243	0.3574	-0.0680
0.3558	-0.0272	0.3569	-0.0762
0.3558	-0.0293	0.3570	-0.0822
0.3548	-0.0318	0.3562	-0.0895
0.3538	-0.0344	0.3554	-0.0968
0.3528	-0.0369	0.3547	-0.1042
0.3519	-0.0398	0.3542	-0.1127
0.3518	-0.0419	0.3543	-0.1186
0.3507	-0.0444	0.3535	-0.1259
0.3506	-0.0465	0.3536	-0.1317
0.3494	-0.0488	0.3528	-0.1388
0.3485	-0.0517	0.3524	-0.1473
0.3483	-0.0538	0.3525	-0.1531
0.3472	-0.0562	0.3517	-0.1604
0.3461	-0.0586	0.3510	-0.1677
0.3459	-0.0606	0.3511	-0.1735
0.3458	-0.0630	0.3514	-0.1801
0.3446	-0.0653	0.3507	-0.1874
0.3434	-0.0677	0.3500	-0.1947
0.3431	-0.0697	0.3501	-0.2005
0.3419	-0.0721	0.3494	-0.2077
0.3418	-0.0745	0.3498	-0.2145
0.3415	-0.0764	0.3499	-0.2202
0.3402	-0.0788	0.3492	-0.2276
0.3399	-0.0806	0.3493	-0.2330
0.3386	-0.0829	0.3486	-0.2402
0.3384	-0.0853	0.3490	-0.2469
0.3380	-0.0872	0.3491	-0.2526
0.3377	-0.0892	0.3493	-0.2582
0.3364	-0.0914	0.3486	-0.2654
0.3360	-0.0934	0.3487	-0.2710
0.3356	-0.0953	0.3489	-0.2767
0.3343	-0.0978	0.3484	-0.2847
0.3339	-0.0997	0.3485	-0.2902
0.3335	-0.1016	0.3486	-0.2957
0.3321	-0.1038	0.3480	-0.3030
0.3318	-0.1061	0.3484	-0.3095
0.3314	-0.1080	0.3485	-0.3151
0.3309	-0.1098	0.3486	-0.3205
0.3304	-0.1116	0.3487	-0.3258
0.3289	-0.1138	0.3481	-0.3329
0.3294	-0.1153	0.3490	-0.3367
0.3289	-0.1171	0.3491	-0.3422
0.3276	-0.1197	0.3487	-0.3503
0.3270	-0.1215	0.3489	-0.3557
0.3265	-0.1233	0.3490	-0.3611
0.3260	-0.1251	0.3492	-0.3665
0.3254	-0.1270	0.3493	-0.3719
0.3250	-0.1291	0.3497	-0.3780
0.3244	-0.1309	0.3498	-0.3834
0.3238	-0.1326	0.3499	-0.3887
0.3232	-0.1344	0.3501	-0.3941
0.3227	-0.1362	0.3502	-0.3994
0.3221	-0.1380	0.3504	-0.4047
0.3206	-0.1403	0.3499	-0.4125
0.3199	-0.1420	0.3500	-0.4177
0.3203	-0.1435	0.3510	-0.4213
0.3197	-0.1453	0.3511	-0.4266
