x	y	r	phi
-0.9921	0.0884	0.9960	3.0527
-0.9798	0.0913	0.9840	3.0487
-0.9693	0.0955	0.9740	3.0434
-0.9610	0.0986	0.9660	3.0394
-0.9506	0.1015	0.9560	3.0353
-0.9403	0.1040	0.9460	3.0314
-0.9298	0.1077	0.9360	3.0263
-0.9194	0.1103	0.9260	3.0222
-0.9090	0.1128	0.9160	3.0181
-0.8985	0.1160	0.9060	3.0132
-0.8901	0.1186	0.8980	3.0091
-0.8817	0.1212	0.8900	3.0050
-0.8733	0.1236	0.8820	3.0009
-0.8648	0.1268	0.8740	2.9961
-0.8563	0.1291	0.8660	2.9919
-0.8479	0.1314	0.8580	2.9878
-0.8394	0.1336	0.8500	2.9838
-0.8308	0.1366	0.8420	2.9786
-0.8224	0.1385	0.8340	2.9748
-0.8159	0.1409	0.8280	2.9706
-0.8075	0.1428	0.8200	2.9665
-0.8008	0.1459	0.8140	2.9613
-0.7924	0.1477	0.8060	2.9573
-0.7859	0.1496	0.8000	2.9535
-0.7794	0.1517	0.7940	2.9494
-0.7707	0.1542	0.7860	2.9442
-0.7642	0.1561	0.7800	2.9401
-0.7557	0.1576	0.7720	2.9360
-0.7491	0.1600	0.7660	2.9311
-0.7426	0.1618	0.7600	2.9270
-0.7360	0.1636	0.7540	2.9229
-0.7295	0.1652	0.7480	2.9189
-0.7228	0.1675	0.7420	2.9139
-0.7163	0.1690	0.7360	2.9099
-0.7098	0.1706	0.7300	2.9057
-0.7033	0.1721	0.7240	2.9016
-0.6985	0.1745	0.7200	2.8967
-0.6939	0.1764	0.7160	2.8927
-0.6874	0.1777	0.7100	2.8886
-0.6828	0.1795	0.7060	2.8845
-0.6761	0.1813	0.7000	2.8796
-0.6715	0.1831	0.6960	2.8754
-0.6650	0.1842	0.6900	2.8714
-0.6604	0.1858	0.6860	2.8673
-0.6556	0.1879	0.6820	2.8624
-0.6491	0.1890	0.6760	2.8583
-0.6444	0.1905	0.6720	2.8542
-0.6398	0.1919	0.6680	2.8501
-0.6351	0.1939	0.6640	2.8452
-0.6285	0.1947	0.6580	2.8411
-0.6239	0.1961	0.6540	2.8370
-0.6193	0.1973	0.6500	2.8332
-0.6145	0.1993	0.6460	2.8280
-0.6099	0.2005	0.6420	2.8240
-0.6053	0.2016	0.6380	2.8201
-0.6007	0.2028	0.6340	2.8160
-0.5959	0.2046	0.6300	2.8108
-0.5913	0.2056	0.6260	2.8070
-0.5867	0.2066	0.6220	2.8030
-0.5821	0.2077	0.6180	2.7988
-0.5793	0.2094	0.6160	2.7947
-0.5745	0.2109	0.6120	2.7898
