x	y	r	phi
-0.8840	0.0016	0.8840	3.1398
-0.8900	0.0055	0.8900	3.1354
-0.8940	0.0093	0.8940	3.1312
-0.8979	0.0129	0.8980	3.1272
-0.9018	0.0169	0.9020	3.1228
-0.9078	0.0207	0.9080	3.1188
-0.9137	0.0239	0.9140	3.1154
-0.9176	0.0277	0.9180	3.1114
-0.9235	0.0317	0.9240	3.1073
-0.9293	0.0357	0.9300	3.1031
-0.9351	0.0400	0.9360	3.0988
-0.9410	0.0441	0.9420	3.0947
-0.9468	0.0475	0.9480	3.0915
-0.9526	0.0517	0.9540	3.0873
-0.9584	0.0559	0.9600	3.0833
-0.9641	0.0603	0.9660	3.0792
-0.9698	0.0646	0.9720	3.0751
-0.9756	0.0690	0.9780	3.0710
-0.9813	0.0724	0.9840	3.0680
-0.9870	0.0768	0.9900	3.0639
-0.9947	0.0815	0.9980	3.0598
-0.1470	0.9851	0.9960	1.7189
-0.1424	0.9817	0.9920	1.7148
-0.1378	0.9783	0.9880	1.7108
-0.1333	0.9749	0.9840	1.7066
-0.1280	0.9716	0.9800	1.7018
-0.1235	0.9682	0.9760	1.6976
-0.1190	0.9647	0.9720	1.6935
-0.1149	0.9632	0.9700	1.6895
-0.1104	0.9597	0.9660	1.6854
-0.1065	0.9601	0.9660	1.6812
-0.1020	0.9546	0.9600	1.6772
-0.0972	0.9470	0.9520	1.6731
-0.0929	0.9434	0.9480	1.6690
-0.0889	0.9418	0.9460	1.6649
-0.0841	0.9402	0.9440	1.6601
-0.0801	0.9386	0.9420	1.6559
-0.0757	0.9329	0.9360	1.6518
-0.0718	0.9312	0.9340	1.6478
-0.0677	0.9275	0.9300	1.6437
-0.0637	0.9258	0.9280	1.6395
-0.0599	0.9221	0.9240	1.6357
-0.0560	0.9183	0.9200	1.6317
-0.0521	0.9165	0.9180	1.6276
-0.0481	0.9127	0.9140	1.6234
-0.0443	0.9109	0.9120	1.6194
-0.0395	0.9091	0.9100	1.6142
-0.0359	0.9073	0.9080	1.6104
-0.0321	0.9034	0.9040	1.6063
-0.0283	0.8996	0.9000	1.6022
-0.0245	0.8977	0.8980	1.5981
-0.0207	0.8938	0.8940	1.5940
-0.0171	0.8918	0.8920	1.5900
-0.0134	0.8899	0.8900	1.5858
-0.0097	0.8879	0.8880	1.5817
-0.0061	0.8840	0.8840	1.5777
-0.0024	0.8800	0.8800	1.5736
0.0019	0.8780	0.8780	1.5687
0.0055	0.8760	0.8760	1.5646
0.0090	0.8740	0.8740	1.5604
0.0125	0.8719	0.8720	1.5564
0.0161	0.8699	0.8700	1.5523
0.0196	0.8658	0.8660	1.5482
0.0230	0.8637	0.8640	1.5441
0.0263	0.8616	0.8620	1.5403
0.0297	0.8575	0.8580	1.5362
0.0331	0.8554	0.8560	1.5322
0.0366	0.8552	0.8560	1.5280
0.0400	0.8531	0.8540	1.5239
0.0434	0.8509	0.8520	1.5199
0.0466	0.8467	0.8480	1.5158
0.0507	0.8445	0.8460	1.5109
0.0540	0.8423	0.8440	1.5068
0.0574	0.8400	0.8420	1.5026
0.0606	0.8378	0.8400	1.4986
0.0639	0.8356	0.8380	1.4945
0.0672	0.8333	0.8360	1.4904
0.0704	0.8310	0.8340	1.4863
0.0736	0.8287	0.8320	1.4822
0.0768	0.8264	0.8300	1.4781
0.0800	0.8241	0.8280	1.4741
0.0832	0.8218	0.8260	1.4699
0.0863	0.8195	0.8240	1.4658
0.0896	0.8191	0.8240	1.4618
0.0928	0.8167	0.8220	1.4577
0.0963	0.8123	0.8180	1.4528
0.0994	0.8099	0.8160	1.4487
0.1027	0.8095	0.8160	1.4446
0.1058	0.8071	0.8140	1.4405
0.1088	0.8047	0.8120	1.4364
0.1118	0.8023	0.8100	1.4324
0.1148	0.7998	0.8080	1.4282
0.1181	0.7993	0.8080	1.4241
0.1210	0.7969	0.8060	1.4201
0.1240	0.7944	0.8040	1.4160
0.1269	0.7919	0.8020	1.4118
0.1298	0.7894	0.8000	1.4078
0.1327	0.7869	0.7980	1.4037
0.1360	0.7863	0.7980	1.3996
0.1386	0.7838	0.7960	1.3957
0.1414	0.7813	0.7940	1.3917
0.1451	0.7786	0.7920	1.3865
0.1480	0.7760	0.7900	1.3824
0.1511	0.7754	0.7900	1.3783
0.1543	0.7748	0.7900	1.3743
0.1567	0.7702	0.7860	1.3701
0.1598	0.7696	0.7860	1.3660
0.1625	0.7670	0.7840	1.3620
0.1653	0.7643	0.7820	1.3579
0.1680	0.7617	0.7800	1.3537
0.1718	0.7650	0.7840	1.3499
0.1749	0.7643	0.7840	1.3459
0.1771	0.7596	0.7800	1.3418
