x	y	r	phi
-0.9921	0.0884	0.9960	3.0527
-0.9817	0.0915	0.9860	3.0487
-0.9713	0.0954	0.9760	3.0437
-0.9590	0.0981	0.9640	3.0397
-0.9506	0.1012	0.9560	3.0356
-0.9403	0.1040	0.9460	3.0314
-0.9298	0.1077	0.9360	3.0263
-0.9214	0.1105	0.9280	3.0222
-0.9130	0.1133	0.9200	3.0181
-0.9046	0.1161	0.9120	3.0140
-0.8941	0.1192	0.9020	3.0091
-0.8857	0.1218	0.8940	3.0050
-0.8773	0.1242	0.8860	3.0009
-0.8708	0.1270	0.8800	2.9968
-0.8642	0.1303	0.8740	2.9919
-0.8558	0.1327	0.8660	2.9878
-0.8473	0.1348	0.8580	2.9838
-0.8389	0.1370	0.8500	2.9797
-0.8303	0.1401	0.8420	2.9745
-0.8238	0.1425	0.8360	2.9704
-0.8173	0.1446	0.8300	2.9665
-0.8089	0.1464	0.8220	2.9625
-0.8002	0.1491	0.8140	2.9573
-0.7937	0.1513	0.8080	2.9532
-0.7872	0.1534	0.8020	2.9491
-0.7807	0.1554	0.7960	2.9451
-0.7740	0.1581	0.7900	2.9401
-0.7695	0.1604	0.7860	2.9360
-0.7629	0.1624	0.7800	2.9319
-0.7564	0.1642	0.7740	2.9278
-0.7478	0.1662	0.7660	2.9229
-0.7432	0.1683	0.7620	2.9189
-0.7386	0.1705	0.7580	2.9148
-0.7320	0.1721	0.7520	2.9106
-0.7255	0.1737	0.7460	2.9066
-0.7207	0.1765	0.7420	2.9014
-0.7141	0.1780	0.7360	2.8973
-0.7076	0.1795	0.7300	2.8932
-0.7030	0.1812	0.7260	2.8893
-0.6982	0.1838	0.7220	2.8842
-0.6917	0.1851	0.7160	2.8801
-0.6870	0.1869	0.7120	2.8760
-0.6805	0.1881	0.7060	2.8719
-0.6757	0.1903	0.7020	2.8670
-0.6691	0.1915	0.6960	2.8629
-0.6645	0.1931	0.6920	2.8589
-0.6599	0.1947	0.6880	2.8547
-0.6552	0.1962	0.6840	2.8506
-0.6505	0.1983	0.6800	2.8457
-0.6439	0.1991	0.6740	2.8417
-0.6393	0.2006	0.6700	2.8376
-0.6346	0.2020	0.6660	2.8335
-0.6298	0.2039	0.6620	2.8286
-0.6252	0.2052	0.6580	2.8244
-0.6206	0.2065	0.6540	2.8204
-0.6159	0.2077	0.6500	2.8163
-0.6111	0.2094	0.6460	2.8114
-0.6083	0.2113	0.6440	2.8073
-0.6037	0.2124	0.6400	2.8033
-0.5991	0.2136	0.6360	2.7991
-0.5945	0.2145	0.6320	2.7953
-0.5896	0.2162	0.6280	2.7901
-0.5868	0.2179	0.6260	2.7860
-0.5823	0.2187	0.6220	2.7823
-0.5795	0.2204	0.6200	2.7781
-0.5749	0.2214	0.6160	2.7740
-0.5700	0.2227	0.6120	2.7691
-0.5654	0.2236	0.6080	2.7650
-0.5626	0.2251	0.6060	2.7610
-0.5580	0.2259	0.6020	2.7569
-0.5532	0.2271	0.5980	2.7520
-0.5504	0.2287	0.5960	2.7478
-0.5476	0.2302	0.5940	2.7437
-0.5430	0.2308	0.5900	2.7397
-0.5384	0.2313	0.5860	2.7359
-0.5354	0.2333	0.5840	2.7307
-0.5326	0.2347	0.5820	2.7266
-0.5280	0.2351	0.5780	2.7227
-0.5253	0.2364	0.5760	2.7187
-0.5206	0.2369	0.5720	2.7146
-0.5177	0.2386	0.5700	2.7097
-0.5130	0.2390	0.5660	2.7056
-0.5103	0.2403	0.5640	2.7015
-0.5075	0.2415	0.5620	2.6974
-0.5047	0.2427	0.5600	2.6933
-0.5017	0.2443	0.5580	2.6884
