x	y	r	phi
-0.6420	0.0012	0.6420	3.1398
-0.6500	0.0032	0.6500	3.1367
-0.6580	0.0057	0.6580	3.1329
-0.6680	0.0076	0.6680	3.1302
-0.6759	0.0103	0.6760	3.1263
-0.6839	0.0125	0.6840	3.1234
-0.6938	0.0153	0.6940	3.1195
-0.7038	0.0174	0.7040	3.1169
-0.7117	0.0203	0.7120	3.1130
-0.7216	0.0234	0.7220	3.1092
-0.7315	0.0259	0.7320	3.1062
-0.7414	0.0291	0.7420	3.1024
-0.7533	0.0317	0.7540	3.0996
-0.7632	0.0351	0.7640	3.0956
-0.7751	0.0379	0.7760	3.0928
-0.7869	0.0414	0.7880	3.0891
-0.7988	0.0445	0.8000	3.0860
-0.8126	0.0484	0.8140	3.0822
-0.8244	0.0513	0.8260	3.0795
-0.8362	0.0552	0.8380	3.0756
-0.8500	0.0587	0.8520	3.0727
-0.8637	0.0630	0.8660	3.0688
-0.8775	0.0663	0.8800	3.0661
-0.8912	0.0711	0.8940	3.0620
-0.9068	0.0761	0.9100	3.0579
-0.9225	0.0804	0.9260	3.0546
-0.9381	0.0857	0.9420	3.0505
-0.9558	0.0902	0.9600	3.0475
-0.9733	0.0959	0.9780	3.0434
-0.9909	0.1006	0.9960	3.0404
-0.2292	0.6274	0.6680	1.9210
-0.2259	0.6265	0.6660	1.9169
-0.2222	0.6257	0.6640	1.9120
-0.2191	0.6247	0.6620	1.9082
-0.2159	0.6237	0.6600	1.9041
-0.2129	0.6226	0.6580	1.9003
-0.2097	0.6216	0.6560	1.8962
-0.2065	0.6205	0.6540	1.8921
-0.2028	0.6176	0.6500	1.8880
-0.1996	0.6165	0.6480	1.8839
-0.1971	0.6173	0.6480	1.8798
-0.1934	0.6164	0.6460	1.8749
-0.1903	0.6152	0.6440	1.8708
-0.1872	0.6141	0.6420	1.8668
-0.1841	0.6129	0.6400	1.8626
-0.1810	0.6118	0.6380	1.8585
-0.1780	0.6106	0.6360	1.8545
-0.1749	0.6094	0.6340	1.8504
-0.1724	0.6101	0.6340	1.8462
-0.1696	0.6088	0.6320	1.8425
-0.1659	0.6078	0.6300	1.8373
-0.1629	0.6065	0.6280	1.8332
-0.1599	0.6052	0.6260	1.8291
-0.1575	0.6059	0.6260	1.8251
-0.1545	0.6046	0.6240	1.8209
-0.1515	0.6033	0.6220	1.8168
-0.1487	0.6019	0.6200	1.8130
-0.1458	0.6006	0.6180	1.8089
-0.1433	0.6012	0.6180	1.8048
-0.1404	0.5998	0.6160	1.8007
-0.1368	0.5986	0.6140	1.7955
-0.1340	0.5972	0.6120	1.7915
-0.1315	0.5977	0.6120	1.7874
-0.1288	0.5962	0.6100	1.7835
-0.1259	0.5948	0.6080	1.7794
-0.1231	0.5934	0.6060	1.7754
-0.1203	0.5919	0.6040	1.7713
-0.1178	0.5924	0.6040	1.7671
-0.1154	0.5929	0.6040	1.7631
-0.1126	0.5914	0.6020	1.7590
-0.1098	0.5899	0.6000	1.7549
-0.1074	0.5903	0.6000	1.7508
-0.1042	0.5888	0.5980	1.7460
-0.1014	0.5873	0.5960	1.7418
-0.0990	0.5877	0.5960	1.7377
-0.0963	0.5861	0.5940	1.7337
-0.0939	0.5865	0.5940	1.7296
-0.0912	0.5849	0.5920	1.7254
-0.0885	0.5833	0.5900	1.7214
-0.0858	0.5817	0.5880	1.7173
-0.0834	0.5821	0.5880	1.7132
-0.0812	0.5824	0.5880	1.7093
-0.0786	0.5807	0.5860	1.7053
-0.0753	0.5791	0.5840	1.7001
-0.0729	0.5794	0.5840	1.6960
-0.0703	0.5777	0.5820	1.6919
-0.0680	0.5780	0.5820	1.6879
-0.0654	0.5763	0.5800	1.6837
-0.0632	0.5766	0.5800	1.6799
-0.0606	0.5748	0.5780	1.6759
-0.0581	0.5731	0.5760	1.6718
-0.0557	0.5733	0.5760	1.6676
-0.0534	0.5735	0.5760	1.6636
-0.0508	0.5717	0.5740	1.6595
-0.0485	0.5719	0.5740	1.6554
-0.0460	0.5701	0.5720	1.6513
-0.0437	0.5703	0.5720	1.6472
-0.0407	0.5685	0.5700	1.6423
-0.0384	0.5687	0.5700	1.6382
-0.0359	0.5669	0.5680	1.6341
-0.0336	0.5670	0.5680	1.6300
-0.0313	0.5671	0.5680	1.6259
-0.0289	0.5653	0.5660	1.6218
-0.0266	0.5654	0.5660	1.6178
-0.0242	0.5635	0.5640	1.6137
-0.0218	0.5636	0.5640	1.6095
-0.0195	0.5617	0.5620	1.6055
-0.0173	0.5617	0.5620	1.6017
-0.0150	0.5618	0.5620	1.5975
-0.0127	0.5599	0.5600	1.5935
-0.0104	0.5599	0.5600	1.5894
-0.0075	0.5579	0.5580	1.5842
-0.0052	0.5580	0.5580	1.5801
-0.0029	0.5580	0.5580	1.5761
-0.0008	0.5560	0.5560	1.5722
0.0015	0.5560	0.5560	1.5681
0.0038	0.5560	0.5560	1.5640
0.0060	0.5540	0.5540	1.5600
0.0083	0.5539	0.5540	1.5558
0.0106	0.5539	0.5540	1.5517
0.0128	0.5519	0.5520	1.5477
0.0150	0.5518	0.5520	1.5436
0.0173	0.5517	0.5520	1.5394
0.0195	0.5497	0.5500	1.5354
0.0217	0.5496	0.5500	1.5313
0.0239	0.5475	0.5480	1.5272
0.0259	0.5474	0.5480	1.5234
0.0282	0.5473	0.5480	1.5193
0.0305	0.5472	0.5480	1.5152
0.0327	0.5470	0.5480	1.5112
0.0354	0.5449	0.5460	1.5060
0.0376	0.5447	0.5460	1.5019
0.0396	0.5426	0.5440	1.4980
0.0418	0.5424	0.5440	1.4939
0.0440	0.5422	0.5440	1.4899
0.0462	0.5420	0.5440	1.4858
0.0483	0.5419	0.5440	1.4819
0.0503	0.5397	0.5420	1.4779
0.0525	0.5395	0.5420	1.4738
0.0547	0.5392	0.5420	1.4696
0.0566	0.5370	0.5400	1.4658
0.0587	0.5368	0.5400	1.4618
0.0610	0.5365	0.5400	1.4577
0.0632	0.5363	0.5400	1.4535
0.0652	0.5361	0.5400	1.4498
0.0671	0.5338	0.5380	1.4457
0.0693	0.5335	0.5380	1.4416
0.0715	0.5332	0.5380	1.4375
0.0735	0.5330	0.5380	1.4337
0.0754	0.5307	0.5360	1.4296
0.0776	0.5303	0.5360	1.4255
0.0799	0.5280	0.5340	1.4206
0.0818	0.5297	0.5360	1.4176
0.0840	0.5294	0.5360	1.4135
0.0861	0.5290	0.5360	1.4094
0.0884	0.5266	0.5340	1.4045
0.0905	0.5263	0.5340	1.4004
0.0926	0.5259	0.5340	1.3966
0.0947	0.5255	0.5340	1.3925
0.0968	0.5251	0.5340	1.3884
0.0986	0.5228	0.5320	1.3843
0.1006	0.5224	0.5320	1.3805
0.1028	0.5220	0.5320	1.3764
0.1049	0.5216	0.5320	1.3723
0.1070	0.5211	0.5320	1.3682
0.1090	0.5207	0.5320	1.3644
0.1111	0.5203	0.5320	1.3604
0.1133	0.5198	0.5320	1.3562
0.1150	0.5174	0.5300	1.3521
0.1170	0.5169	0.5300	1.3483
0.1190	0.5165	0.5300	1.3442
0.1212	0.5160	0.5300	1.3401
0.1233	0.5155	0.5300	1.3360
0.1252	0.5150	0.5300	1.3323
0.1273	0.5145	0.5300	1.3281
0.1295	0.5139	0.5300	1.3240
0.1315	0.5134	0.5300	1.3200
0.1330	0.5110	0.5280	1.3162
0.1351	0.5104	0.5280	1.3120
0.1372	0.5099	0.5280	1.3079
0.1391	0.5093	0.5280	1.3042
0.1417	0.5107	0.5300	1.3000
0.1433	0.5082	0.5280	1.2959
0.1454	0.5076	0.5280	1.2919
0.1473	0.5070	0.5280	1.2881
0.1494	0.5064	0.5280	1.2839
0.1521	0.5077	0.5300	1.2798
0.1541	0.5071	0.5300	1.2758
0.1554	0.5046	0.5280	1.2720
0.1575	0.5040	0.5280	1.2678
0.1596	0.5033	0.5280	1.2638
0.1616	0.5027	0.5280	1.2597
0.1636	0.5020	0.5280	1.2559
0.1656	0.5014	0.5280	1.2517
0.1676	0.5007	0.5280	1.2477
0.1697	0.5000	0.5280	1.2436
0.1716	0.4993	0.5280	1.2397
0.1736	0.4986	0.5280	1.2357
0.1757	0.4979	0.5280	1.2316
0.1777	0.4972	0.5280	1.2275
0.1796	0.4965	0.5280	1.2237
0.1823	0.4977	0.5300	1.2196
0.1844	0.4969	0.5300	1.2155
0.1863	0.4962	0.5300	1.2117
0.1883	0.4954	0.5300	1.2076
0.1903	0.4947	0.5300	1.2035
0.1924	0.4939	0.5300	1.1994
0.1942	0.4931	0.5300	1.1956
0.1955	0.4905	0.5280	1.1915
0.1975	0.4897	0.5280	1.1874
0.2002	0.4907	0.5300	1.1834
0.2021	0.4899	0.5300	1.1795
0.2041	0.4891	0.5300	1.1754
0.2062	0.4883	0.5300	1.1713
0.2089	0.4893	0.5320	1.1673
0.2100	0.4866	0.5300	1.1634
0.2120	0.4858	0.5300	1.1593
0.2139	0.4849	0.5300	1.1553
0.2168	0.4858	0.5320	1.1512
0.2186	0.4850	0.5320	1.1473
0.2206	0.4841	0.5320	1.1432
0.2226	0.4832	0.5320	1.1392
0.2246	0.4823	0.5320	1.1350
0.2264	0.4814	0.5320	1.1312
0.2283	0.4805	0.5320	1.1272
0.2303	0.4796	0.5320	1.1231
0.2330	0.4805	0.5340	1.1192
0.2350	0.4795	0.5340	1.1151
0.2369	0.4786	0.5340	1.1111
0.2388	0.4776	0.5340	1.1072
0.2406	0.4767	0.5340	1.1034
0.2429	0.4778	0.5360	1.1004
0.2449	0.4768	0.5360	1.0963
0.2467	0.4758	0.5360	1.0925
0.2485	0.4749	0.5360	1.0887
0.2504	0.4739	0.5360	1.0846
0.2523	0.4729	0.5360	1.0808
0.2541	0.4720	0.5360	1.0770
0.2560	0.4709	0.5360	1.0729
0.2578	0.4699	0.5360	1.0691
0.2607	0.4706	0.5380	1.0650
0.2625	0.4696	0.5380	1.0611
0.2643	0.4686	0.5380	1.0573
0.2662	0.4675	0.5380	1.0533
0.2690	0.4683	0.5400	1.0494
0.2717	0.4690	0.5420	1.0456
0.2727	0.4661	0.5400	1.0415
0.2744	0.4651	0.5400	1.0377
0.2774	0.4657	0.5420	1.0336
0.2791	0.4646	0.5420	1.0298
0.2809	0.4635	0.5420	1.0259
0.2828	0.4624	0.5420	1.0219
0.2845	0.4613	0.5420	1.0181
0.2874	0.4619	0.5440	1.0142
0.2893	0.4607	0.5440	1.0101
0.2910	0.4596	0.5440	1.0063
0.2929	0.4584	0.5440	1.0023
