x	y	r	phi
-0.8580	0.0021	0.8580	3.1392
-0.8580	0.0053	0.8580	3.1354
-0.8600	0.0089	0.8600	3.1312
-0.8599	0.0124	0.8600	3.1272
-0.8619	0.0159	0.8620	3.1231
-0.8638	0.0195	0.8640	3.1190
-0.8637	0.0230	0.8640	3.1149
-0.8636	0.0266	0.8640	3.1108
-0.8655	0.0302	0.8660	3.1067
-0.8673	0.0338	0.8680	3.1027
-0.8692	0.0374	0.8700	3.0985
-0.8710	0.0411	0.8720	3.0944
-0.8709	0.0446	0.8720	3.0904
-0.8727	0.0483	0.8740	3.0863
-0.8745	0.0520	0.8760	3.0822
-0.8742	0.0556	0.8760	3.0781
-0.8760	0.0593	0.8780	3.0740
-0.8778	0.0620	0.8800	3.0710
-0.8795	0.0658	0.8820	3.0669
-0.8793	0.0694	0.8820	3.0628
-0.8810	0.0731	0.8840	3.0588
-0.8827	0.0769	0.8860	3.0546
-0.8843	0.0808	0.8880	3.0505
-0.8840	0.0843	0.8880	3.0465
-0.8856	0.0882	0.8900	3.0424
-0.8872	0.0920	0.8920	3.0382
-0.8889	0.0958	0.8940	3.0342
-0.8904	0.0997	0.8960	3.0301
-0.8900	0.1031	0.8960	3.0263
-0.8916	0.1069	0.8980	3.0222
-0.8931	0.1109	0.9000	3.0181
-0.8947	0.1148	0.9020	3.0140
-0.8942	0.1184	0.9020	3.0100
-0.8977	0.1226	0.9060	3.0058
-0.8991	0.1266	0.9080	3.0017
-0.8986	0.1302	0.9080	2.9977
-0.9000	0.1342	0.9100	2.9936
-0.9016	0.1372	0.9120	2.9906
-0.9050	0.1415	0.9160	2.9865
-0.9064	0.1456	0.9180	2.9823
-0.9097	0.1499	0.9220	2.9783
-0.9091	0.1536	0.9220	2.9742
-0.9124	0.1580	0.9260	2.9701
-0.9157	0.1624	0.9300	2.9660
-0.9111	0.1655	0.9260	2.9619
-0.9084	0.1689	0.9240	2.9578
-0.9097	0.1729	0.9260	2.9538
-0.9129	0.1774	0.9300	2.9497
-0.9181	0.1823	0.9360	2.9455
-0.9173	0.1860	0.9360	2.9415
-0.9146	0.1894	0.9340	2.9374
-0.9177	0.1940	0.9380	2.9333
-0.9189	0.1981	0.9400	2.9292
-0.9200	0.2023	0.9420	2.9251
-0.9233	0.2059	0.9460	2.9221
-0.9244	0.2102	0.9480	2.9180
-0.9255	0.2145	0.9500	2.9139
-0.9266	0.2186	0.9520	2.9099
-0.9295	0.2234	0.9560	2.9057
-0.9305	0.2277	0.9580	2.9016
-0.9316	0.2319	0.9600	2.8976
-0.9306	0.2358	0.9600	2.8935
-0.9335	0.2406	0.9640	2.8893
-0.9345	0.2446	0.9660	2.8856
-0.9374	0.2495	0.9700	2.8815
-0.9383	0.2539	0.9720	2.8774
-0.9392	0.2582	0.9740	2.8733
-0.9400	0.2626	0.9760	2.8692
-0.9409	0.2670	0.9780	2.8651
-0.9417	0.2713	0.9800	2.8611
-0.9446	0.2756	0.9840	2.8577
-0.9455	0.2797	0.9860	2.8540
-0.9463	0.2842	0.9880	2.8498
-0.9489	0.2892	0.9920	2.8457
-0.9496	0.2936	0.9940	2.8417
-0.9504	0.2979	0.9960	2.8379
-0.9511	0.3024	0.9980	2.8337
0.1276	0.9838	0.9920	1.4418
0.1310	0.9732	0.9820	1.4370
0.1339	0.9647	0.9740	1.4328
0.1367	0.9563	0.9660	1.4288
0.1392	0.9458	0.9560	1.4247
0.1425	0.9393	0.9500	1.4203
0.1458	0.9306	0.9420	1.4154
0.1481	0.9202	0.9320	1.4113
0.1505	0.9117	0.9240	1.4072
0.1529	0.9032	0.9160	1.4031
0.1562	0.8945	0.9080	1.3979
0.1588	0.8879	0.9020	1.3938
0.1613	0.8814	0.8960	1.3898
0.1635	0.8728	0.8880	1.3857
0.1656	0.8643	0.8800	1.3815
0.1689	0.8575	0.8740	1.3764
0.1707	0.8490	0.8660	1.3723
0.1730	0.8424	0.8600	1.3682
0.1753	0.8358	0.8540	1.3641
0.1779	0.8271	0.8460	1.3589
0.1800	0.8205	0.8400	1.3549
0.1820	0.8139	0.8340	1.3508
0.1840	0.8073	0.8280	1.3466
0.1859	0.8007	0.8220	1.3426
0.1887	0.7939	0.8160	1.3374
0.1906	0.7873	0.8100	1.3333
0.1924	0.7806	0.8040	1.3292
0.1940	0.7740	0.7980	1.3252
0.1966	0.7672	0.7920	1.3200
0.1982	0.7606	0.7860	1.3159
0.2003	0.7559	0.7820	1.3117
0.2018	0.7493	0.7760	1.3077
0.2033	0.7427	0.7700	1.3036
0.2055	0.7358	0.7640	1.2984
0.2075	0.7311	0.7600	1.2943
0.2088	0.7245	0.7540	1.2903
0.2104	0.7199	0.7500	1.2864
0.2122	0.7131	0.7440	1.2815
0.2138	0.7084	0.7400	1.2777
0.2150	0.7018	0.7340	1.2736
0.2165	0.6972	0.7300	1.2698
0.2179	0.6925	0.7260	1.2659
0.2195	0.6857	0.7200	1.2610
0.2209	0.6811	0.7160	1.2572
0.2224	0.6764	0.7120	1.2532
0.2231	0.6698	0.7060	1.2493
0.2251	0.6649	0.7020	1.2444
0.2263	0.6603	0.6980	1.2406
0.2275	0.6556	0.6940	1.2368
0.2287	0.6510	0.6900	1.2329
0.2300	0.6463	0.6860	1.2289
0.2317	0.6414	0.6820	1.2242
0.2329	0.6368	0.6780	1.2202
0.2339	0.6321	0.6740	1.2164
0.2349	0.6275	0.6700	1.2125
0.2359	0.6228	0.6660	1.2087
0.2375	0.6179	0.6620	1.2038
0.2394	0.6151	0.6600	1.1997
0.2403	0.6104	0.6560	1.1958
0.2411	0.6058	0.6520	1.1921
0.2419	0.6012	0.6480	1.1883
0.2441	0.5981	0.6460	1.1834
0.2448	0.5935	0.6420	1.1795
0.2457	0.5888	0.6380	1.1754
0.2464	0.5841	0.6340	1.1716
0.2479	0.5814	0.6320	1.1677
0.2491	0.5765	0.6280	1.1629
0.2497	0.5718	0.6240	1.1590
0.2511	0.5691	0.6220	1.1553
0.2518	0.5644	0.6180	1.1512
0.2531	0.5616	0.6160	1.1473
0.2542	0.5567	0.6120	1.1424
0.2555	0.5539	0.6100	1.1386
0.2559	0.5493	0.6060	1.1348
0.2573	0.5465	0.6040	1.1307
0.2577	0.5419	0.6000	1.1269
0.2595	0.5388	0.5980	1.1220
0.2598	0.5342	0.5940	1.1182
0.2609	0.5314	0.5920	1.1143
