x	y	r	phi
-0.2388	0.1438	0.2788	2.5994
-0.2375	0.1438	0.2776	2.5970
-0.2360	0.1439	0.2765	2.5940
-0.2355	0.1445	0.2763	2.5911
-0.2349	0.1452	0.2761	2.5880
-0.2336	0.1451	0.2750	2.5858
-0.2321	0.1452	0.2738	2.5826
-0.2307	0.1453	0.2726	2.5796
-0.2294	0.1451	0.2715	2.5775
-0.2280	0.1452	0.2703	2.5746
-0.2274	0.1458	0.2701	2.5715
-0.2261	0.1456	0.2690	2.5694
-0.2255	0.1462	0.2688	2.5663
-0.2241	0.1462	0.2676	2.5634
-0.2228	0.1461	0.2664	2.5611
-0.2214	0.1461	0.2653	2.5582
-0.2208	0.1467	0.2651	2.5553
-0.2194	0.1467	0.2639	2.5522
-0.2188	0.1472	0.2637	2.5494
-0.2175	0.1470	0.2626	2.5472
-0.2161	0.1470	0.2614	2.5443
-0.2149	0.1468	0.2602	2.5423
-0.2143	0.1473	0.2600	2.5392
-0.2129	0.1473	0.2588	2.5364
-0.2115	0.1472	0.2577	2.5336
-0.2109	0.1477	0.2575	2.5306
-0.2103	0.1482	0.2573	2.5277
-0.2090	0.1480	0.2561	2.5255
-0.2077	0.1479	0.2549	2.5228
-0.2070	0.1484	0.2547	2.5197
-0.2056	0.1483	0.2535	2.5167
-0.2050	0.1488	0.2533	2.5137
-0.2038	0.1486	0.2522	2.5116
-0.2031	0.1491	0.2520	2.5084
-0.2017	0.1490	0.2508	2.5056
-0.2011	0.1494	0.2506	2.5026
-0.1997	0.1493	0.2494	2.4997
-0.1991	0.1498	0.2492	2.4966
-0.1979	0.1495	0.2480	2.4946
-0.1973	0.1500	0.2478	2.4916
-0.1966	0.1505	0.2476	2.4883
-0.1953	0.1503	0.2464	2.4856
-0.1939	0.1501	0.2452	2.4828
-0.1927	0.1498	0.2440	2.4808
-0.1921	0.1502	0.2438	2.4778
-0.1914	0.1507	0.2436	2.4747
-0.1901	0.1505	0.2424	2.4719
-0.1894	0.1509	0.2422	2.4689
-0.1881	0.1507	0.2410	2.4661
-0.1875	0.1511	0.2408	2.4631
-0.1863	0.1508	0.2396	2.4612
-0.1856	0.1512	0.2394	2.4581
-0.1850	0.1516	0.2392	2.4551
-0.1837	0.1514	0.2380	2.4523
-0.1823	0.1511	0.2368	2.4496
-0.1810	0.1508	0.2355	2.4470
-0.1804	0.1512	0.2353	2.4440
-0.1792	0.1508	0.2342	2.4421
-0.1786	0.1512	0.2340	2.4390
-0.1772	0.1509	0.2327	2.4364
-0.1766	0.1512	0.2325	2.4334
-0.1760	0.1516	0.2323	2.4304
-0.1754	0.1520	0.2321	2.4273
-0.1748	0.1524	0.2319	2.4243
-0.1734	0.1521	0.2307	2.4217
-0.1728	0.1525	0.2305	2.4187
-0.1722	0.1528	0.2302	2.4156
-0.1709	0.1525	0.2290	2.4130
-0.1703	0.1528	0.2288	2.4100
-0.1696	0.1532	0.2286	2.4070
