x	y	r	phi
0.3585	-0.0935	0.3705	-0.2552
0.3575	-0.0952	0.3700	-0.2603
0.3555	-0.0968	0.3684	-0.2659
0.3545	-0.0985	0.3679	-0.2711
0.3534	-0.1002	0.3674	-0.2762
0.3514	-0.1022	0.3660	-0.2831
0.3504	-0.1039	0.3654	-0.2882
0.3493	-0.1056	0.3649	-0.2935
0.3473	-0.1072	0.3634	-0.2994
0.3462	-0.1088	0.3629	-0.3045
0.3441	-0.1107	0.3615	-0.3113
0.3431	-0.1124	0.3610	-0.3165
0.3420	-0.1140	0.3605	-0.3217
0.3409	-0.1155	0.3599	-0.3266
0.3398	-0.1171	0.3594	-0.3318
0.3377	-0.1190	0.3580	-0.3389
0.3366	-0.1205	0.3575	-0.3438
0.3355	-0.1221	0.3570	-0.3490
0.3344	-0.1236	0.3565	-0.3541
0.3322	-0.1251	0.3550	-0.3601
0.3311	-0.1269	0.3546	-0.3661
0.3299	-0.1285	0.3541	-0.3713
0.3288	-0.1300	0.3536	-0.3765
0.3277	-0.1314	0.3530	-0.3813
0.3265	-0.1329	0.3525	-0.3865
0.3243	-0.1347	0.3512	-0.3936
0.3242	-0.1362	0.3516	-0.3977
0.3230	-0.1377	0.3511	-0.4029
0.3218	-0.1391	0.3506	-0.4080
0.3206	-0.1405	0.3501	-0.4129
0.3195	-0.1419	0.3496	-0.4181
0.3183	-0.1433	0.3490	-0.4231
0.3160	-0.1450	0.3477	-0.4301
0.3158	-0.1465	0.3481	-0.4343
