x	y	r	phi
-0.8519	0.0105	0.8520	3.1293
-0.8038	0.0183	0.8040	3.1188
-0.7797	0.0218	0.7800	3.1136
-0.7596	0.0253	0.7600	3.1083
-0.7395	0.0284	0.7400	3.1031
-0.7193	0.0314	0.7200	3.0980
-0.7012	0.0342	0.7020	3.0928
-0.6830	0.0363	0.6840	3.0885
-0.6669	0.0389	0.6680	3.0833
-0.6507	0.0414	0.6520	3.0781
-0.6345	0.0436	0.6360	3.0729
-0.6203	0.0459	0.6220	3.0678
-0.6061	0.0482	0.6080	3.0623
-0.5939	0.0503	0.5960	3.0571
-0.5817	0.0523	0.5840	3.0520
-0.5674	0.0540	0.5700	3.0468
-0.5552	0.0557	0.5580	3.0416
-0.5430	0.0573	0.5460	3.0364
-0.5328	0.0585	0.5360	3.0323
-0.5226	0.0599	0.5260	3.0274
-0.5123	0.0614	0.5160	3.0222
-0.5021	0.0628	0.5060	3.0172
-0.4938	0.0643	0.4980	3.0121
-0.4846	0.0657	0.4890	3.0069
-0.4753	0.0668	0.4800	3.0020
-0.4671	0.0681	0.4720	2.9968
-0.4589	0.0688	0.4640	2.9927
-0.4506	0.0698	0.4560	2.9878
-0.4433	0.0711	0.4490	2.9826
-0.4361	0.0721	0.4420	2.9777
-0.4288	0.0732	0.4350	2.9726
-0.4215	0.0742	0.4280	2.9674
-0.4143	0.0750	0.4210	2.9625
-0.4080	0.0760	0.4150	2.9573
-0.4017	0.0769	0.4090	2.9523
-0.3954	0.0779	0.4030	2.9472
-0.3902	0.0785	0.3980	2.9431
-0.3839	0.0792	0.3920	2.9382
-0.3776	0.0799	0.3860	2.9330
-0.3723	0.0808	0.3810	2.9278
-0.3670	0.0816	0.3760	2.9229
-0.3617	0.0824	0.3710	2.9177
-0.3565	0.0830	0.3660	2.9128
-0.3512	0.0837	0.3610	2.9077
-0.3459	0.0842	0.3560	2.9028
-0.3426	0.0849	0.3530	2.8986
-0.3383	0.0857	0.3490	2.8935
-0.3330	0.0862	0.3440	2.8883
-0.3287	0.0868	0.3400	2.8834
-0.3244	0.0875	0.3360	2.8782
-0.3212	0.0880	0.3330	2.8741
-0.3169	0.0885	0.3290	2.8692
-0.3126	0.0891	0.3250	2.8640
-0.3092	0.0898	0.3220	2.8589
-0.3059	0.0905	0.3190	2.8540
-0.3016	0.0909	0.3150	2.8488
-0.2983	0.0913	0.3120	2.8447
-0.2950	0.0919	0.3090	2.8398
-0.2917	0.0925	0.3060	2.8346
-0.2884	0.0930	0.3030	2.8296
-0.2851	0.0932	0.3000	2.8256
-0.2818	0.0938	0.2970	2.8204
-0.2785	0.0943	0.2940	2.8152
-0.2761	0.0950	0.2920	2.8103
-0.2728	0.0954	0.2890	2.8051
-0.2696	0.0955	0.2860	2.8010
-0.2672	0.0962	0.2840	2.7962
-0.2639	0.0965	0.2810	2.7910
-0.2615	0.0971	0.2790	2.7860
-0.2582	0.0974	0.2760	2.7808
-0.2560	0.0978	0.2740	2.7768
-0.2536	0.0984	0.2720	2.7716
-0.2512	0.0989	0.2700	2.7666
-0.2490	0.0992	0.2680	2.7626
-0.2466	0.0997	0.2660	2.7574
-0.2443	0.1002	0.2640	2.7524
-0.2410	0.1003	0.2610	2.7473
-0.2387	0.1005	0.2590	2.7432
-0.2373	0.1013	0.2580	2.7381
-0.2349	0.1017	0.2560	2.7332
-0.2327	0.1018	0.2540	2.7290
-0.2303	0.1022	0.2520	2.7239
-0.2280	0.1025	0.2500	2.7190
-0.2267	0.1031	0.2490	2.7149
-0.2243	0.1034	0.2470	2.7097
-0.2220	0.1036	0.2450	2.7048
-0.2196	0.1039	0.2430	2.6996
-0.2173	0.1042	0.2410	2.6944
-0.2160	0.1047	0.2400	2.6903
-0.2146	0.1051	0.2390	2.6862
-0.2123	0.1053	0.2370	2.6813
-0.2100	0.1055	0.2350	2.6761
-0.2086	0.1060	0.2340	2.6712
-0.2073	0.1065	0.2330	2.6671
-0.2049	0.1066	0.2310	2.6619
-0.2026	0.1067	0.2290	2.6568
-0.2013	0.1071	0.2280	2.6526
-0.1999	0.1076	0.2270	2.6477
-0.1976	0.1077	0.2250	2.6426
-0.1962	0.1080	0.2240	2.6384
-0.1948	0.1085	0.2230	2.6336
-0.1935	0.1088	0.2220	2.6295
-0.1921	0.1093	0.2210	2.6244
-0.1908	0.1096	0.2200	2.6202
-0.1885	0.1095	0.2180	2.6153
-0.1871	0.1100	0.2170	2.6102
-0.1858	0.1102	0.2160	2.6060
-0.1835	0.1102	0.2140	2.6009
-0.1821	0.1105	0.2130	2.5960
-0.1808	0.1108	0.2120	2.5919
-0.1793	0.1112	0.2110	2.5867
-0.1779	0.1115	0.2100	2.5818
-0.1775	0.1122	0.2100	2.5777
-0.1752	0.1121	0.2080	2.5725
-0.1739	0.1123	0.2070	2.5684
-0.1725	0.1126	0.2060	2.5632
-0.1712	0.1128	0.2050	2.5592
-0.1698	0.1131	0.2040	2.5540
-0.1684	0.1134	0.2030	2.5488
-0.1671	0.1135	0.2020	2.5447
-0.1657	0.1138	0.2010	2.5395
-0.1644	0.1140	0.2000	2.5354
-0.1639	0.1146	0.2000	2.5314
-0.1625	0.1149	0.1990	2.5262
-0.1603	0.1146	0.1970	2.5210
-0.1598	0.1152	0.1970	2.5169
-0.1584	0.1155	0.1960	2.5117
-0.1570	0.1156	0.1950	2.5068
-0.1557	0.1157	0.1940	2.5024
-0.1543	0.1159	0.1930	2.4975
-0.1529	0.1161	0.1920	2.4923
-0.1517	0.1161	0.1910	2.4882
-0.1512	0.1167	0.1910	2.4842
-0.1507	0.1174	0.1910	2.4798
-0.1493	0.1175	0.1900	2.4749
-0.1479	0.1176	0.1890	2.4697
-0.1467	0.1176	0.1880	2.4656
-0.1453	0.1178	0.1870	2.4604
-0.1439	0.1179	0.1860	2.4552
-0.1434	0.1185	0.1860	2.4511
-0.1421	0.1184	0.1850	2.4471
-0.1408	0.1185	0.1840	2.4419
-0.1394	0.1186	0.1830	2.4367
-0.1389	0.1191	0.1830	2.4326
-0.1375	0.1192	0.1820	2.4274
-0.1370	0.1198	0.1820	2.4233
-0.1358	0.1197	0.1810	2.4193
-0.1344	0.1197	0.1800	2.4141
-0.1331	0.1197	0.1790	2.4088
-0.1326	0.1203	0.1790	2.4048
-0.1312	0.1202	0.1780	2.3999
-0.1300	0.1201	0.1770	2.3955
-0.1295	0.1207	0.1770	2.3914
-0.1281	0.1207	0.1760	2.3862
-0.1268	0.1206	0.1750	2.3813
-0.1263	0.1211	0.1750	2.3770
-0.1250	0.1211	0.1740	2.3720
-0.1245	0.1216	0.1740	2.3680
-0.1231	0.1215	0.1730	2.3628
-0.1226	0.1220	0.1730	2.3587
-0.1214	0.1218	0.1720	2.3544
-0.1209	0.1223	0.1720	2.3503
-0.1196	0.1223	0.1710	2.3451
-0.1191	0.1227	0.1710	2.3410
-0.1177	0.1226	0.1700	2.3358
-0.1172	0.1231	0.1700	2.3317
-0.1159	0.1230	0.1690	2.3268
-0.1146	0.1228	0.1680	2.3216
-0.1141	0.1233	0.1680	2.3176
-0.1128	0.1231	0.1670	2.3124
-0.1123	0.1236	0.1670	2.3083
-0.1110	0.1234	0.1660	2.3031
-0.1105	0.1239	0.1660	2.2990
-0.1100	0.1244	0.1660	2.2948
-0.1087	0.1242	0.1650	2.2897
-0.1082	0.1246	0.1650	2.2856
-0.1070	0.1243	0.1640	2.2812
-0.1065	0.1248	0.1640	2.2772
-0.1059	0.1252	0.1640	2.2731
-0.1046	0.1250	0.1630	2.2679
-0.1041	0.1254	0.1630	2.2638
-0.1028	0.1252	0.1620	2.2586
-0.1023	0.1256	0.1620	2.2546
-0.1010	0.1253	0.1610	2.2493
-0.1005	0.1257	0.1610	2.2453
-0.0993	0.1255	0.1600	2.2401
-0.0988	0.1259	0.1600	2.2360
-0.0982	0.1263	0.1600	2.2318
-0.0970	0.1260	0.1590	2.2267
-0.0965	0.1264	0.1590	2.2226
-0.0959	0.1268	0.1590	2.2185
-0.0947	0.1265	0.1580	2.2133
-0.0942	0.1269	0.1580	2.2092
-0.0936	0.1273	0.1580	2.2052
-0.0924	0.1269	0.1570	2.2000
-0.0919	0.1273	0.1570	2.1959
-0.0906	0.1270	0.1560	2.1907
-0.0901	0.1273	0.1560	2.1866
-0.0896	0.1277	0.1560	2.1826
-0.0884	0.1273	0.1550	2.1774
-0.0878	0.1277	0.1550	2.1733
-0.0873	0.1281	0.1550	2.1691
-0.0868	0.1284	0.1550	2.1648
-0.0856	0.1280	0.1540	2.1598
-0.0850	0.1284	0.1540	2.1558
-0.0845	0.1288	0.1540	2.1514
-0.0833	0.1283	0.1530	2.1465
-0.0827	0.1287	0.1530	2.1422
-0.0816	0.1283	0.1520	2.1372
-0.0810	0.1286	0.1520	2.1329
-0.0804	0.1290	0.1520	2.1285
-0.0799	0.1293	0.1520	2.1242
-0.0794	0.1296	0.1520	2.1201
-0.0781	0.1292	0.1510	2.1146
-0.0776	0.1295	0.1510	2.1106
-0.0770	0.1299	0.1510	2.1062
-0.0765	0.1302	0.1510	2.1018
-0.0759	0.1305	0.1510	2.0974
0.0260	0.1487	0.1510	1.3976
0.0266	0.1486	0.1510	1.3936
0.0272	0.1485	0.1510	1.3895
0.0278	0.1484	0.1510	1.3854
0.0285	0.1493	0.1520	1.3821
0.0291	0.1492	0.1520	1.3780
0.0297	0.1491	0.1520	1.3743
0.0303	0.1490	0.1520	1.3701
0.0310	0.1498	0.1530	1.3669
0.0316	0.1497	0.1530	1.3628
0.0322	0.1496	0.1530	1.3587
0.0329	0.1504	0.1540	1.3557
