x	y	r	phi
-0.9460	0.0013	0.9460	3.1403
-0.9480	0.0051	0.9480	3.1362
-0.9480	0.0090	0.9480	3.1321
-0.9479	0.0129	0.9480	3.1280
-0.9499	0.0168	0.9500	3.1240
-0.9518	0.0207	0.9520	3.1198
-0.9517	0.0246	0.9520	3.1157
-0.9536	0.0283	0.9540	3.1119
-0.9535	0.0322	0.9540	3.1078
-0.9553	0.0362	0.9560	3.1037
-0.9572	0.0402	0.9580	3.0996
-0.9570	0.0441	0.9580	3.0956
-0.9568	0.0480	0.9580	3.0915
-0.9586	0.0521	0.9600	3.0873
-0.9604	0.0558	0.9620	3.0836
-0.9601	0.0597	0.9620	3.0795
-0.9619	0.0638	0.9640	3.0753
-0.9636	0.0678	0.9660	3.0713
-0.9653	0.0720	0.9680	3.0672
-0.9650	0.0759	0.9680	3.0631
-0.9667	0.0800	0.9700	3.0590
-0.9684	0.0839	0.9720	3.0552
-0.9700	0.0880	0.9740	3.0511
-0.9716	0.0922	0.9760	3.0470
-0.9713	0.0961	0.9760	3.0429
-0.9708	0.1001	0.9760	3.0388
-0.9724	0.1043	0.9780	3.0347
-0.9740	0.1085	0.9800	3.0307
-0.9755	0.1124	0.9820	3.0268
-0.9772	0.1159	0.9840	3.0236
-0.9787	0.1201	0.9860	3.0194
-0.9782	0.1239	0.9860	3.0156
-0.9797	0.1281	0.9880	3.0116
-0.9811	0.1324	0.9900	3.0075
-0.9825	0.1367	0.9920	3.0033
-0.9840	0.1409	0.9940	2.9993
-0.9853	0.1453	0.9960	2.9952
-0.9868	0.1494	0.9980	2.9914
-0.9861	0.1533	0.9980	2.9873
0.0726	0.9954	0.9980	1.4980
0.0756	0.9811	0.9840	1.4939
0.0797	0.9687	0.9720	1.4887
0.0825	0.9564	0.9600	1.4847
0.0854	0.9441	0.9480	1.4806
0.0892	0.9317	0.9360	1.4754
0.0920	0.9214	0.9260	1.4713
0.0945	0.9091	0.9140	1.4673
0.0981	0.8987	0.9040	1.4621
0.1007	0.8883	0.8940	1.4580
0.1032	0.8780	0.8840	1.4538
0.1062	0.8675	0.8740	1.4489
0.1086	0.8572	0.8640	1.4448
0.1110	0.8488	0.8560	1.4408
0.1140	0.8383	0.8460	1.4356
0.1161	0.8279	0.8360	1.4315
0.1184	0.8195	0.8280	1.4274
0.1205	0.8111	0.8200	1.4233
0.1235	0.8026	0.8120	1.4182
0.1255	0.7941	0.8040	1.4140
0.1272	0.7837	0.7940	1.4099
0.1299	0.7752	0.7860	1.4047
0.1317	0.7668	0.7780	1.4007
0.1338	0.7603	0.7720	1.3966
0.1361	0.7518	0.7640	1.3917
0.1380	0.7433	0.7560	1.3873
0.1398	0.7369	0.7500	1.3833
0.1420	0.7283	0.7420	1.3783
0.1437	0.7218	0.7360	1.3743
0.1451	0.7134	0.7280	1.3701
0.1476	0.7068	0.7220	1.3650
0.1488	0.6983	0.7140	1.3608
0.1504	0.6919	0.7080	1.3568
0.1526	0.6852	0.7020	1.3516
0.1541	0.6787	0.6960	1.3475
0.1554	0.6723	0.6900	1.3437
0.1568	0.6658	0.6840	1.3395
0.1586	0.6592	0.6780	1.3347
0.1597	0.6527	0.6720	1.3308
0.1612	0.6483	0.6680	1.3271
0.1629	0.6416	0.6620	1.3221
0.1640	0.6352	0.6560	1.3181
0.1649	0.6287	0.6500	1.3142
0.1670	0.6240	0.6460	1.3093
0.1678	0.6176	0.6400	1.3055
0.1687	0.6111	0.6340	1.3014
0.1706	0.6064	0.6300	1.2965
0.1713	0.6000	0.6240	1.2927
0.1725	0.5955	0.6200	1.2888
0.1738	0.5910	0.6160	1.2848
0.1750	0.5844	0.6100	1.2798
0.1760	0.5799	0.6060	1.2761
0.1765	0.5735	0.6000	1.2722
0.1781	0.5688	0.5960	1.2674
0.1792	0.5642	0.5920	1.2632
0.1802	0.5597	0.5880	1.2594
0.1810	0.5531	0.5820	1.2545
0.1819	0.5486	0.5780	1.2507
0.1829	0.5441	0.5740	1.2466
0.1843	0.5415	0.5720	1.2428
0.1857	0.5368	0.5680	1.2378
0.1857	0.5304	0.5620	1.2341
0.1870	0.5257	0.5580	1.2291
0.1884	0.5231	0.5560	1.2251
0.1890	0.5186	0.5520	1.2212
0.1897	0.5141	0.5480	1.2174
0.1908	0.5095	0.5440	1.2125
0.1914	0.5049	0.5400	1.2084
0.1927	0.5023	0.5380	1.2046
0.1937	0.4976	0.5340	1.1997
0.1941	0.4932	0.5300	1.1958
0.1954	0.4905	0.5280	1.1918
0.1957	0.4861	0.5240	1.1880
0.1966	0.4814	0.5200	1.1831
0.1977	0.4788	0.5180	1.1792
0.1981	0.4743	0.5140	1.1751
0.1996	0.4715	0.5120	1.1702
0.1999	0.4670	0.5080	1.1664
0.2010	0.4644	0.5060	1.1624
0.2015	0.4609	0.5030	1.1585
0.2026	0.4571	0.5000	1.1536
0.2031	0.4536	0.4970	1.1498
0.2037	0.4500	0.4940	1.1457
0.2046	0.4474	0.4920	1.1419
0.2056	0.4437	0.4890	1.1370
0.2060	0.4402	0.4860	1.1331
0.2069	0.4375	0.4840	1.1290
0.2078	0.4338	0.4810	1.1241
0.2086	0.4312	0.4790	1.1203
0.2089	0.4277	0.4760	1.1165
0.2093	0.4242	0.4730	1.1124
0.2105	0.4214	0.4710	1.1075
0.2112	0.4188	0.4690	1.1037
0.2114	0.4153	0.4660	1.0999
0.2122	0.4126	0.4640	1.0957
0.2133	0.4098	0.4620	1.0909
0.2140	0.4072	0.4600	1.0870
0.2150	0.4055	0.4590	1.0833
0.2157	0.4029	0.4570	1.0792
0.2163	0.3992	0.4540	1.0743
0.2164	0.3957	0.4510	1.0704
0.2164	0.3923	0.4480	1.0666
0.2174	0.3894	0.4460	1.0617
0.2180	0.3868	0.4440	1.0576
0.2180	0.3834	0.4410	1.0537
0.2189	0.3817	0.4400	1.0500
0.2198	0.3788	0.4380	1.0450
0.2203	0.3762	0.4360	1.0410
0.2208	0.3737	0.4340	1.0372
0.2212	0.3711	0.4320	1.0333
0.2225	0.3691	0.4310	1.0284
0.2235	0.3674	0.4300	1.0243
0.2233	0.3640	0.4270	1.0205
0.2231	0.3606	0.4240	1.0167
0.2238	0.3578	0.4220	1.0118
0.2253	0.3569	0.4220	1.0077
0.2255	0.3543	0.4200	1.0039
0.2265	0.3525	0.4190	0.9998
0.2267	0.3500	0.4170	0.9959
0.2273	0.3472	0.4150	0.9910
0.2281	0.3455	0.4140	0.9872
0.2284	0.3429	0.4120	0.9832
0.2292	0.3412	0.4110	0.9794
0.2297	0.3384	0.4090	0.9745
0.2304	0.3367	0.4080	0.9706
0.2307	0.3341	0.4060	0.9665
0.2314	0.3324	0.4050	0.9627
0.2319	0.3296	0.4030	0.9578
0.2325	0.3279	0.4020	0.9539
0.2327	0.3253	0.4000	0.9499
0.2334	0.3236	0.3990	0.9461
0.2341	0.3219	0.3980	0.9420
0.2345	0.3191	0.3960	0.9371
0.2352	0.3173	0.3950	0.9329
0.2359	0.3156	0.3940	0.9289
0.2365	0.3139	0.3930	0.9251
0.2366	0.3113	0.3910	0.9210
0.2375	0.3094	0.3900	0.9161
0.2375	0.3068	0.3880	0.9120
0.2382	0.3050	0.3870	0.9079
0.2388	0.3033	0.3860	0.9038
0.2393	0.3016	0.3850	0.9000
0.2403	0.2995	0.3840	0.8948
0.2409	0.2978	0.3830	0.8907
0.2407	0.2953	0.3810	0.8869
0.2413	0.2936	0.3800	0.8828
0.2419	0.2918	0.3790	0.8787
0.2426	0.2898	0.3780	0.8738
0.2425	0.2873	0.3760	0.8697
0.2431	0.2856	0.3750	0.8656
0.2435	0.2839	0.3740	0.8618
0.2440	0.2821	0.3730	0.8577
0.2447	0.2802	0.3720	0.8528
0.2452	0.2784	0.3710	0.8487
0.2457	0.2767	0.3700	0.8446
0.2461	0.2749	0.3690	0.8405
0.2465	0.2732	0.3680	0.8367
0.2473	0.2712	0.3670	0.8315
0.2477	0.2695	0.3660	0.8275
0.2480	0.2678	0.3650	0.8237
0.2485	0.2660	0.3640	0.8195
0.2489	0.2643	0.3630	0.8154
0.2492	0.2625	0.3620	0.8114
0.2498	0.2606	0.3610	0.8065
0.2502	0.2588	0.3600	0.8024
0.2505	0.2572	0.3590	0.7985
0.2516	0.2561	0.3590	0.7944
0.2519	0.2544	0.3580	0.7904
0.2522	0.2527	0.3570	0.7863
0.2527	0.2507	0.3560	0.7814
0.2531	0.2490	0.3550	0.7772
0.2534	0.2472	0.3540	0.7731
0.2536	0.2456	0.3530	0.7694
0.2539	0.2438	0.3520	0.7653
0.2549	0.2428	0.3520	0.7611
0.2553	0.2409	0.3510	0.7563
