x	y	r	phi
-0.6069	0.1164	0.6180	2.9521
-0.6044	0.1191	0.6160	2.9470
-0.5997	0.1220	0.6120	2.9409
-0.5971	0.1247	0.6100	2.9358
-0.5945	0.1273	0.6080	2.9306
-0.5919	0.1300	0.6060	2.9254
-0.5893	0.1326	0.6040	2.9202
-0.5847	0.1348	0.6000	2.9150
-0.5819	0.1378	0.5980	2.9090
-0.5773	0.1399	0.5940	2.9038
-0.5746	0.1424	0.5920	2.8986
-0.5719	0.1449	0.5900	2.8935
-0.5673	0.1469	0.5860	2.8883
-0.5645	0.1498	0.5840	2.8823
-0.5618	0.1522	0.5820	2.8771
-0.5590	0.1545	0.5800	2.8719
-0.5563	0.1569	0.5780	2.8667
-0.5536	0.1592	0.5760	2.8615
-0.5508	0.1615	0.5740	2.8564
-0.5460	0.1636	0.5700	2.8504
-0.5432	0.1659	0.5680	2.8452
-0.5405	0.1681	0.5660	2.8401
-0.5377	0.1703	0.5640	2.8348
-0.5349	0.1725	0.5620	2.8296
-0.5321	0.1746	0.5600	2.8244
-0.5291	0.1772	0.5580	2.8185
-0.5263	0.1793	0.5560	2.8133
-0.5235	0.1813	0.5540	2.8081
-0.5225	0.1840	0.5540	2.8030
-0.5197	0.1861	0.5520	2.7978
-0.5168	0.1881	0.5500	2.7926
-0.5140	0.1900	0.5480	2.7874
-0.5110	0.1924	0.5460	2.7814
-0.5081	0.1944	0.5440	2.7762
-0.5052	0.1963	0.5420	2.7710
-0.5023	0.1982	0.5400	2.7659
-0.5013	0.2008	0.5400	2.7607
-0.4984	0.2026	0.5380	2.7555
-0.4955	0.2044	0.5360	2.7503
-0.4924	0.2066	0.5340	2.7443
-0.4895	0.2084	0.5320	2.7391
-0.4884	0.2109	0.5320	2.7339
-0.4855	0.2126	0.5300	2.7288
-0.4825	0.2143	0.5280	2.7236
-0.4796	0.2160	0.5260	2.7184
-0.4785	0.2184	0.5260	2.7135
-0.4756	0.2200	0.5240	2.7083
-0.4724	0.2221	0.5220	2.7020
-0.4712	0.2246	0.5220	2.6968
-0.4682	0.2262	0.5200	2.6917
-0.4653	0.2277	0.5180	2.6865
-0.4624	0.2291	0.5160	2.6816
-0.4612	0.2315	0.5160	2.6764
-0.4600	0.2339	0.5160	2.6712
-0.4570	0.2353	0.5140	2.6661
-0.4537	0.2373	0.5120	2.6597
-0.4525	0.2396	0.5120	2.6546
-0.4495	0.2409	0.5100	2.6497
-0.4464	0.2424	0.5080	2.6442
-0.4443	0.2442	0.5070	2.6390
-0.4430	0.2465	0.5070	2.6338
-0.4418	0.2488	0.5070	2.6287
-0.4387	0.2502	0.5050	2.6232
-0.4365	0.2520	0.5040	2.6180
-0.4343	0.2537	0.5030	2.6128
-0.4321	0.2555	0.5020	2.6077
-0.4297	0.2576	0.5010	2.6014
-0.4275	0.2594	0.5000	2.5963
-0.4253	0.2610	0.4990	2.5911
-0.4230	0.2628	0.4980	2.5856
-0.4208	0.2645	0.4970	2.5804
-0.4186	0.2661	0.4960	2.5753
-0.4163	0.2677	0.4950	2.5701
-0.4141	0.2694	0.4940	2.5648
-0.4126	0.2716	0.4940	2.5594
-0.4104	0.2732	0.4930	2.5543
-0.4081	0.2748	0.4920	2.5491
-0.4067	0.2769	0.4920	2.5438
-0.4041	0.2789	0.4910	2.5376
-0.4019	0.2804	0.4900	2.5324
-0.3996	0.2819	0.4890	2.5272
-0.3972	0.2835	0.4880	2.5218
-0.3957	0.2855	0.4880	2.5166
-0.3935	0.2870	0.4870	2.5114
-0.3912	0.2884	0.4860	2.5062
-0.3889	0.2898	0.4850	2.5011
-0.3873	0.2920	0.4850	2.4956
-0.3858	0.2940	0.4850	2.4904
-0.3834	0.2954	0.4840	2.4852
-0.3811	0.2967	0.4830	2.4801
-0.3795	0.2988	0.4830	2.4746
-0.3769	0.3005	0.4820	2.4686
-0.3746	0.3018	0.4810	2.4634
-0.3729	0.3038	0.4810	2.4579
-0.3705	0.3051	0.4800	2.4527
-0.3690	0.3070	0.4800	2.4476
-0.3666	0.3083	0.4790	2.4424
-0.3649	0.3103	0.4790	2.4369
-0.3625	0.3115	0.4780	2.4317
-0.3609	0.3134	0.4780	2.4266
-0.3593	0.3153	0.4780	2.4214
-0.3569	0.3165	0.4770	2.4162
-0.3552	0.3184	0.4770	2.4107
-0.3528	0.3196	0.4760	2.4056
-0.3511	0.3214	0.4760	2.4004
-0.3495	0.3232	0.4760	2.3952
-0.3470	0.3243	0.4750	2.3900
-0.3453	0.3262	0.4750	2.3846
-0.3429	0.3273	0.4740	2.3794
-0.3412	0.3291	0.4740	2.3742
-0.3394	0.3308	0.4740	2.3690
-0.3377	0.3326	0.4740	2.3639
-0.3352	0.3337	0.4730	2.3584
-0.3335	0.3355	0.4730	2.3532
-0.3317	0.3372	0.4730	2.3480
-0.3289	0.3385	0.4720	2.3418
-0.3272	0.3402	0.4720	2.3366
-0.3254	0.3419	0.4720	2.3315
-0.3236	0.3436	0.4720	2.3263
-0.3217	0.3454	0.4720	2.3208
-0.3199	0.3470	0.4720	2.3156
-0.3175	0.3479	0.4710	2.3105
-0.3157	0.3496	0.4710	2.3053
-0.3138	0.3513	0.4710	2.2998
-0.3119	0.3529	0.4710	2.2946
-0.3094	0.3538	0.4700	2.2895
-0.3076	0.3554	0.4700	2.2843
-0.3064	0.3577	0.4710	2.2791
-0.3045	0.3594	0.4710	2.2736
-0.3019	0.3602	0.4700	2.2685
-0.3007	0.3625	0.4710	2.2633
-0.2988	0.3641	0.4710	2.2580
-0.2963	0.3649	0.4700	2.2528
-0.2943	0.3664	0.4700	2.2475
-0.2930	0.3687	0.4710	2.2423
-0.2911	0.3703	0.4710	2.2370
-0.2886	0.3710	0.4700	2.2318
-0.2866	0.3725	0.4700	2.2267
-0.2846	0.3740	0.4700	2.2212
-0.2826	0.3755	0.4700	2.2160
-0.2813	0.3778	0.4710	2.2108
-0.2793	0.3792	0.4710	2.2057
-0.2774	0.3807	0.4710	2.2005
-0.2753	0.3822	0.4710	2.1950
-0.2733	0.3836	0.4710	2.1899
-0.2713	0.3850	0.4710	2.1847
-0.2699	0.3872	0.4720	2.1795
-0.2678	0.3887	0.4720	2.1740
-0.2658	0.3901	0.4720	2.1689
-0.2637	0.3914	0.4720	2.1637
-0.2617	0.3928	0.4720	2.1585
-0.2597	0.3942	0.4720	2.1533
-0.2575	0.3956	0.4720	2.1479
-0.2565	0.3974	0.4730	2.1438
-0.2544	0.3988	0.4730	2.1387
-0.2523	0.4001	0.4730	2.1335
-0.2507	0.4023	0.4740	2.1280
-0.2486	0.4036	0.4740	2.1228
-0.2465	0.4049	0.4740	2.1177
-0.2444	0.4061	0.4740	2.1125
-0.2428	0.4083	0.4750	2.1073
-0.2406	0.4095	0.4750	2.1020
-0.2390	0.4116	0.4760	2.0969
-0.2369	0.4129	0.4760	2.0917
-0.2346	0.4142	0.4760	2.0862
-0.2330	0.4162	0.4770	2.0810
-0.2308	0.4174	0.4770	2.0759
