x	y	r	phi
0.3588	0.4062	0.5420	0.8473
0.3556	0.3984	0.5340	0.8422
0.3506	0.3894	0.5240	0.8378
0.3472	0.3817	0.5160	0.8327
0.3438	0.3740	0.5080	0.8275
0.3396	0.3656	0.4990	0.8222
0.3360	0.3580	0.4910	0.8170
0.3327	0.3516	0.4840	0.8130
0.3297	0.3447	0.4770	0.8075
0.3260	0.3372	0.4690	0.8024
0.3228	0.3305	0.4620	0.7972
0.3196	0.3239	0.4550	0.7920
0.3167	0.3183	0.4490	0.7879
0.3134	0.3117	0.4420	0.7827
0.3107	0.3059	0.4360	0.7775
0.3080	0.3001	0.4300	0.7724
0.3050	0.2945	0.4240	0.7679
0.3029	0.2895	0.4190	0.7628
0.3008	0.2845	0.4140	0.7576
0.2979	0.2788	0.4080	0.7524
0.2956	0.2739	0.4030	0.7472
0.2930	0.2693	0.3980	0.7432
0.2907	0.2644	0.3930	0.7380
0.2884	0.2596	0.3880	0.7329
0.2868	0.2554	0.3840	0.7276
0.2841	0.2508	0.3790	0.7233
0.2824	0.2467	0.3750	0.7181
0.2799	0.2420	0.3700	0.7129
0.2781	0.2379	0.3660	0.7077
0.2761	0.2341	0.3620	0.7033
0.2742	0.2301	0.3580	0.6982
0.2723	0.2261	0.3540	0.6930
0.2704	0.2222	0.3500	0.6878
0.2690	0.2192	0.3470	0.6838
0.2670	0.2153	0.3430	0.6785
0.2650	0.2114	0.3390	0.6733
0.2638	0.2082	0.3360	0.6681
0.2623	0.2052	0.3330	0.6638
0.2610	0.2020	0.3300	0.6587
0.2596	0.1988	0.3270	0.6535
0.2575	0.1950	0.3230	0.6483
0.2559	0.1922	0.3200	0.6442
0.2545	0.1891	0.3170	0.6390
0.2530	0.1860	0.3140	0.6338
0.2516	0.1828	0.3110	0.6284
0.2499	0.1800	0.3080	0.6242
0.2492	0.1776	0.3060	0.6191
0.2477	0.1745	0.3030	0.6139
0.2460	0.1718	0.3000	0.6096
0.2452	0.1693	0.2980	0.6044
0.2436	0.1664	0.2950	0.5992
0.2426	0.1643	0.2930	0.5951
0.2410	0.1613	0.2900	0.5899
0.2402	0.1590	0.2880	0.5847
0.2385	0.1561	0.2850	0.5796
0.2375	0.1539	0.2830	0.5751
0.2366	0.1516	0.2810	0.5700
0.2357	0.1493	0.2790	0.5648
0.2346	0.1473	0.2770	0.5608
0.2328	0.1445	0.2740	0.5556
0.2318	0.1423	0.2720	0.5504
0.2309	0.1400	0.2700	0.5452
0.2298	0.1380	0.2680	0.5408
0.2287	0.1358	0.2660	0.5356
0.2277	0.1336	0.2640	0.5305
0.2265	0.1316	0.2620	0.5263
0.2263	0.1300	0.2610	0.5215
0.2251	0.1281	0.2590	0.5173
0.2240	0.1260	0.2570	0.5124
0.2229	0.1239	0.2550	0.5073
0.2225	0.1225	0.2540	0.5031
0.2214	0.1204	0.2520	0.4983
0.2202	0.1184	0.2500	0.4934
0.2190	0.1163	0.2480	0.4882
0.2186	0.1149	0.2470	0.4841
0.2174	0.1130	0.2450	0.4792
0.2170	0.1116	0.2440	0.4752
0.2157	0.1096	0.2420	0.4702
0.2145	0.1076	0.2400	0.4650
0.2140	0.1064	0.2390	0.4612
0.2137	0.1048	0.2380	0.4560
0.2124	0.1029	0.2360	0.4511
0.2111	0.1009	0.2340	0.4459
0.2106	0.0997	0.2330	0.4421
0.2101	0.0984	0.2320	0.4380
0.2088	0.0965	0.2300	0.4329
0.2074	0.0946	0.2280	0.4279
0.2078	0.0938	0.2280	0.4239
0.2065	0.0919	0.2260	0.4190
0.2060	0.0905	0.2250	0.4138
0.2054	0.0893	0.2240	0.4100
0.2050	0.0878	0.2230	0.4048
0.2036	0.0860	0.2210	0.3998
0.2030	0.0848	0.2200	0.3958
0.2025	0.0834	0.2190	0.3909
0.2011	0.0816	0.2170	0.3857
0.2005	0.0804	0.2160	0.3816
0.1999	0.0791	0.2150	0.3767
0.1993	0.0779	0.2140	0.3726
0.1988	0.0766	0.2130	0.3677
0.1981	0.0754	0.2120	0.3636
0.1976	0.0741	0.2110	0.3587
0.1970	0.0727	0.2100	0.3535
0.1964	0.0715	0.2090	0.3494
0.1958	0.0702	0.2080	0.3445
0.1951	0.0691	0.2070	0.3404
0.1936	0.0675	0.2050	0.3355
0.1930	0.0662	0.2040	0.3303
0.1932	0.0654	0.2040	0.3265
0.1926	0.0641	0.2030	0.3213
0.1919	0.0630	0.2020	0.3172
0.1913	0.0617	0.2010	0.3123
0.1906	0.0607	0.2000	0.3082
0.1899	0.0594	0.1990	0.3033
0.1893	0.0581	0.1980	0.2981
0.1885	0.0571	0.1970	0.2940
0.1879	0.0559	0.1960	0.2892
0.1872	0.0547	0.1950	0.2842
0.1864	0.0536	0.1940	0.2801
0.1867	0.0529	0.1940	0.2760
0.1850	0.0512	0.1920	0.2700
0.1852	0.0505	0.1920	0.2660
0.1845	0.0494	0.1910	0.2618
0.1838	0.0483	0.1900	0.2569
0.1830	0.0471	0.1890	0.2521
0.1832	0.0464	0.1890	0.2479
0.1824	0.0454	0.1880	0.2438
0.1817	0.0443	0.1870	0.2389
0.1809	0.0431	0.1860	0.2337
0.1801	0.0421	0.1850	0.2297
0.1803	0.0414	0.1850	0.2259
0.1795	0.0403	0.1840	0.2207
0.1797	0.0395	0.1840	0.2166
0.1789	0.0385	0.1830	0.2117
0.1781	0.0374	0.1820	0.2068
0.1773	0.0364	0.1810	0.2027
0.1765	0.0353	0.1800	0.1975
0.1766	0.0346	0.1800	0.1937
0.1768	0.0339	0.1800	0.1895
0.1760	0.0328	0.1790	0.1844
0.1751	0.0318	0.1780	0.1795
0.1753	0.0311	0.1780	0.1754
0.1744	0.0302	0.1770	0.1713
0.1736	0.0292	0.1760	0.1664
0.1737	0.0284	0.1760	0.1623
0.1728	0.0274	0.1750	0.1574
0.1720	0.0264	0.1740	0.1522
0.1721	0.0257	0.1740	0.1481
0.1712	0.0247	0.1730	0.1432
0.1713	0.0240	0.1730	0.1391
0.1714	0.0233	0.1730	0.1350
0.1705	0.0225	0.1720	0.1313
0.1696	0.0215	0.1710	0.1261
0.1688	0.0205	0.1700	0.1211
0.1688	0.0199	0.1700	0.1171
0.1679	0.0189	0.1690	0.1122
0.1680	0.0182	0.1690	0.1080
0.1681	0.0175	0.1690	0.1039
0.1672	0.0166	0.1680	0.0990
0.1672	0.0159	0.1680	0.0949
0.1663	0.0150	0.1670	0.0897
0.1664	0.0143	0.1670	0.0857
0.1655	0.0134	0.1660	0.0807
0.1655	0.0127	0.1660	0.0767
0.1646	0.0118	0.1650	0.0715
0.1646	0.0111	0.1650	0.0674
0.1647	0.0104	0.1650	0.0633
0.1637	0.0097	0.1640	0.0593
0.1638	0.0090	0.1640	0.0551
0.1628	0.0081	0.1630	0.0500
0.1628	0.0075	0.1630	0.0458
0.1619	0.0066	0.1620	0.0407
0.1619	0.0059	0.1620	0.0366
0.1619	0.0053	0.1620	0.0325
0.1609	0.0044	0.1610	0.0276
0.1610	0.0038	0.1610	0.0235
0.1610	0.0031	0.1610	0.0194
0.1600	0.0023	0.1600	0.0142
0.1600	0.0016	0.1600	0.0102
0.1600	0.0010	0.1600	0.0060
0.1590	0.0001	0.1590	0.0009
0.1580	-0.0007	0.1580	-0.0043
0.1580	-0.0013	0.1580	-0.0084
0.1580	-0.0020	0.1580	-0.0125
0.1580	-0.0026	0.1580	-0.0166
0.1570	-0.0034	0.1570	-0.0215
0.1569	-0.0040	0.1570	-0.0256
0.1569	-0.0047	0.1570	-0.0297
0.1559	-0.0054	0.1560	-0.0349
0.1559	-0.0061	0.1560	-0.0389
0.1559	-0.0067	0.1560	-0.0430
0.1548	-0.0075	0.1550	-0.0482
0.1538	-0.0082	0.1540	-0.0531
0.1537	-0.0088	0.1540	-0.0572
0.1537	-0.0095	0.1540	-0.0616
0.1537	-0.0101	0.1540	-0.0657
0.1536	-0.0107	0.1540	-0.0698
0.1526	-0.0114	0.1530	-0.0747
0.1525	-0.0120	0.1530	-0.0788
0.1525	-0.0127	0.1530	-0.0828
0.1524	-0.0133	0.1530	-0.0870
0.1514	-0.0140	0.1520	-0.0921
0.1513	-0.0146	0.1520	-0.0963
0.1512	-0.0152	0.1520	-0.1003
0.1502	-0.0159	0.1510	-0.1055
0.1501	-0.0165	0.1510	-0.1096
0.1500	-0.0171	0.1510	-0.1137
0.0823	-0.1266	0.1510	-0.9940
0.0818	-0.1269	0.1510	-0.9980
0.0813	-0.1272	0.1510	-1.0022
0.0815	-0.1283	0.1520	-1.0051
0.0809	-0.1287	0.1520	-1.0093
0.0804	-0.1290	0.1520	-1.0133
0.0799	-0.1293	0.1520	-1.0174
0.0794	-0.1296	0.1520	-1.0212
0.0795	-0.1307	0.1530	-1.0245
0.0796	-0.1318	0.1540	-1.0275
0.0791	-0.1322	0.1540	-1.0316
0.0792	-0.1332	0.1550	-1.0346
0.0786	-0.1336	0.1550	-1.0387
0.0781	-0.1339	0.1550	-1.0425
0.0776	-0.1342	0.1550	-1.0466
0.0770	-0.1345	0.1550	-1.0507
0.0765	-0.1348	0.1550	-1.0548
0.0759	-0.1351	0.1550	-1.0588
0.0754	-0.1354	0.1550	-1.0627
0.0755	-0.1365	0.1560	-1.0659
0.0749	-0.1368	0.1560	-1.0698
0.0750	-0.1379	0.1570	-1.0730
0.0744	-0.1382	0.1570	-1.0769
0.0739	-0.1385	0.1570	-1.0810
0.0739	-0.1396	0.1580	-1.0839
0.0733	-0.1399	0.1580	-1.0881
0.0734	-0.1411	0.1590	-1.0910
0.0728	-0.1414	0.1590	-1.0952
0.0722	-0.1416	0.1590	-1.0992
0.0717	-0.1419	0.1590	-1.1033
0.0711	-0.1422	0.1590	-1.1074
0.0710	-0.1434	0.1600	-1.1107
0.0705	-0.1437	0.1600	-1.1148
0.0705	-0.1448	0.1610	-1.1178
0.0699	-0.1451	0.1610	-1.1219
0.0693	-0.1453	0.1610	-1.1259
0.0692	-0.1465	0.1620	-1.1292
0.0686	-0.1467	0.1620	-1.1333
0.0680	-0.1470	0.1620	-1.1374
0.0680	-0.1481	0.1630	-1.1404
0.0674	-0.1484	0.1630	-1.1445
0.0668	-0.1487	0.1630	-1.1486
0.0667	-0.1498	0.1640	-1.1518
0.0661	-0.1501	0.1640	-1.1560
0.0655	-0.1504	0.1640	-1.1601
0.0653	-0.1515	0.1650	-1.1641
0.0646	-0.1518	0.1650	-1.1682
0.0640	-0.1521	0.1650	-1.1723
0.0639	-0.1532	0.1660	-1.1756
0.0633	-0.1535	0.1660	-1.1797
0.0632	-0.1546	0.1670	-1.1827
0.0626	-0.1548	0.1670	-1.1868
0.0619	-0.1551	0.1670	-1.1908
0.0618	-0.1562	0.1680	-1.1941
0.0612	-0.1565	0.1680	-1.1982
0.0605	-0.1567	0.1680	-1.2024
0.0604	-0.1578	0.1690	-1.2053
0.0597	-0.1581	0.1690	-1.2094
0.0596	-0.1592	0.1700	-1.2127
0.0589	-0.1595	0.1700	-1.2167
0.0583	-0.1597	0.1700	-1.2209
0.0581	-0.1608	0.1710	-1.2238
0.0575	-0.1610	0.1710	-1.2280
0.0573	-0.1622	0.1720	-1.2312
0.0566	-0.1624	0.1720	-1.2353
0.0563	-0.1636	0.1730	-1.2395
0.0556	-0.1638	0.1730	-1.2435
0.0549	-0.1640	0.1730	-1.2476
0.0547	-0.1652	0.1740	-1.2509
0.0540	-0.1654	0.1740	-1.2550
0.0539	-0.1665	0.1750	-1.2580
0.0532	-0.1667	0.1750	-1.2621
0.0529	-0.1679	0.1760	-1.2653
0.0523	-0.1681	0.1760	-1.2694
0.0520	-0.1692	0.1770	-1.2724
0.0513	-0.1694	0.1770	-1.2765
0.0506	-0.1696	0.1770	-1.2806
0.0502	-0.1708	0.1780	-1.2847
0.0495	-0.1710	0.1780	-1.2887
0.0493	-0.1721	0.1790	-1.2920
0.0486	-0.1723	0.1790	-1.2961
0.0483	-0.1734	0.1800	-1.2991
0.0476	-0.1736	0.1800	-1.3032
0.0473	-0.1747	0.1810	-1.3065
0.0466	-0.1749	0.1810	-1.3106
0.0461	-0.1761	0.1820	-1.3147
0.0454	-0.1762	0.1820	-1.3187
0.0451	-0.1774	0.1830	-1.3218
0.0444	-0.1775	0.1830	-1.3258
0.0440	-0.1787	0.1840	-1.3291
0.0433	-0.1788	0.1840	-1.3332
0.0430	-0.1799	0.1850	-1.3362
0.0424	-0.1811	0.1860	-1.3406
0.0417	-0.1813	0.1860	-1.3446
0.0414	-0.1824	0.1870	-1.3477
0.0411	-0.1835	0.1880	-1.3507
0.0402	-0.1836	0.1880	-1.3551
0.0397	-0.1848	0.1890	-1.3591
0.0389	-0.1849	0.1890	-1.3632
0.0386	-0.1860	0.1900	-1.3662
0.0382	-0.1871	0.1910	-1.3695
0.0374	-0.1873	0.1910	-1.3736
0.0367	-0.1875	0.1910	-1.3777
0.0361	-0.1886	0.1920	-1.3817
0.0357	-0.1897	0.1930	-1.3848
0.0349	-0.1898	0.1930	-1.3888
0.0345	-0.1909	0.1940	-1.3921
0.0337	-0.1911	0.1940	-1.3962
0.0331	-0.1922	0.1950	-1.4003
0.0327	-0.1933	0.1960	-1.4033
0.0322	-0.1943	0.1970	-1.4066
0.0314	-0.1945	0.1970	-1.4107
0.0308	-0.1956	0.1980	-1.4147
0.0300	-0.1957	0.1980	-1.4188
0.0295	-0.1968	0.1990	-1.4218
0.0290	-0.1979	0.2000	-1.4252
0.0284	-0.1990	0.2010	-1.4292
0.0275	-0.1991	0.2010	-1.4333
0.0271	-0.2002	0.2020	-1.4363
0.0263	-0.2013	0.2030	-1.4407
0.0255	-0.2014	0.2030	-1.4447
0.0250	-0.2025	0.2040	-1.4478
0.0245	-0.2035	0.2050	-1.4508
0.0238	-0.2046	0.2060	-1.4551
0.0229	-0.2047	0.2060	-1.4592
0.0224	-0.2058	0.2070	-1.4622
0.0217	-0.2069	0.2080	-1.4663
0.0211	-0.2079	0.2090	-1.4696
0.0204	-0.2090	0.2100	-1.4737
0.0195	-0.2091	0.2100	-1.4778
0.0189	-0.2102	0.2110	-1.4811
0.0181	-0.2102	0.2110	-1.4851
0.0175	-0.2113	0.2120	-1.4883
0.0167	-0.2123	0.2130	-1.4925
0.0161	-0.2134	0.2140	-1.4954
0.0152	-0.2145	0.2150	-1.4998
0.0147	-0.2155	0.2160	-1.5028
0.0138	-0.2166	0.2170	-1.5069
0.0132	-0.2176	0.2180	-1.5102
0.0124	-0.2187	0.2190	-1.5143
0.0117	-0.2197	0.2200	-1.5176
0.0108	-0.2207	0.2210	-1.5217
0.0100	-0.2208	0.2210	-1.5257
0.0093	-0.2218	0.2220	-1.5290
0.0087	-0.2238	0.2240	-1.5321
0.0077	-0.2249	0.2250	-1.5364
0.0071	-0.2259	0.2260	-1.5393
0.0062	-0.2259	0.2260	-1.5435
0.0055	-0.2279	0.2280	-1.5467
0.0046	-0.2290	0.2290	-1.5509
0.0038	-0.2300	0.2300	-1.5541
0.0029	-0.2310	0.2310	-1.5582
0.0022	-0.2320	0.2320	-1.5612
0.0012	-0.2330	0.2330	-1.5655
0.0003	-0.2340	0.2340	-1.5696
-0.0004	-0.2350	0.2350	-1.5726
-0.0015	-0.2360	0.2360	-1.5770
-0.0022	-0.2370	0.2370	-1.5800
-0.0032	-0.2380	0.2380	-1.5841
-0.0040	-0.2400	0.2400	-1.5874
-0.0050	-0.2409	0.2410	-1.5915
-0.0058	-0.2419	0.2420	-1.5948
-0.0068	-0.2429	0.2430	-1.5988
-0.0076	-0.2439	0.2440	-1.6021
-0.0084	-0.2459	0.2460	-1.6051
-0.0095	-0.2468	0.2470	-1.6092
-0.0105	-0.2478	0.2480	-1.6133
-0.0114	-0.2487	0.2490	-1.6165
-0.0123	-0.2507	0.2510	-1.6199
-0.0134	-0.2516	0.2520	-1.6239
-0.0145	-0.2526	0.2530	-1.6280
-0.0154	-0.2545	0.2550	-1.6313
-0.0165	-0.2555	0.2560	-1.6354
-0.0174	-0.2564	0.2570	-1.6384
-0.0183	-0.2584	0.2590	-1.6416
-0.0195	-0.2593	0.2600	-1.6458
-0.0205	-0.2612	0.2620	-1.6490
-0.0216	-0.2621	0.2630	-1.6532
-0.0226	-0.2640	0.2650	-1.6561
-0.0238	-0.2649	0.2660	-1.6604
-0.0248	-0.2668	0.2680	-1.6635
-0.0260	-0.2677	0.2690	-1.6675
-0.0273	-0.2686	0.2700	-1.6719
-0.0283	-0.2705	0.2720	-1.6749
-0.0294	-0.2724	0.2740	-1.6782
-0.0306	-0.2733	0.2750	-1.6823
-0.0317	-0.2752	0.2770	-1.6856
-0.0330	-0.2760	0.2780	-1.6897
-0.0340	-0.2779	0.2800	-1.6927
-0.0355	-0.2798	0.2820	-1.6970
-0.0366	-0.2816	0.2840	-1.7000
-0.0379	-0.2825	0.2850	-1.7041
-0.0391	-0.2843	0.2870	-1.7074
-0.0405	-0.2861	0.2890	-1.7114
-0.0417	-0.2880	0.2910	-1.7147
-0.0429	-0.2898	0.2930	-1.7178
-0.0445	-0.2916	0.2950	-1.7221
-0.0456	-0.2935	0.2970	-1.7251
-0.0472	-0.2953	0.2990	-1.7292
-0.0483	-0.2961	0.3000	-1.7324
-0.0498	-0.2979	0.3020	-1.7366
-0.0511	-0.2997	0.3040	-1.7398
-0.0527	-0.3014	0.3060	-1.7439
-0.0541	-0.3032	0.3080	-1.7472
-0.0557	-0.3050	0.3100	-1.7513
-0.0569	-0.3068	0.3120	-1.7543
-0.0585	-0.3085	0.3140	-1.7583
-0.0600	-0.3103	0.3160	-1.7617
-0.0616	-0.3120	0.3180	-1.7657
-0.0632	-0.3147	0.3210	-1.7690
-0.0649	-0.3164	0.3230	-1.7731
-0.0663	-0.3182	0.3250	-1.7763
-0.0681	-0.3198	0.3270	-1.7805
-0.0696	-0.3226	0.3300	-1.7834
-0.0715	-0.3242	0.3320	-1.7879
-0.0731	-0.3269	0.3350	-1.7908
-0.0746	-0.3286	0.3370	-1.7941
-0.0767	-0.3312	0.3400	-1.7982
-0.0782	-0.3329	0.3420	-1.8015
-0.0803	-0.3355	0.3450	-1.8056
-0.0817	-0.3372	0.3470	-1.8086
-0.0838	-0.3398	0.3500	-1.8127
-0.0856	-0.3425	0.3530	-1.8157
-0.0877	-0.3450	0.3560	-1.8197
-0.0892	-0.3467	0.3580	-1.8228
-0.0914	-0.3492	0.3610	-1.8268
-0.0933	-0.3518	0.3640	-1.8301
-0.0954	-0.3544	0.3670	-1.8339
-0.0973	-0.3570	0.3700	-1.8369
-0.0993	-0.3595	0.3730	-1.8402
-0.1015	-0.3620	0.3760	-1.8442
-0.1035	-0.3646	0.3790	-1.8473
-0.1060	-0.3680	0.3830	-1.8513
-0.1080	-0.3706	0.3860	-1.8544
-0.1103	-0.3730	0.3890	-1.8584
-0.1126	-0.3765	0.3930	-1.8615
-0.1150	-0.3789	0.3960	-1.8655
-0.1174	-0.3824	0.4000	-1.8686
-0.1198	-0.3848	0.4030	-1.8726
-0.1222	-0.3882	0.4070	-1.8757
-0.1245	-0.3917	0.4110	-1.8786
-0.1271	-0.3940	0.4140	-1.8828
-0.1295	-0.3974	0.4180	-1.8857
-0.1324	-0.4007	0.4220	-1.8899
-0.1348	-0.4041	0.4260	-1.8928
-0.1381	-0.4083	0.4310	-1.8969
-0.1406	-0.4117	0.4350	-1.8999
-0.1436	-0.4149	0.4390	-1.9040
-0.1462	-0.4182	0.4430	-1.9070
-0.1492	-0.4224	0.4480	-1.9103
-0.1525	-0.4266	0.4530	-1.9141
-0.1552	-0.4298	0.4570	-1.9174
-0.1586	-0.4339	0.4620	-1.9212
-0.1617	-0.4381	0.4670	-1.9245
-0.1652	-0.4422	0.4720	-1.9283
-0.1684	-0.4463	0.4770	-1.9316
-0.1718	-0.4514	0.4830	-1.9345
-0.1755	-0.4554	0.4880	-1.9387
-0.1790	-0.4604	0.4940	-1.9416
-0.1828	-0.4643	0.4990	-1.9458
-0.1863	-0.4694	0.5050	-1.9487
-0.1901	-0.4732	0.5100	-1.9529
-0.1938	-0.4782	0.5160	-1.9558
-0.1980	-0.4830	0.5220	-1.9599
-0.2018	-0.4879	0.5280	-1.9629
-0.2063	-0.4947	0.5360	-1.9659
-0.2107	-0.4994	0.5420	-1.9700
-0.2153	-0.5061	0.5500	-1.9730
-0.2197	-0.5107	0.5560	-1.9771
-0.2236	-0.5156	0.5620	-1.9801
-0.2290	-0.5220	0.5700	-1.9842
-0.2338	-0.5286	0.5780	-1.9872
-0.2388	-0.5352	0.5860	-1.9904
-0.2441	-0.5415	0.5940	-1.9943
-0.2500	-0.5498	0.6040	-1.9975
-0.2554	-0.5561	0.6120	-2.0014
-0.2615	-0.5644	0.6220	-2.0046
-0.2672	-0.5705	0.6300	-2.0087
-0.2731	-0.5788	0.6400	-2.0117
-0.2791	-0.5870	0.6500	-2.0147
-0.2859	-0.5949	0.6600	-2.0188
-0.2920	-0.6030	0.6700	-2.0218
-0.2989	-0.6108	0.6800	-2.0259
-0.3060	-0.6207	0.6920	-2.0289
-0.3130	-0.6283	0.7020	-2.0330
-0.3203	-0.6381	0.7140	-2.0360
-0.3276	-0.6479	0.7260	-2.0389
-0.3366	-0.6590	0.7400	-2.0431
-0.3441	-0.6687	0.7520	-2.0460
-0.3533	-0.6797	0.7660	-2.0502
-0.3618	-0.6910	0.7800	-2.0531
-0.3715	-0.7040	0.7960	-2.0564
-0.3817	-0.7167	0.8120	-2.0602
-0.3916	-0.7295	0.8280	-2.0635
-0.4023	-0.7420	0.8440	-2.0676
-0.4131	-0.7566	0.8620	-2.0706
-0.4241	-0.7711	0.8800	-2.0737
-0.4359	-0.7851	0.8980	-2.0777
-0.4481	-0.8012	0.9180	-2.0807
-0.4612	-0.8168	0.9380	-2.0848
-0.4736	-0.8328	0.9580	-2.0878
-0.4889	-0.8517	0.9820	-2.0919
-0.8664	-0.4790	0.9900	-2.6365
-0.8601	-0.4697	0.9800	-2.6417
-0.8514	-0.4606	0.9680	-2.6457
-0.8445	-0.4523	0.9580	-2.6499
-0.8376	-0.4440	0.9480	-2.6542
-0.8309	-0.4352	0.9380	-2.6592
-0.8256	-0.4281	0.9300	-2.6632
-0.8186	-0.4199	0.9200	-2.6676
-0.8099	-0.4105	0.9080	-2.6725
-0.8044	-0.4036	0.9000	-2.6766
-0.8062	-0.4001	0.9000	-2.6809
-0.8096	-0.3977	0.9020	-2.6850
-0.8130	-0.3952	0.9040	-2.6892
-0.8164	-0.3928	0.9060	-2.6932
-0.8217	-0.3911	0.9100	-2.6973
-0.8351	-0.3859	0.9200	-2.7087
-0.7591	-0.0361	0.7600	-3.0941
-0.7633	-0.0332	0.7640	-3.0982
-0.7654	-0.0301	0.7660	-3.1023
-0.7695	-0.0280	0.7700	-3.1053
-0.7716	-0.0249	0.7720	-3.1094
-0.7757	-0.0220	0.7760	-3.1132
-0.7798	-0.0190	0.7800	-3.1172
-0.7818	-0.0158	0.7820	-3.1214
-0.7859	-0.0127	0.7860	-3.1255
-0.7899	-0.0097	0.7900	-3.1293
-0.7920	-0.0065	0.7920	-3.1333
-0.7960	-0.0042	0.7960	-3.1363
-0.8000	-0.0009	0.8000	-3.1404
-0.3560	-0.0035	0.3560	-3.1317
-0.3580	-0.0025	0.3580	-3.1345
-0.3600	-0.0011	0.3600	-3.1385
