x	y	r	phi
-0.5480	0.0020	0.5480	3.1379
-0.5480	0.0043	0.5480	3.1337
-0.5460	0.0071	0.5460	3.1286
-0.5439	0.0093	0.5440	3.1244
-0.5419	0.0114	0.5420	3.1206
-0.5398	0.0135	0.5400	3.1166
-0.5398	0.0157	0.5400	3.1124
-0.5377	0.0179	0.5380	3.1083
-0.5356	0.0200	0.5360	3.1043
-0.5335	0.0225	0.5340	3.0994
-0.5334	0.0247	0.5340	3.0953
-0.5313	0.0268	0.5320	3.0912
-0.5292	0.0287	0.5300	3.0873
-0.5291	0.0307	0.5300	3.0836
-0.5270	0.0328	0.5280	3.0795
-0.5249	0.0347	0.5260	3.0756
-0.5227	0.0365	0.5240	3.0718
-0.5226	0.0386	0.5240	3.0678
-0.5204	0.0411	0.5220	3.0628
-0.5182	0.0429	0.5200	3.0590
-0.5181	0.0449	0.5200	3.0552
-0.5159	0.0468	0.5180	3.0511
-0.5157	0.0488	0.5180	3.0473
-0.5135	0.0506	0.5160	3.0434
-0.5133	0.0526	0.5160	3.0394
-0.5111	0.0544	0.5140	3.0356
-0.5089	0.0567	0.5120	3.0307
-0.5086	0.0586	0.5120	3.0268
-0.5064	0.0603	0.5100	3.0230
-0.5042	0.0622	0.5080	3.0189
-0.5030	0.0639	0.5070	3.0151
-0.5027	0.0659	0.5070	3.0113
-0.5014	0.0678	0.5060	3.0072
-0.4992	0.0695	0.5040	3.0033
-0.4979	0.0712	0.5030	2.9996
-0.4967	0.0731	0.5020	2.9955
-0.4953	0.0754	0.5010	2.9906
-0.4940	0.0771	0.5000	2.9868
-0.4927	0.0788	0.4990	2.9829
-0.4914	0.0807	0.4980	2.9788
-0.4901	0.0824	0.4970	2.9751
-0.4888	0.0841	0.4960	2.9712
-0.4875	0.0859	0.4950	2.9671
-0.4862	0.0876	0.4940	2.9633
-0.4848	0.0893	0.4930	2.9594
-0.4835	0.0911	0.4920	2.9554
-0.4821	0.0932	0.4910	2.9505
-0.4807	0.0949	0.4900	2.9467
-0.4804	0.0967	0.4900	2.9428
-0.4790	0.0985	0.4890	2.9387
-0.4766	0.0999	0.4870	2.9349
-0.4753	0.1015	0.4860	2.9311
-0.4749	0.1035	0.4860	2.9270
-0.4735	0.1051	0.4850	2.9232
-0.4731	0.1069	0.4850	2.9194
-0.4717	0.1086	0.4840	2.9153
-0.4703	0.1102	0.4830	2.9115
-0.4698	0.1120	0.4830	2.9077
-0.4694	0.1139	0.4830	2.9035
-0.4649	0.1152	0.4790	2.8986
-0.4625	0.1165	0.4770	2.8948
-0.4621	0.1183	0.4770	2.8910
-0.4616	0.1202	0.4770	2.8870
-0.4612	0.1219	0.4770	2.8831
-0.4597	0.1234	0.4760	2.8793
-0.4582	0.1251	0.4750	2.8752
-0.4568	0.1265	0.4740	2.8714
-0.4554	0.1280	0.4730	2.8676
-0.4548	0.1299	0.4730	2.8635
-0.4533	0.1317	0.4720	2.8589
-0.4518	0.1333	0.4710	2.8547
-0.4503	0.1347	0.4700	2.8509
-0.4498	0.1364	0.4700	2.8471
-0.4492	0.1382	0.4700	2.8430
-0.4496	0.1403	0.4710	2.8392
-0.4491	0.1420	0.4710	2.8354
-0.4485	0.1438	0.4710	2.8313
-0.4470	0.1452	0.4700	2.8275
-0.4436	0.1460	0.4670	2.8237
-0.4401	0.1469	0.4640	2.8196
-0.4385	0.1487	0.4630	2.8147
-0.4379	0.1504	0.4630	2.8108
-0.4384	0.1520	0.4640	2.8079
-0.4367	0.1538	0.4630	2.8030
-0.4361	0.1555	0.4630	2.7991
-0.4346	0.1568	0.4620	2.7953
-0.4339	0.1586	0.4620	2.7912
-0.4324	0.1599	0.4610	2.7874
-0.4308	0.1612	0.4600	2.7836
-0.4302	0.1630	0.4600	2.7795
-0.4295	0.1646	0.4600	2.7756
-0.4280	0.1659	0.4590	2.7718
-0.4273	0.1676	0.4590	2.7678
-0.4257	0.1689	0.4580	2.7639
-0.4241	0.1701	0.4570	2.7601
-0.4234	0.1719	0.4570	2.7560
-0.4228	0.1735	0.4570	2.7522
-0.4221	0.1751	0.4570	2.7484
-0.4214	0.1768	0.4570	2.7443
-0.4198	0.1781	0.4560	2.7405
-0.4180	0.1797	0.4550	2.7356
-0.4173	0.1813	0.4550	2.7317
-0.4157	0.1826	0.4540	2.7277
-0.4140	0.1838	0.4530	2.7239
-0.4133	0.1854	0.4530	2.7200
-0.4126	0.1871	0.4530	2.7159
-0.4119	0.1886	0.4530	2.7121
-0.4102	0.1899	0.4520	2.7081
-0.4094	0.1916	0.4520	2.7039
-0.4077	0.1928	0.4510	2.6998
-0.4069	0.1945	0.4510	2.6958
-0.4061	0.1961	0.4510	2.6917
-0.4053	0.1978	0.4510	2.6875
-0.4045	0.1994	0.4510	2.6835
-0.4036	0.2012	0.4510	2.6791
-0.4019	0.2024	0.4500	2.6751
-0.4011	0.2041	0.4500	2.6709
-0.3993	0.2053	0.4490	2.6668
-0.3985	0.2069	0.4490	2.6628
-0.3968	0.2080	0.4480	2.6587
-0.3959	0.2097	0.4480	2.6546
-0.3951	0.2113	0.4480	2.6505
-0.3942	0.2129	0.4480	2.6464
-0.3933	0.2145	0.4480	2.6423
-0.3924	0.2161	0.4480	2.6383
-0.3904	0.2176	0.4470	2.6331
-0.3895	0.2192	0.4470	2.6290
-0.3886	0.2208	0.4470	2.6248
-0.3869	0.2219	0.4460	2.6208
-0.3860	0.2235	0.4460	2.6167
-0.3850	0.2251	0.4460	2.6126
-0.3841	0.2266	0.4460	2.6085
-0.3832	0.2282	0.4460	2.6044
-0.3822	0.2298	0.4460	2.6003
-0.3812	0.2315	0.4460	2.5960
-0.3803	0.2330	0.4460	2.5919
-0.3793	0.2346	0.4460	2.5877
-0.3775	0.2356	0.4450	2.5837
-0.3766	0.2371	0.4450	2.5796
-0.3756	0.2387	0.4450	2.5755
-0.3746	0.2402	0.4450	2.5714
-0.3736	0.2417	0.4450	2.5673
-0.3726	0.2433	0.4450	2.5632
-0.3716	0.2448	0.4450	2.5592
-0.3706	0.2463	0.4450	2.5550
-0.3688	0.2473	0.4440	2.5509
-0.3678	0.2488	0.4440	2.5469
-0.3667	0.2504	0.4440	2.5425
-0.3657	0.2519	0.4440	2.5385
-0.3646	0.2534	0.4440	2.5343
-0.3636	0.2549	0.4440	2.5302
-0.3625	0.2563	0.4440	2.5262
-0.3615	0.2578	0.4440	2.5221
-0.3612	0.2599	0.4450	2.5179
-0.3602	0.2613	0.4450	2.5139
-0.3591	0.2628	0.4450	2.5098
-0.3580	0.2643	0.4450	2.5057
-0.3577	0.2663	0.4460	2.5016
-0.3566	0.2678	0.4460	2.4975
-0.3555	0.2693	0.4460	2.4934
-0.3545	0.2707	0.4460	2.4894
-0.3540	0.2729	0.4470	2.4850
-0.3540	0.2745	0.4480	2.4820
-0.3545	0.2772	0.4500	2.4779
-0.3507	0.2772	0.4470	2.4727
-0.3441	0.2743	0.4400	2.4686
-0.3411	0.2747	0.4380	2.4637
-0.3418	0.2771	0.4400	2.4604
-0.3430	0.2804	0.4430	2.4563
-0.3434	0.2830	0.4450	2.4523
-0.3422	0.2844	0.4450	2.4481
-0.3410	0.2859	0.4450	2.4440
-0.3399	0.2872	0.4450	2.4400
-0.3395	0.2893	0.4460	2.4359
-0.3383	0.2907	0.4460	2.4317
-0.3370	0.2921	0.4460	2.4274
