x	y	r	phi
-0.4390	0.0016	0.4390	3.1379
-0.4440	0.0031	0.4440	3.1346
-0.4490	0.0046	0.4490	3.1312
-0.4550	0.0067	0.4550	3.1269
-0.4599	0.0082	0.4600	3.1237
-0.4659	0.0098	0.4660	3.1206
-0.4718	0.0119	0.4720	3.1163
-0.4778	0.0137	0.4780	3.1130
-0.4848	0.0154	0.4850	3.1098
-0.4907	0.0176	0.4910	3.1056
-0.4976	0.0195	0.4980	3.1024
-0.5045	0.0214	0.5050	3.0991
-0.5114	0.0238	0.5120	3.0950
-0.5174	0.0258	0.5180	3.0917
-0.5253	0.0279	0.5260	3.0885
-0.5331	0.0305	0.5340	3.0844
-0.5410	0.0328	0.5420	3.0811
-0.5489	0.0350	0.5500	3.0778
-0.5567	0.0378	0.5580	3.0737
-0.5646	0.0402	0.5660	3.0705
-0.5744	0.0428	0.5760	3.0672
-0.5822	0.0458	0.5840	3.0631
-0.5920	0.0485	0.5940	3.0598
-0.6018	0.0513	0.6040	3.0566
-0.6116	0.0548	0.6140	3.0522
-0.6213	0.0578	0.6240	3.0489
-0.6331	0.0608	0.6360	3.0459
-0.6448	0.0640	0.6480	3.0427
-0.6545	0.0679	0.6580	3.0382
-0.6662	0.0713	0.6700	3.0350
-0.6799	0.0748	0.6840	3.0320
-0.6915	0.0791	0.6960	3.0277
-0.7051	0.0831	0.7100	3.0243
-0.7187	0.0870	0.7240	3.0211
-0.7343	0.0919	0.7400	3.0171
-0.7478	0.0962	0.7540	3.0137
-0.7634	0.1007	0.7700	3.0104
-0.7788	0.1059	0.7860	3.0064
-0.7943	0.1107	0.8020	3.0032
-0.8118	0.1159	0.8200	2.9998
-0.8291	0.1218	0.8380	2.9958
-0.8485	0.1274	0.8580	2.9925
-0.8677	0.1342	0.8780	2.9881
-0.8890	0.1402	0.9000	2.9851
-0.9103	0.1466	0.9220	2.9819
-0.9313	0.1542	0.9440	2.9775
-0.9545	0.1613	0.9680	2.9742
-0.9796	0.1685	0.9940	2.9712
0.3124	-0.3084	0.4390	-0.7791
0.3050	-0.3045	0.4310	-0.7845
0.2978	-0.3004	0.4230	-0.7897
0.2914	-0.2969	0.4160	-0.7949
0.2850	-0.2933	0.4090	-0.7998
0.2786	-0.2898	0.4020	-0.8050
0.2724	-0.2861	0.3950	-0.8099
0.2661	-0.2824	0.3880	-0.8151
0.2605	-0.2794	0.3820	-0.8203
0.2551	-0.2762	0.3760	-0.8252
0.2496	-0.2731	0.3700	-0.8304
0.2449	-0.2706	0.3650	-0.8353
0.2395	-0.2674	0.3590	-0.8404
0.2349	-0.2649	0.3540	-0.8453
0.2302	-0.2623	0.3490	-0.8505
0.2256	-0.2597	0.3440	-0.8555
0.2210	-0.2571	0.3390	-0.8607
0.2165	-0.2543	0.3340	-0.8655
0.2126	-0.2524	0.3300	-0.8707
0.2088	-0.2503	0.3260	-0.8756
0.2050	-0.2483	0.3220	-0.8808
0.2012	-0.2462	0.3180	-0.8857
0.1974	-0.2442	0.3140	-0.8909
0.1937	-0.2420	0.3100	-0.8958
0.1900	-0.2399	0.3060	-0.9010
0.1863	-0.2377	0.3020	-0.9059
0.1833	-0.2363	0.2990	-0.9111
0.1796	-0.2340	0.2950	-0.9163
0.1766	-0.2325	0.2920	-0.9212
0.1736	-0.2310	0.2890	-0.9263
0.1709	-0.2293	0.2860	-0.9305
0.1680	-0.2278	0.2830	-0.9353
0.1650	-0.2262	0.2800	-0.9405
0.1622	-0.2246	0.2770	-0.9454
0.1592	-0.2230	0.2740	-0.9506
0.1564	-0.2213	0.2710	-0.9555
0.1541	-0.2205	0.2690	-0.9607
0.1513	-0.2188	0.2660	-0.9656
0.1491	-0.2179	0.2640	-0.9708
0.1463	-0.2161	0.2610	-0.9757
0.1435	-0.2144	0.2580	-0.9809
0.1414	-0.2134	0.2560	-0.9858
0.1394	-0.2123	0.2540	-0.9899
0.1367	-0.2105	0.2510	-0.9951
0.1345	-0.2095	0.2490	-1.0000
0.1324	-0.2085	0.2470	-1.0051
0.1302	-0.2075	0.2450	-1.0103
0.1276	-0.2056	0.2420	-1.0152
0.1255	-0.2046	0.2400	-1.0204
0.1242	-0.2042	0.2390	-1.0242
0.1221	-0.2031	0.2370	-1.0294
0.1194	-0.2013	0.2340	-1.0354
0.1180	-0.2009	0.2330	-1.0396
0.1160	-0.1998	0.2310	-1.0447
0.1140	-0.1986	0.2290	-1.0496
0.1120	-0.1974	0.2270	-1.0548
0.1101	-0.1962	0.2250	-1.0597
0.1081	-0.1951	0.2230	-1.0649
0.1068	-0.1946	0.2220	-1.0690
0.1049	-0.1934	0.2200	-1.0739
0.1029	-0.1922	0.2180	-1.0791
0.1015	-0.1918	0.2170	-1.0839
0.0996	-0.1905	0.2150	-1.0891
0.0978	-0.1892	0.2130	-1.0940
0.0965	-0.1888	0.2120	-1.0981
0.0951	-0.1884	0.2110	-1.1033
0.0937	-0.1879	0.2100	-1.1082
0.0925	-0.1874	0.2090	-1.1123
0.0907	-0.1861	0.2070	-1.1175
0.0893	-0.1856	0.2060	-1.1224
0.0875	-0.1843	0.2040	-1.1276
0.0861	-0.1838	0.2030	-1.1327
0.0849	-0.1833	0.2020	-1.1369
0.0836	-0.1828	0.2010	-1.1418
0.0818	-0.1814	0.1990	-1.1469
0.0806	-0.1809	0.1980	-1.1518
0.0788	-0.1795	0.1960	-1.1570
0.0775	-0.1789	0.1950	-1.1620
0.0764	-0.1783	0.1940	-1.1660
0.0751	-0.1778	0.1930	-1.1712
0.0738	-0.1772	0.1920	-1.1762
0.0727	-0.1766	0.1910	-1.1802
0.0714	-0.1761	0.1900	-1.1854
0.0702	-0.1755	0.1890	-1.1904
0.0691	-0.1748	0.1880	-1.1944
0.0678	-0.1743	0.1870	-1.1996
