x	y	r	phi
-0.3340	0.0005	0.3340	3.1400
-0.3350	0.0018	0.3350	3.1362
-0.3350	0.0032	0.3350	3.1321
-0.3360	0.0046	0.3360	3.1280
-0.3359	0.0059	0.3360	3.1240
-0.3379	0.0071	0.3380	3.1206
-0.3389	0.0085	0.3390	3.1166
-0.3389	0.0099	0.3390	3.1124
-0.3398	0.0113	0.3400	3.1083
-0.3398	0.0126	0.3400	3.1046
-0.3407	0.0140	0.3410	3.1005
-0.3407	0.0154	0.3410	3.0963
-0.3416	0.0166	0.3420	3.0931
-0.3415	0.0180	0.3420	3.0891
-0.3424	0.0194	0.3430	3.0849
-0.3424	0.0208	0.3430	3.0808
-0.3433	0.0223	0.3440	3.0768
-0.3442	0.0237	0.3450	3.0729
-0.3441	0.0251	0.3450	3.0688
-0.3450	0.0266	0.3460	3.0647
-0.3459	0.0278	0.3470	3.0614
-0.3468	0.0293	0.3480	3.0574
-0.3466	0.0307	0.3480	3.0533
-0.3475	0.0322	0.3490	3.0492
-0.3484	0.0337	0.3500	3.0451
-0.3492	0.0351	0.3510	3.0413
-0.3501	0.0364	0.3520	3.0380
-0.3520	0.0380	0.3540	3.0339
-0.3518	0.0395	0.3540	3.0298
-0.3526	0.0410	0.3550	3.0258
-0.3525	0.0424	0.3550	3.0219
-0.3533	0.0440	0.3560	3.0178
-0.3531	0.0454	0.3560	3.0137
-0.3539	0.0466	0.3570	3.0107
-0.3547	0.0482	0.3580	3.0066
-0.3555	0.0497	0.3590	3.0026
-0.3563	0.0514	0.3600	2.9985
-0.3571	0.0530	0.3610	2.9943
-0.3579	0.0542	0.3620	2.9914
-0.3587	0.0558	0.3630	2.9873
-0.3594	0.0574	0.3640	2.9832
-0.3602	0.0591	0.3650	2.9791
-0.3609	0.0607	0.3660	2.9751
-0.3617	0.0622	0.3670	2.9712
-0.3625	0.0636	0.3680	2.9680
-0.3632	0.0651	0.3690	2.9641
-0.3639	0.0668	0.3700	2.9600
-0.3646	0.0685	0.3710	2.9559
-0.3653	0.0702	0.3720	2.9519
-0.3661	0.0715	0.3730	2.9488
-0.3678	0.0733	0.3750	2.9448
-0.3704	0.0754	0.3780	2.9406
-0.3701	0.0770	0.3780	2.9365
-0.3688	0.0783	0.3770	2.9325
-0.3694	0.0800	0.3780	2.9284
-0.3702	0.0813	0.3790	2.9254
-0.3708	0.0830	0.3800	2.9213
-0.3715	0.0848	0.3810	2.9172
-0.3721	0.0864	0.3820	2.9134
-0.3727	0.0882	0.3830	2.9093
-0.3733	0.0899	0.3840	2.9052
-0.3740	0.0913	0.3850	2.9022
-0.3746	0.0931	0.3860	2.8981
-0.3752	0.0948	0.3870	2.8940
-0.3748	0.0964	0.3870	2.8899
-0.3754	0.0982	0.3880	2.8858
-0.3759	0.0999	0.3890	2.8818
-0.3776	0.1016	0.3910	2.8787
-0.3791	0.1037	0.3930	2.8747
-0.3806	0.1058	0.3950	2.8706
-0.3811	0.1076	0.3960	2.8664
-0.3817	0.1090	0.3970	2.8635
-0.3823	0.1109	0.3980	2.8593
-0.3828	0.1126	0.3990	2.8556
-0.3833	0.1144	0.4000	2.8515
-0.3847	0.1166	0.4020	2.8474
-0.3852	0.1184	0.4030	2.8433
-0.3868	0.1202	0.4050	2.8403
-0.3872	0.1221	0.4060	2.8362
-0.3877	0.1240	0.4070	2.8321
-0.3891	0.1262	0.4090	2.8280
-0.3906	0.1279	0.4110	2.8250
-0.3910	0.1299	0.4120	2.8209
-0.3914	0.1318	0.4130	2.8169
-0.3928	0.1340	0.4150	2.8127
-0.3932	0.1360	0.4160	2.8086
