x	y	r	phi
-0.5680	0.0008	0.5680	3.1403
-0.5680	0.0030	0.5680	3.1362
-0.5660	0.0054	0.5660	3.1321
-0.5639	0.0077	0.5640	3.1280
-0.5619	0.0099	0.5620	3.1240
-0.5619	0.0122	0.5620	3.1198
-0.5598	0.0145	0.5600	3.1157
-0.5577	0.0173	0.5580	3.1105
-0.5557	0.0195	0.5560	3.1065
-0.5556	0.0218	0.5560	3.1024
-0.5535	0.0240	0.5540	3.0983
-0.5514	0.0261	0.5520	3.0942
-0.5513	0.0284	0.5520	3.0901
-0.5491	0.0306	0.5500	3.0860
-0.5470	0.0327	0.5480	3.0820
-0.5469	0.0349	0.5480	3.0778
-0.5447	0.0375	0.5460	3.0729
-0.5426	0.0396	0.5440	3.0688
-0.5424	0.0418	0.5440	3.0647
-0.5402	0.0438	0.5420	3.0607
-0.5380	0.0459	0.5400	3.0566
-0.5379	0.0481	0.5400	3.0524
-0.5357	0.0501	0.5380	3.0484
-0.5355	0.0523	0.5380	3.0443
-0.5352	0.0545	0.5380	3.0402
-0.5330	0.0564	0.5360	3.0361
-0.5307	0.0589	0.5340	3.0311
-0.5305	0.0610	0.5340	3.0271
-0.5283	0.0629	0.5320	3.0230
-0.5260	0.0649	0.5300	3.0189
-0.5257	0.0670	0.5300	3.0148
-0.5255	0.0692	0.5300	3.0107
-0.5232	0.0711	0.5280	3.0066
-0.5209	0.0729	0.5260	3.0026
-0.5206	0.0750	0.5260	2.9985
-0.5203	0.0772	0.5260	2.9943
-0.5180	0.0790	0.5240	2.9903
-0.5156	0.0813	0.5220	2.9851
-0.5153	0.0835	0.5220	2.9810
-0.5149	0.0856	0.5220	2.9769
-0.5126	0.0873	0.5200	2.9729
-0.5123	0.0893	0.5200	2.9690
-0.5099	0.0911	0.5180	2.9649
-0.5096	0.0931	0.5180	2.9609
-0.5092	0.0952	0.5180	2.9567
-0.5068	0.0969	0.5160	2.9526
-0.5064	0.0990	0.5160	2.9486
-0.5040	0.1007	0.5140	2.9445
-0.5036	0.1027	0.5140	2.9404
-0.5011	0.1049	0.5120	2.9352
-0.5007	0.1070	0.5120	2.9311
-0.5003	0.1090	0.5120	2.9270
-0.4988	0.1109	0.5110	2.9229
-0.4974	0.1126	0.5100	2.9189
-0.4960	0.1145	0.5090	2.9148
-0.4945	0.1163	0.5080	2.9106
-0.4931	0.1180	0.5070	2.9066
-0.4926	0.1201	0.5070	2.9025
-0.4911	0.1219	0.5060	2.8984
-0.4906	0.1238	0.5060	2.8943
-0.4892	0.1255	0.5050	2.8905
-0.4886	0.1275	0.5050	2.8864
-0.4862	0.1290	0.5030	2.8823
-0.4857	0.1309	0.5030	2.8782
-0.4841	0.1327	0.5020	2.8741
-0.4836	0.1347	0.5020	2.8700
-0.4819	0.1369	0.5010	2.8648
-0.4804	0.1386	0.5000	2.8608
-0.4798	0.1405	0.5000	2.8567
-0.4783	0.1422	0.4990	2.8525
-0.4768	0.1439	0.4980	2.8485
-0.4762	0.1458	0.4980	2.8444
-0.4756	0.1478	0.4980	2.8403
-0.4740	0.1494	0.4970	2.8362
-0.4724	0.1511	0.4960	2.8321
-0.4718	0.1530	0.4960	2.8280
-0.4702	0.1546	0.4950	2.8240
-0.4686	0.1562	0.4940	2.8198
-0.4680	0.1580	0.4940	2.8160
-0.4674	0.1599	0.4940	2.8120
-0.4658	0.1615	0.4930	2.8079
-0.4651	0.1634	0.4930	2.8037
-0.4635	0.1650	0.4920	2.7997
-0.4628	0.1669	0.4920	2.7956
-0.4621	0.1688	0.4920	2.7915
-0.4603	0.1708	0.4910	2.7863
-0.4596	0.1727	0.4910	2.7823
-0.4580	0.1742	0.4900	2.7781
-0.4573	0.1761	0.4900	2.7740
-0.4566	0.1779	0.4900	2.7700
-0.4558	0.1798	0.4900	2.7659
-0.4551	0.1817	0.4900	2.7617
-0.4534	0.1831	0.4890	2.7577
-0.4527	0.1849	0.4890	2.7539
-0.4519	0.1867	0.4890	2.7498
-0.4512	0.1885	0.4890	2.7459
-0.4495	0.1899	0.4880	2.7419
-0.4478	0.1914	0.4870	2.7378
-0.4480	0.1935	0.4880	2.7339
-0.4481	0.1957	0.4890	2.7298
-0.4456	0.1966	0.4870	2.7261
-0.4420	0.1972	0.4840	2.7220
-0.4412	0.1990	0.4840	2.7178
-0.4404	0.2007	0.4840	2.7140
-0.4387	0.2021	0.4830	2.7100
