x	y
0.0992	0.4553
0.1013	0.4559
0.1032	0.4555
0.1053	0.4570
0.1075	0.4576
0.1096	0.4581
0.1113	0.4577
0.1134	0.4582
0.1150	0.4588
0.1169	0.4583
0.1190	0.4588
0.1211	0.4593
0.1232	0.4598
0.1256	0.4612
0.1275	0.4607
0.1292	0.4602
0.1317	0.4616
0.1336	0.4610
0.1356	0.4615
0.1375	0.4630
0.1397	0.4634
0.1416	0.4628
0.1438	0.4632
0.1459	0.4636
0.1484	0.4649
0.1509	0.4662
0.1527	0.4656
0.1549	0.4659
0.1566	0.4664
0.1591	0.4677
0.1614	0.4680
0.1635	0.4683
0.1658	0.4685
0.1683	0.4697
0.4810	-0.1209
0.4756	-0.1220
0.4712	-0.1229
0.4669	-0.1237
0.4614	-0.1248
0.4571	-0.1255
0.4526	-0.1268
0.4482	-0.1276
0.4437	-0.1287
0.4394	-0.1293
0.4349	-0.1303
0.4305	-0.1310
0.4270	-0.1322
0.4226	-0.1327
0.4182	-0.1336
0.4148	-0.1344
0.4105	-0.1347
0.4069	-0.1359
0.4035	-0.1366
0.3990	-0.1373
0.3957	-0.1379
0.3922	-0.1388
0.3888	-0.1394
0.3854	-0.1399
0.3818	-0.1409
0.3785	-0.1414
0.3759	-0.1425
0.3725	-0.1430
0.3690	-0.1437
0.3656	-0.1441
0.3621	-0.1448
0.3597	-0.1455
0.3563	-0.1459
0.3528	-0.1466
0.3503	-0.1472
0.3477	-0.1483
0.3453	-0.1489
0.3419	-0.1491
0.3393	-0.1501
0.3359	-0.1502
0.3334	-0.1510
0.3309	-0.1516
0.3285	-0.1522
0.3259	-0.1529
0.3235	-0.1534
0.3200	-0.1538
0.3184	-0.1547
0.3160	-0.1551
0.3134	-0.1558
0.3110	-0.1562
0.3084	-0.1568
0.3060	-0.1573
0.3035	-0.1576
0.3019	-0.1586
0.2995	-0.1589
0.2970	-0.1592
0.2945	-0.1598
0.2920	-0.1600
0.2903	-0.1610
0.2879	-0.1612
0.2864	-0.1619
0.2838	-0.1624
0.2814	-0.1626
0.2799	-0.1632
0.2782	-0.1641
0.2758	-0.1643
0.2743	-0.1649
0.2717	-0.1652
0.2702	-0.1658
0.2676	-0.1661
0.2661	-0.1667
0.2646	-0.1672
0.2620	-0.1675
0.2605	-0.1681
0.2590	-0.1686
0.2564	-0.1688
0.2549	-0.1693
0.2525	-0.1692
0.2509	-0.1699
0.2494	-0.1704
0.2478	-0.1709
0.2463	-0.1713
0.2446	-0.1720
0.2423	-0.1718
0.2406	-0.1725
0.2391	-0.1729
0.2375	-0.1733
0.2360	-0.1736
0.2343	-0.1743
0.2320	-0.1740
0.2303	-0.1746
0.2296	-0.1755
0.2281	-0.1759
0.2266	-0.1762
0.2250	-0.1765
0.2226	-0.1764
0.2211	-0.1767
0.2203	-0.1776
0.2187	-0.1781
0.2172	-0.1783
0.2156	-0.1786
0.2140	-0.1790
0.2132	-0.1799
0.2110	-0.1795
0.2093	-0.1799
0.2078	-0.1801
0.2063	-0.1803
0.2056	-0.1811
0.2039	-0.1815
0.2024	-0.1817
0.2016	-0.1825
0.2009	-0.1834
0.2001	-0.1842
0.1987	-0.1843
0.1955	-0.1833
0.1938	-0.1836
0.1924	-0.1837
0.1909	-0.1838
0.1901	-0.1846
0.1885	-0.1849
0.1877	-0.1857
0.1862	-0.1857
0.1848	-0.1858
0.1832	-0.1859
0.1817	-0.1860
0.1809	-0.1868
0.1795	-0.1867
0.1779	-0.1869
0.1765	-0.1868
0.1742	-0.1862
0.1735	-0.1869
0.1727	-0.1876
0.1713	-0.1875
0.1706	-0.1882
0.1705	-0.1896
0.1698	-0.1903
0.1684	-0.1902
0.1655	-0.1887
0.1639	-0.1888
0.1624	-0.1887
0.1609	-0.1887
0.1601	-0.1894
0.1594	-0.1900
0.1580	-0.1898
0.1573	-0.1905
0.1565	-0.1911
0.1558	-0.1917
0.1544	-0.1915
0.1537	-0.1921
0.1521	-0.1921
0.1507	-0.1919
0.1500	-0.1925
0.1484	-0.1924
0.1477	-0.1930
0.1469	-0.1935
0.1461	-0.1941
0.1448	-0.1939
0.1432	-0.1938
0.1425	-0.1943
0.1411	-0.1941
0.1398	-0.1938
0.1383	-0.1937
0.1375	-0.1942
0.1367	-0.1948
0.1360	-0.1953
0.1352	-0.1958
0.1344	-0.1964
0.1331	-0.1961
0.1324	-0.1966
0.1316	-0.1971
0.1308	-0.1976
0.1293	-0.1974
0.1272	-0.1964
0.1265	-0.1969
0.1252	-0.1965
0.1239	-0.1962
0.1231	-0.1966
0.1224	-0.1971
0.1216	-0.1976
0.1208	-0.1981
0.1200	-0.1985
0.1192	-0.1990
0.1185	-0.1995
0.1170	-0.1992
0.1162	-0.1996
0.1154	-0.2001
0.1146	-0.2006
0.1139	-0.2010
0.1126	-0.2006
0.1106	-0.1994
0.1098	-0.1998
0.1091	-0.2002
0.1082	-0.2007
0.1068	-0.2003
0.1060	-0.2007
0.1053	-0.2011
0.1040	-0.2007
0.1032	-0.2011
0.1024	-0.2014
0.1016	-0.2019
0.1009	-0.2022
0.1001	-0.2026
0.0992	-0.2030
0.0985	-0.2034
0.0977	-0.2038
0.0969	-0.2042
0.0954	-0.2038
0.0942	-0.2032
0.0935	-0.2036
0.0920	-0.2031
0.0913	-0.2035
0.0904	-0.2038
0.0897	-0.2042
0.0889	-0.2045
0.0880	-0.2049
0.0873	-0.2052
0.0865	-0.2056
0.0856	-0.2059
0.0848	-0.2062
0.0837	-0.2056
0.0828	-0.2060
0.0821	-0.2063
0.0812	-0.2066
0.0807	-0.2079
0.0795	-0.2073
0.0781	-0.2067
0.0773	-0.2070
0.0764	-0.2074
0.0756	-0.2077
0.0748	-0.2080
0.0739	-0.2083
0.0731	-0.2086
0.0723	-0.2089
0.0711	-0.2082
0.0697	-0.2076
0.0694	-0.2088
0.0688	-0.2100
0.0676	-0.2093
0.0663	-0.2087
0.0655	-0.2090
0.0646	-0.2093
0.0638	-0.2095
0.0634	-0.2107
0.0625	-0.2109
0.0612	-0.2103
0.0604	-0.2105
0.0595	-0.2108
0.0587	-0.2110
0.0578	-0.2112
0.0569	-0.2115
0.0561	-0.2117
0.0552	-0.2119
0.0543	-0.2122
0.0535	-0.2124
0.0524	-0.2116
0.0515	-0.2118
0.0509	-0.2130
0.0500	-0.2132
0.0489	-0.2124
0.0481	-0.2126
0.0472	-0.2128
0.0464	-0.2130
0.0455	-0.2132
0.0446	-0.2134
0.0438	-0.2136
0.0429	-0.2137
0.0420	-0.2139
0.0411	-0.2141
0.0403	-0.2142
0.0395	-0.2144
0.0386	-0.2146
0.0379	-0.2157
0.0370	-0.2159
0.0361	-0.2160
0.0352	-0.2162
0.0343	-0.2163
0.0334	-0.2164
0.0326	-0.2166
0.0317	-0.2167
0.0308	-0.2168
0.0300	-0.2169
0.0291	-0.2171
0.0282	-0.2172
0.0273	-0.2173
0.0268	-0.2184
0.0259	-0.2185
0.0250	-0.2186
0.0243	-0.2197
0.0233	-0.2198
0.0224	-0.2199
0.0216	-0.2199
0.0206	-0.2200
0.0197	-0.2201
0.0189	-0.2202
0.0179	-0.2203
0.0171	-0.2203
0.0162	-0.2204
0.0153	-0.2205
0.0144	-0.2205
0.0135	-0.2206
0.0126	-0.2206
0.0117	-0.2207
0.0108	-0.2207
0.0100	-0.2208
0.0090	-0.2208
0.0081	-0.2209
0.0074	-0.2219
0.0066	-0.2219
0.0057	-0.2219
0.0048	-0.2219
0.0039	-0.2220
0.0030	-0.2220
0.0021	-0.2220
0.0012	-0.2230
0.0005	-0.2240
-0.0004	-0.2240
-0.0013	-0.2240
-0.0023	-0.2240
-0.0032	-0.2240
-0.0041	-0.2250
-0.0050	-0.2249
-0.0059	-0.2249
-0.0067	-0.2259
-0.0078	-0.2249
-0.0087	-0.2248
-0.0096	-0.2248
-0.0105	-0.2248
-0.0114	-0.2247
-0.0122	-0.2257
-0.0132	-0.2266
-0.0141	-0.2266
-0.0151	-0.2265
-0.0158	-0.2274
-0.0169	-0.2264
-0.0179	-0.2263
-0.0188	-0.2262
-0.0197	-0.2261
-0.0206	-0.2261
-0.0214	-0.2270
-0.0224	-0.2279
-0.0233	-0.2288
-0.0242	-0.2287
-0.0252	-0.2286
-0.0261	-0.2285
-0.0270	-0.2284
-0.0281	-0.2293
-0.0289	-0.2302
-0.0299	-0.2291
-0.0309	-0.2289
-0.0317	-0.2298
-0.0327	-0.2297
-0.0336	-0.2295
-0.0347	-0.2304
-0.0358	-0.2312
-0.0367	-0.2321
-0.0376	-0.2320
-0.0386	-0.2318
-0.0395	-0.2317
-0.0405	-0.2315
-0.0414	-0.2313
-0.0424	-0.2311
-0.0433	-0.2310
-0.0443	-0.2308
-0.0452	-0.2306
-0.0463	-0.2324
-0.0475	-0.2332
-0.0485	-0.2330
-0.0494	-0.2328
-0.0504	-0.2326
-0.0513	-0.2334
-0.0523	-0.2332
-0.0535	-0.2340
-0.0544	-0.2337
-0.0556	-0.2345
-0.0566	-0.2343
-0.0575	-0.2340
-0.0585	-0.2338
-0.0594	-0.2346
-0.0606	-0.2353
-0.0617	-0.2361
-0.0626	-0.2358
-0.0636	-0.2356
-0.0646	-0.2353
-0.0655	-0.2350
-0.0667	-0.2357
-0.0677	-0.2365
-0.0690	-0.2372
-0.0700	-0.2369
-0.0709	-0.2366
-0.0719	-0.2363
-0.0729	-0.2360
-0.0739	-0.2357
-0.0751	-0.2363
-0.0762	-0.2371
-0.0774	-0.2377
-0.0784	-0.2374
-0.0794	-0.2371
-0.0804	-0.2367
-0.0814	-0.2374
-0.0828	-0.2380
-0.0840	-0.2386
-0.0851	-0.2393
-0.0864	-0.2399
-0.0874	-0.2396
-0.0887	-0.2401
-0.0897	-0.2398
-0.0907	-0.2394
-0.0917	-0.2390
-0.0928	-0.2397
-0.0941	-0.2402
-0.0951	-0.2398
-0.0962	-0.2405
-0.0972	-0.2401
-0.0983	-0.2396
-0.0995	-0.2402
-0.1009	-0.2407
-0.1020	-0.2413
-0.1033	-0.2418
-0.1047	-0.2424
-0.1057	-0.2419
-0.1066	-0.2415
-0.1077	-0.2421
-0.1091	-0.2426
-0.1104	-0.2431
-0.1114	-0.2427
-0.1125	-0.2432
-0.1139	-0.2437
-0.1153	-0.2441
-0.1162	-0.2437
-0.1174	-0.2443
-0.1183	-0.2438
-0.1197	-0.2442
-0.1211	-0.2447
-0.1223	-0.2452
-0.1237	-0.2456
-0.1247	-0.2451
-0.1261	-0.2455
-0.1273	-0.2460
-0.1282	-0.2455
-0.1297	-0.2459
-0.1311	-0.2463
-0.1323	-0.2468
-0.1337	-0.2471
-0.1352	-0.2475
-0.1365	-0.2479
-0.1379	-0.2483
-0.1394	-0.2486
-0.1403	-0.2481
-0.1416	-0.2485
-0.1430	-0.2488
-0.1445	-0.2491
-0.1460	-0.2494
-0.1472	-0.2498
-0.1487	-0.2501
-0.1502	-0.2504
-0.1515	-0.2508
-0.1530	-0.2511
-0.1545	-0.2513
-0.1560	-0.2515
-0.1573	-0.2519
-0.1588	-0.2522
-0.1603	-0.2524
-0.1616	-0.2528
-0.1632	-0.2529
-0.1652	-0.2540
-0.1665	-0.2543
-0.1681	-0.2545
-0.1696	-0.2547
-0.1712	-0.2549
-0.1725	-0.2552
-0.1740	-0.2553
-0.1756	-0.2554
-0.1775	-0.2566
-0.1791	-0.2567
-0.1807	-0.2568
-0.1823	-0.2569
-0.1836	-0.2572
-0.1858	-0.2581
-0.1874	-0.2581
-0.1887	-0.2584
-0.1909	-0.2593
-0.1925	-0.2593
-0.1939	-0.2596
-0.1961	-0.2604
-0.1978	-0.2604
-0.1992	-0.2606
-0.2014	-0.2614
-0.2031	-0.2614
-0.2050	-0.2624
-0.2067	-0.2624
-0.2089	-0.2631
-0.2104	-0.2633
-0.2126	-0.2640
-0.2143	-0.2640
-0.2164	-0.2648
-0.2180	-0.2648
-0.2203	-0.2655
-0.2224	-0.2664
-0.2241	-0.2662
-0.2264	-0.2669
-0.2282	-0.2667
-0.2302	-0.2676
-0.2326	-0.2682
-0.2347	-0.2690
-0.2364	-0.2688
-0.2388	-0.2694
-0.2409	-0.2702
-0.2433	-0.2707
-0.2450	-0.2705
-0.2475	-0.2710
-0.2497	-0.2717
-0.2520	-0.2723
-0.2543	-0.2729
-0.2567	-0.2734
-0.2592	-0.2738
-0.2614	-0.2744
-0.2639	-0.2748
-0.2663	-0.2752
-0.2686	-0.2758
-0.2711	-0.2762
-0.2736	-0.2765
-0.2759	-0.2771
-0.2784	-0.2774
-0.2810	-0.2776
-0.2832	-0.2782
-0.2864	-0.2792
-0.2890	-0.2794
-0.2913	-0.2799
-0.2946	-0.2808
-0.2972	-0.2810
-0.3002	-0.2821
-0.3028	-0.2823
-0.3054	-0.2825
-0.3085	-0.2836
-0.3111	-0.2837
-0.3137	-0.2837
-0.3168	-0.2848
-0.3202	-0.2855
-0.3233	-0.2865
-0.3259	-0.2866
-0.3293	-0.2872
-0.3325	-0.2882
-0.3352	-0.2882
-0.3386	-0.2888
-0.3418	-0.2897
-0.3459	-0.2909
-0.3494	-0.2914
-0.3518	-0.2917
-0.3553	-0.2921
-0.3589	-0.2926
