x	y
-0.3484	0.3558
-0.3462	0.3565
-0.3434	0.3565
-0.3406	0.3564
-0.3385	0.3570
-0.3353	0.3573
-0.3319	0.3564
-0.3297	0.3571
-0.3269	0.3569
-0.3238	0.3570
-0.3210	0.3569
-0.3189	0.3574
-0.3181	0.3595
-0.3160	0.3600
-0.3118	0.3583
-0.3092	0.3580
-0.3066	0.3588
-0.3045	0.3593
-0.3012	0.3582
-0.2991	0.3586
-0.2970	0.3591
-0.2943	0.3587
-0.2919	0.3594
-0.2898	0.3598
-0.2877	0.3602
-0.2850	0.3598
-0.2829	0.3602
-0.2803	0.3597
-0.2778	0.3604
-0.2757	0.3607
-0.2731	0.3602
-0.2704	0.3597
-0.2684	0.3600
-0.2669	0.3611
-0.2639	0.3608
-0.2625	0.3618
-0.2604	0.3621
-0.2583	0.3623
-0.2557	0.3617
-0.2532	0.3611
-0.2517	0.3621
-0.2496	0.3623
-0.2467	0.3619
-0.2447	0.3621
-0.2432	0.3631
-0.2406	0.3624
-0.2386	0.3625
-0.2365	0.3627
-0.2346	0.3627
-0.2322	0.3631
-0.2307	0.3641
-0.2287	0.3641
-0.2267	0.3642
-0.2252	0.3652
-0.2241	0.3670
-0.2231	0.3688
-0.2211	0.3688
-0.2175	0.3663
-0.2141	0.3648
-0.2116	0.3640
-0.2091	0.3631
-0.2070	0.3631
-0.2051	0.3631
-0.2027	0.3633
-0.2012	0.3641
-0.1992	0.3640
-0.1977	0.3649
-0.1963	0.3657
-0.1942	0.3656
-0.1922	0.3656
-0.1903	0.3654
-0.1883	0.3653
-0.1863	0.3652
-0.1840	0.3653
-0.1821	0.3651
-0.1809	0.3668
-0.1803	0.3682
-0.1779	0.3683
-0.1760	0.3681
-0.1739	0.3680
-0.1724	0.3687
-0.1709	0.3694
-0.1694	0.3701
-0.1675	0.3698
-0.1658	0.3706
-0.1639	0.3703
-0.1620	0.3701
-0.1597	0.3700
-0.1578	0.3697
-0.1563	0.3704
-0.1544	0.3701
-0.1528	0.3708
-0.1509	0.3705
-0.1490	0.3701
-0.1479	0.3717
-0.1463	0.3723
-0.1443	0.3720
-0.1425	0.3716
-0.1406	0.3713
-0.1390	0.3719
-0.1368	0.3716
-0.1353	0.3722
-0.1337	0.3727
-0.1321	0.3733
-0.1303	0.3729
-0.1281	0.3716
-0.1266	0.3721
-0.1249	0.3726
-0.1234	0.3731
-0.1219	0.3736
-0.1203	0.3741
-0.1188	0.3746
-0.1169	0.3742
-0.1153	0.3746
-0.1138	0.3751
-0.1120	0.3746
-0.1098	0.3742
-0.1082	0.3747
-0.1064	0.3742
-0.1045	0.3737
-0.1030	0.3741
-0.1015	0.3745
-0.1002	0.3759
-0.0986	0.3763
-0.0970	0.3767
-0.0952	0.3761
-0.0939	0.3775
-0.0921	0.3769
-0.0906	0.3773
-0.0887	0.3767
-0.0872	0.3771
-0.0854	0.3764
-0.0839	0.3768
-0.0822	0.3771
-0.0807	0.3775
-0.0789	0.3768
-0.0774	0.3771
-0.0758	0.3775
-0.0742	0.3778
-0.0722	0.3772
-0.0705	0.3775
-0.0688	0.3768
-0.0673	0.3770
-0.0659	0.3783
-0.0643	0.3786
-0.0627	0.3789
-0.0611	0.3791
-0.0595	0.3783
-0.0578	0.3776
-0.0564	0.3778
-0.0548	0.3780
-0.0534	0.3782
-0.0520	0.3785
-0.0504	0.3787
-0.0489	0.3789
-0.0474	0.3790
-0.0458	0.3782
-0.0443	0.3784
-0.0429	0.3796
-0.0413	0.3788
-0.0400	0.3799
-0.0386	0.3810
-0.0370	0.3812
-0.0356	0.3813
-0.0339	0.3805
-0.0324	0.3796
-0.0309	0.3807
-0.0295	0.3809
-0.0280	0.3800
-0.0265	0.3811
-0.0250	0.3812
-0.0234	0.3803
-0.0219	0.3804
