x	y
-0.4650	0.0002
-0.4650	0.0021
-0.4650	0.0041
-0.4650	0.0058
-0.4649	0.0077
-0.4639	0.0096
-0.4649	0.0114
-0.4648	0.0133
-0.4648	0.0152
-0.4647	0.0171
-0.4646	0.0189
-0.4645	0.0208
-0.4644	0.0227
-0.4644	0.0244
-0.4643	0.0263
-0.4641	0.0282
-0.4640	0.0301
-0.4639	0.0319
-0.4638	0.0338
-0.4646	0.0358
-0.4645	0.0375
-0.4643	0.0394
-0.4652	0.0414
-0.4650	0.0433
-0.4648	0.0451
-0.4656	0.0471
-0.4654	0.0490
-0.4652	0.0508
-0.4660	0.0528
-0.4658	0.0547
-0.4666	0.0566
-0.4673	0.0586
-0.4671	0.0606
-0.4678	0.0626
-0.4686	0.0642
-0.4694	0.0661
-0.4691	0.0680
-0.4688	0.0699
-0.4655	0.0717
-0.4617	0.0768
-0.4749	0.0825
-0.4756	0.0841
-0.4692	0.1608
-0.4627	0.1611
-0.4564	0.1610
-0.4500	0.1612
-0.4446	0.1614
-0.4372	0.1611
-0.4308	0.1612
-0.4283	0.1621
-0.4231	0.1645
-0.4196	0.1708
-0.4152	0.1710
-0.4069	0.1700
-0.3949	0.1677
-0.3729	0.1631
-0.3684	0.1634
-0.3641	0.1632
-0.3597	0.1633
-0.3563	0.1635
-0.3518	0.1636
-0.3485	0.1636
-0.3440	0.1637
-0.3405	0.1641
-0.3372	0.1641
-0.3328	0.1640
-0.3294	0.1640
-0.3259	0.1643
-0.3226	0.1642
-0.3191	0.1644
-0.3157	0.1646
-0.3132	0.1649
-0.3097	0.1651
-0.3065	0.1649
-0.3030	0.1649
-0.3006	0.1652
-0.2972	0.1652
-0.2948	0.1654
-0.2913	0.1654
-0.2889	0.1655
-0.2855	0.1655
-0.2831	0.1656
-0.2797	0.1655
-0.2772	0.1658
-0.2748	0.1659
-0.2723	0.1662
-0.2699	0.1662
-0.2666	0.1659
-0.2642	0.1660
-0.2617	0.1662
