x	y
-0.2860	0.0006
-0.2870	0.0018
-0.2890	0.0030
-0.2900	0.0039
-0.2920	0.0052
-0.2929	0.0062
-0.2949	0.0074
-0.2969	0.0083
-0.2978	0.0097
-0.2998	0.0106
-0.3018	0.0119
-0.3037	0.0130
-0.3047	0.0143
-0.3066	0.0156
-0.3085	0.0168
-0.3095	0.0181
-0.3114	0.0192
-0.3133	0.0206
-0.3153	0.0217
-0.3172	0.0231
-0.3191	0.0243
-0.3210	0.0258
-0.3229	0.0270
-0.3248	0.0285
-0.3266	0.0297
-0.3285	0.0312
-0.3304	0.0327
-0.3323	0.0339
-0.3341	0.0355
-0.3360	0.0367
-0.3388	0.0384
-0.3407	0.0396
-0.3435	0.0413
-0.3454	0.0426
-0.3482	0.0444
-0.3500	0.0457
-0.3528	0.0475
-0.3556	0.0490
-0.3574	0.0506
-0.3602	0.0521
-0.3630	0.0540
-0.3658	0.0556
-0.3675	0.0574
-0.3703	0.0589
-0.3741	0.0607
-0.3758	0.0625
-0.3785	0.0645
-0.3813	0.0662
-0.3840	0.0682
-0.3877	0.0701
-0.3905	0.0718
-0.3931	0.0739
-0.3968	0.0758
-0.3995	0.0780
-0.4031	0.0800
-0.4067	0.0824
-0.4094	0.0842
-0.4130	0.0866
-0.4167	0.0887
-0.4202	0.0912
-0.4238	0.0933
-0.4274	0.0960
-0.4310	0.0981
-0.4345	0.1007
-0.4381	0.1029
-0.4425	0.1059
-0.4461	0.1081
-0.4506	0.1106
-0.4540	0.1135
-0.4585	0.1160
-0.4629	0.1190
-0.4674	0.1217
-0.4718	0.1249
-0.4762	0.1276
-0.4815	0.1311
-0.1894	0.4038
-0.1865	0.4018
-0.1836	0.3999
-0.1803	0.3981
-0.1774	0.3961
-0.1741	0.3943
-0.1713	0.3922
-0.1688	0.3911
-0.1657	0.3892
-0.1628	0.3871
-0.1601	0.3850
-0.1574	0.3840
-0.1547	0.3819
-0.1516	0.3799
-0.1493	0.3786
-0.1470	0.3774
-0.1440	0.3753
-0.1414	0.3731
-0.1391	0.3718
-0.1365	0.3707
-0.1340	0.3684
-0.1314	0.3672
-0.1292	0.3658
-0.1270	0.3645
-0.1242	0.3623
-0.1220	0.3609
-0.1199	0.3595
-0.1175	0.3582
-0.1154	0.3568
-0.1134	0.3553
-0.1111	0.3540
-0.1090	0.3525
-0.1067	0.3511
-0.1047	0.3496
-0.1027	0.3482
-0.1005	0.3467
-0.0986	0.3452
-0.0966	0.3437
-0.0947	0.3432
-0.0927	0.3416
-0.0909	0.3401
-0.0887	0.3386
-0.0869	0.3370
-0.0852	0.3364
-0.0831	0.3348
-0.0813	0.3332
-0.0798	0.3326
-0.0777	0.3310
-0.0759	0.3294
-0.0743	0.3287
-0.0723	0.3271
-0.0708	0.3264
-0.0687	0.3248
-0.0672	0.3241
-0.0655	0.3224
-0.0640	0.3217
-0.0620	0.3200
-0.0606	0.3193
-0.0586	0.3176
-0.0572	0.3169
-0.0558	0.3161
-0.0544	0.3153
-0.0524	0.3137
-0.0510	0.3129
-0.0496	0.3121
-0.0478	0.3103
-0.0464	0.3095
-0.0450	0.3087
-0.0433	0.3080
-0.0418	0.3062
-0.0405	0.3053
-0.0388	0.3045
-0.0375	0.3037
-0.0362	0.3028
-0.0345	0.3010
-0.0331	0.3002
-0.0318	0.2993
-0.0305	0.2984
-0.0290	0.2976
-0.0277	0.2967
-0.0264	0.2958
-0.0249	0.2950
-0.0236	0.2941
-0.0224	0.2931
-0.0211	0.2922
-0.0196	0.2913
-0.0183	0.2904
-0.0172	0.2895
-0.0157	0.2886
-0.0145	0.2876
-0.0132	0.2867
-0.0121	0.2857
-0.0107	0.2848
-0.0095	0.2838
