x	y
-0.4990	0.0016
-0.4990	0.0036
-0.4990	0.0058
-0.4736	0.1540
-0.4673	0.1541
-0.4636	0.1555
-0.4578	0.1662
-0.4313	0.1600
-0.4181	0.1580
-0.4090	0.1569
-0.4046	0.1570
-0.3991	0.1573
-0.3938	0.1571
-0.3893	0.1576
-0.3839	0.1576
-0.3795	0.1577
-0.3750	0.1581
-0.3716	0.1585
-0.3671	0.1588
-0.3618	0.1586
-0.3584	0.1589
-0.3548	0.1595
-0.3505	0.1593
-0.3461	0.1593
-0.3426	0.1598
-0.3383	0.1595
-0.3347	0.1600
-0.3314	0.1600
-0.3279	0.1603
-0.3235	0.1603
-0.3201	0.1603
-0.3166	0.1606
-0.3133	0.1605
-0.3098	0.1606
-0.3074	0.1610
-0.3039	0.1611
-0.3005	0.1612
-0.2972	0.1610
-0.2946	0.1616
-0.2913	0.1613
-0.2887	0.1619
-0.2863	0.1621
-0.2829	0.1620
-0.2805	0.1622
-0.2771	0.1621
-0.2745	0.1625
-0.2721	0.1626
-0.2696	0.1629
-0.2672	0.1629
-0.2647	0.1633
-0.2615	0.1628
-0.2590	0.1630
-0.2566	0.1630
-0.2541	0.1632
-0.2517	0.1632
-0.2492	0.1634
-0.2467	0.1635
-0.2453	0.1639
-0.2429	0.1638
-0.2404	0.1640
-0.2379	0.1641
-0.2364	0.1645
-0.2332	0.1639
-0.2317	0.1643
-0.2292	0.1643
-0.2269	0.1641
-0.2253	0.1646
-0.2230	0.1643
-0.2213	0.1649
-0.2191	0.1646
-0.2166	0.1645
-0.2151	0.1648
-0.2135	0.1652
-0.2113	0.1649
-0.2089	0.1647
-0.2074	0.1650
-0.2058	0.1654
-0.2035	0.1650
-0.2019	0.1653
-0.2005	0.1655
-0.1981	0.1653
-0.1957	0.1650
-0.1943	0.1652
-0.1928	0.1653
-0.1913	0.1656
-0.1891	0.1651
-0.1875	0.1654
-0.1860	0.1655
-0.1845	0.1657
-0.1830	0.1659
-0.1807	0.1654
-0.1793	0.1655
-0.1777	0.1658
-0.1763	0.1658
-0.1747	0.1660
-0.1733	0.1661
-0.1718	0.1661
-0.1703	0.1663
-0.1689	0.1663
-0.1673	0.1665
-0.1659	0.1664
-0.1643	0.1666
-0.1629	0.1666
-0.1615	0.1665
-0.1600	0.1666
-0.1586	0.1666
-0.1570	0.1667
-0.1556	0.1666
-0.1541	0.1667
-0.1527	0.1666
-0.1512	0.1666
-0.1505	0.1672
-0.1491	0.1672
-0.1476	0.1672
-0.1462	0.1670
-0.1447	0.1670
-0.1434	0.1668
-0.1418	0.1669
-0.1411	0.1674
-0.1405	0.1680
-0.1383	0.1672
-0.1369	0.1670
-0.1363	0.1676
-0.1348	0.1675
-0.1334	0.1673
-0.1327	0.1679
-0.1320	0.1684
-0.1299	0.1675
-0.1285	0.1674
-0.1278	0.1679
-0.1270	0.1685
-0.1256	0.1683
-0.1249	0.1688
-0.1235	0.1686
-0.1221	0.1684
-0.1214	0.1689
-0.1201	0.1686
-0.1194	0.1691
-0.1179	0.1689
-0.1172	0.1694
-0.1160	0.1690
-0.1145	0.1688
-0.1138	0.1693
-0.1124	0.1691
-0.1111	0.1687
-0.1104	0.1691
-0.1090	0.1689
-0.1083	0.1693
-0.1070	0.1689
-0.1063	0.1694
-0.1056	0.1698
-0.1042	0.1695
-0.1028	0.1692
-0.1021	0.1696
-0.1009	0.1692
-0.1002	0.1696
-0.0995	0.1700
-0.0981	0.1697
-0.0974	0.1701
-0.0960	0.1697
-0.0953	0.1701
