x	y
-0.2004	0.1188
-0.1991	0.1191
-0.1976	0.1196
-0.1963	0.1199
-0.1948	0.1203
-0.1935	0.1206
-0.1920	0.1210
-0.1907	0.1213
-0.1892	0.1217
-0.1879	0.1219
-0.1865	0.1223
-0.1851	0.1225
-0.1837	0.1229
-0.1832	0.1236
-0.1819	0.1238
-0.1804	0.1241
-0.1782	0.1239
-0.1768	0.1240
-0.1754	0.1244
-0.1749	0.1251
-0.1744	0.1257
-0.1731	0.1259
-0.1708	0.1256
-0.1694	0.1258
-0.1689	0.1265
-0.1683	0.1272
-0.1669	0.1274
-0.1656	0.1275
-0.1642	0.1277
-0.1629	0.1277
-0.1624	0.1284
-0.1609	0.1286
-0.1596	0.1286
-0.1591	0.1293
-0.1577	0.1294
-0.1563	0.1296
-0.1557	0.1302
-0.1545	0.1302
-0.1530	0.1303
-0.1525	0.1310
-0.1512	0.1309
-0.1498	0.1310
-0.1493	0.1316
-0.1479	0.1317
-0.1473	0.1323
-0.1460	0.1322
-0.1447	0.1323
-0.1441	0.1328
-0.1427	0.1329
-0.1414	0.1328
-0.1409	0.1333
-0.1395	0.1333
-0.1390	0.1339
-0.1376	0.1339
-0.1371	0.1345
-0.1358	0.1343
-0.1353	0.1349
-0.1339	0.1348
-0.1333	0.1354
-0.1319	0.1353
-0.1314	0.1359
-0.1301	0.1357
-0.1296	0.1362
-0.1282	0.1361
-0.1277	0.1367
-0.1263	0.1365
-0.1257	0.1371
-0.1245	0.1368
-0.1239	0.1373
-0.1234	0.1378
-0.1220	0.1377
-0.1215	0.1382
-0.1201	0.1380
-0.1196	0.1385
-0.1182	0.1384
-0.1177	0.1388
-0.1165	0.1386
-0.1159	0.1390
-0.1153	0.1395
-0.1140	0.1393
-0.1134	0.1398
-0.1121	0.1396
-0.1115	0.1400
-0.1110	0.1404
-0.1096	0.1402
-0.1091	0.1407
-0.1079	0.1403
-0.1073	0.1407
-0.1068	0.1412
-0.1054	0.1409
-0.1049	0.1413
-0.1043	0.1418
-0.1030	0.1415
-0.1024	0.1419
-0.1011	0.1416
-0.1005	0.1420
-0.1000	0.1424
-0.0987	0.1421
-0.0981	0.1425
-0.0975	0.1429
-0.0969	0.1433
-0.0958	0.1428
-0.0953	0.1432
-0.0947	0.1436
-0.0941	0.1440
-0.0928	0.1436
-0.0922	0.1440
-0.0917	0.1444
-0.0911	0.1447
-0.0905	0.1451
-0.0892	0.1447
-0.0886	0.1451
-0.0880	0.1454
-0.0868	0.1450
-0.0862	0.1454
-0.0856	0.1457
-0.0844	0.1453
-0.0838	0.1456
-0.0832	0.1459
-0.0826	0.1463
-0.0814	0.1458
-0.0808	0.1462
-0.0802	0.1465
-0.0796	0.1468
-0.0790	0.1471
-0.0778	0.1467
-0.0772	0.1469
-0.0766	0.1473
-0.0760	0.1476
-0.0754	0.1479
-0.0742	0.1474
-0.0736	0.1477
-0.0730	0.1480
-0.0724	0.1483
-0.0718	0.1486
-0.0708	0.1479
-0.0702	0.1482
