x	y
-0.3440	0.0012
-0.3440	0.0026
-0.3450	0.0040
-0.3460	0.0054
-0.3459	0.0069
-0.3469	0.0079
-0.3479	0.0094
-0.3478	0.0108
-0.3478	0.0123
-0.3477	0.0137
-0.3487	0.0152
-0.3496	0.0167
-0.3495	0.0181
-0.3505	0.0196
-0.3504	0.0210
-0.3503	0.0225
-0.3512	0.0236
-0.3511	0.0250
-0.3520	0.0265
-0.3529	0.0280
-0.3528	0.0295
-0.3536	0.0310
-0.3535	0.0325
-0.3544	0.0340
-0.3553	0.0352
-0.3551	0.0367
-0.3550	0.0382
-0.3558	0.0397
-0.3556	0.0412
-0.3564	0.0427
-0.3563	0.0442
-0.3571	0.0458
-0.3569	0.0473
-0.3577	0.0489
-0.3585	0.0501
-0.3583	0.0515
-0.3591	0.0532
-0.3589	0.0546
-0.3586	0.0561
-0.3594	0.0577
-0.3601	0.0593
-0.3599	0.0608
-0.3606	0.0625
-0.3614	0.0641
-0.3621	0.0654
-0.3619	0.0668
-0.3626	0.0685
-0.3633	0.0703
-0.3630	0.0718
-0.3627	0.0733
-0.3634	0.0749
-0.3640	0.0766
-0.3648	0.0779
-0.3644	0.0794
-0.3651	0.0811
-0.3648	0.0826
-0.3664	0.0846
-0.3670	0.0863
-0.3666	0.0878
-0.3672	0.0895
-0.3679	0.0909
-0.3676	0.0924
-0.3682	0.0941
-0.3687	0.0960
-0.3693	0.0977
-0.3698	0.0995
-0.3704	0.1013
-0.3700	0.1028
-0.3706	0.1042
-0.3712	0.1060
-0.3717	0.1078
-0.3712	0.1093
-0.3718	0.1111
-0.3722	0.1129
-0.3727	0.1147
-0.3734	0.1161
-0.3738	0.1180
-0.3743	0.1198
-0.3748	0.1216
-0.3752	0.1235
-0.3756	0.1254
-0.3762	0.1269
-0.3757	0.1284
-0.3770	0.1306
-0.3774	0.1325
-0.3778	0.1344
-0.3782	0.1362
-0.3786	0.1381
-0.3791	0.1396
-0.3795	0.1415
-0.3798	0.1435
-0.3802	0.1453
-0.3805	0.1472
-0.3808	0.1492
-0.3813	0.1507
-0.3816	0.1526
-0.3819	0.1545
-0.3822	0.1565
-0.3834	0.1588
-0.3837	0.1607
-0.3841	0.1623
-0.3844	0.1642
-0.3856	0.1665
-0.3858	0.1685
-0.3860	0.1705
-0.3862	0.1725
-0.3866	0.1740
-0.3877	0.1764
-0.3879	0.1784
-0.3881	0.1804
-0.3892	0.1829
-0.3894	0.1848
-0.3897	0.1865
-0.3898	0.1885
-0.3900	0.1904
-0.3910	0.1929
-0.3911	0.1950
-0.3921	0.1975
-0.3924	0.1991
-0.3933	0.2016
-0.3934	0.2037
-0.3943	0.2062
-0.3944	0.2083
-0.3955	0.2104
-0.3955	0.2125
-0.3965	0.2150
-0.3973	0.2176
-0.3973	0.2196
-0.3984	0.2218
-0.3993	0.2244
-0.3992	0.2265
-0.4000	0.2292
-0.4008	0.2318
-0.4018	0.2340
-0.4017	0.2362
-0.4025	0.2388
-0.4032	0.2415
-0.4032	0.2435
-0.4040	0.2459
-0.4048	0.2486
-0.4055	0.2512
-0.4062	0.2539
-0.4068	0.2566
-0.4077	0.2590
-0.4084	0.2617
-0.4090	0.2644
-0.4095	0.2672
-0.4101	0.2700
-0.4110	0.2723
-0.4115	0.2751
-0.4120	0.2779
-0.4125	0.2807
-0.0099	0.1968
-0.0083	0.1928
-0.0070	0.1899
-0.0060	0.1889
-0.0053	0.1889
-0.0045	0.1889
-0.0037	0.1890
-0.0030	0.1890
-0.0024	0.1900
-0.0016	0.1900
-0.0008	0.1900
-0.0001	0.1900
0.0007	0.1900
0.0015	0.1900
0.0023	0.1900
0.0030	0.1900
0.0036	0.1910
0.0044	0.1909
0.0052	0.1909
0.0060	0.1909
0.0067	0.1909
0.0075	0.1919
0.0083	0.1918
0.0091	0.1918
0.0099	0.1917
0.0105	0.1927
0.0113	0.1927
0.0120	0.1926
0.0128	0.1926
0.0135	0.1935
0.0143	0.1935
0.0151	0.1934
0.0158	0.1934
0.0167	0.1943
0.0175	0.1942
0.0183	0.1941
0.0191	0.1941
0.0197	0.1950
0.0205	0.1949
0.0213	0.1948
0.0221	0.1947
0.0228	0.1957
0.0236	0.1956
0.0244	0.1955
0.0253	0.1964
0.0261	0.1963
0.0269	0.1962
0.0276	0.1971
0.0284	0.1970
0.0292	0.1968
0.0300	0.1967
0.0308	0.1976
0.0316	0.1975
0.0325	0.1984
0.0333	0.1982
0.0341	0.1981
0.0350	0.1979
0.0357	0.1988
0.0365	0.1987
0.0375	0.1995
0.0383	0.1993
0.0391	0.1992
0.0400	0.2000
0.0407	0.1999
0.0416	0.2007
0.0423	0.2006
0.0434	0.2014
0.0442	0.2012
0.0450	0.2010
0.0458	0.2008
0.0467	0.2017
0.0475	0.2015
0.0485	0.2023
0.0493	0.2021
0.0502	0.2029
0.0510	0.2027
0.0521	0.2034
0.0529	0.2032
0.0537	0.2030
0.0546	0.2038
0.0554	0.2036
0.0563	0.2044
0.0572	0.2042
0.0582	0.2049
0.0591	0.2057
0.0600	0.2054
0.0610	0.2062
0.0619	0.2059
0.0628	0.2067
0.0637	0.2064
0.0645	0.2061
0.0656	0.2068
0.0666	0.2076
0.0674	0.2073
0.0686	0.2080
0.0694	0.2077
0.0704	0.2084
0.0712	0.2082
0.0723	0.2088
0.0732	0.2085
0.0741	0.2093
0.0753	0.2099
0.0762	0.2096
0.0772	0.2103
0.0780	0.2100
0.0792	0.2106
0.0802	0.2113
0.0811	0.2109
0.0823	0.2115
0.0832	0.2112
0.0842	0.2119
0.0854	0.2125
0.0862	0.2121
0.0873	0.2128
0.0885	0.2134
0.0894	0.2130
0.0904	0.2137
0.0913	0.2133
0.0925	0.2138
0.0938	0.2144
0.0949	0.2150
0.0957	0.2146
0.0970	0.2151
0.0979	0.2147
0.0990	0.2153
0.1003	0.2158
0.1011	0.2155
0.1022	0.2160
0.1031	0.2156
0.1044	0.2161
0.1057	0.2166
0.1066	0.2162
0.1077	0.2167
0.1090	0.2172
