x	y
-0.3860	0.1803
-0.3801	0.1809
-0.3744	0.1813
-0.3688	0.1814
-0.3631	0.1816
-0.3582	0.1824
-0.3527	0.1822
-0.3479	0.1828
-0.3422	0.1828
-0.3374	0.1833
-0.3329	0.1833
-0.3281	0.1836
-0.3234	0.1838
-0.3189	0.1837
-0.3151	0.1843
-0.3103	0.1844
-0.3067	0.1846
-0.3020	0.1846
-0.2982	0.1851
-0.2946	0.1852
-0.2908	0.1856
-0.2872	0.1856
-0.2835	0.1859
-0.2797	0.1861
-0.2761	0.1861
-0.2724	0.1862
-0.2687	0.1864
-0.2660	0.1868
-0.2623	0.1868
-0.2585	0.1869
-0.2559	0.1871
-0.2522	0.1871
-0.2495	0.1873
-0.2458	0.1872
-0.2430	0.1876
-0.2403	0.1878
-0.2375	0.1882
-0.2340	0.1877
-0.2312	0.1880
-0.2276	0.1876
-0.2250	0.1877
-0.2230	0.1885
-0.2204	0.1885
-0.2176	0.1887
-0.2150	0.1886
-0.2122	0.1888
-0.2094	0.1889
-0.2069	0.1887
-0.2049	0.1894
-0.2030	0.1899
-0.2003	0.1899
-0.1977	0.1897
-0.1950	0.1896
-0.1923	0.1895
-0.1905	0.1899
-0.1887	0.1903
-0.1867	0.1908
-0.1842	0.1905
-0.1816	0.1903
-0.1798	0.1906
-0.1771	0.1903
-0.1753	0.1906
-0.1734	0.1911
-0.1707	0.1908
-0.1690	0.1910
-0.1664	0.1906
-0.1653	0.1916
-0.1635	0.1917
-0.1618	0.1919
-0.1592	0.1915
-0.1572	0.1918
-0.1555	0.1919
-0.1538	0.1920
-0.1518	0.1923
-0.1516	0.1938
-0.1510	0.1955
-0.1505	0.1971
-0.1508	0.1994
-0.1504	0.2009
-0.1504	0.2034
-0.1506	0.2058
-0.1500	0.2074
-0.1502	0.2097
-0.1504	0.2121
-0.1505	0.2145
-0.1504	0.2170
-0.1511	0.2202
-0.1511	0.2226
-0.1512	0.2249
-0.1517	0.2281
-0.1510	0.2298
-0.1509	0.2323
-0.1507	0.2348
-0.1507	0.2372
-0.1511	0.2405
-0.1510	0.2429
-0.1506	0.2455
-0.1510	0.2487
-0.1508	0.2512
-0.1509	0.2546
-0.1512	0.2580
-0.1510	0.2604
-0.1512	0.2637
-0.1512	0.2672
-0.1514	0.2705
-0.1520	0.2748
-0.1521	0.2781
-0.1522	0.2815
-0.1527	0.2858
-0.1523	0.2893
-0.1528	0.2936
-0.1536	0.2988
-0.1544	0.3040
-0.1551	0.3093
-0.1566	0.3153
-0.1576	0.3214
-0.1582	0.3267
-0.1588	0.3320
-0.1593	0.3373
-0.1590	0.3418
-0.1565	0.3419
-0.1561	0.3715
-0.0419	0.4972
-0.0389	0.4975
-0.0360	0.4977
-0.0331	0.4979
-0.0301	0.4981
-0.0271	0.4983
-0.0242	0.4984
-0.0212	0.4985
-0.0183	0.4987
-0.0154	0.4978
-0.0124	0.4978
-0.0094	0.4979
-0.0065	0.4980
-0.0035	0.4990
-0.0006	0.4990
0.0024	0.4990
0.0053	0.4990
0.0083	0.4989
0.0113	0.4989
0.0141	0.4988
0.4674	-0.1719
0.4587	-0.1722
0.4501	-0.1725
0.4426	-0.1725
0.4339	-0.1726
0.4263	-0.1729
0.4187	-0.1730
0.4110	-0.1731
0.4034	-0.1732
0.3969	-0.1731
0.3902	-0.1733
0.3836	-0.1734
0.3770	-0.1735
0.3715	-0.1736
0.3648	-0.1735
0.3592	-0.1738
0.3535	-0.1740
0.3478	-0.1741
0.3422	-0.1742
0.3367	-0.1739
0.3311	-0.1739
0.3264	-0.1742
0.3218	-0.1744
0.3162	-0.1742
0.3117	-0.1741
0.3070	-0.1742
0.3032	-0.1748
0.2986	-0.1748
0.2950	-0.1750
0.2904	-0.1749
0.2858	-0.1748
0.2820	-0.1751
0.2776	-0.1746
0.2740	-0.1748
0.2711	-0.1756
0.2665	-0.1753
0.2630	-0.1751
0.2593	-0.1752
0.2557	-0.1753
0.2530	-0.1756
0.2494	-0.1755
0.2466	-0.1761
0.2431	-0.1757
0.2395	-0.1756
0.2359	-0.1755
0.2332	-0.1758
0.2305	-0.1760
0.2270	-0.1756
0.2242	-0.1759
0.2224	-0.1766
0.2189	-0.1762
0.2161	-0.1765
0.2135	-0.1764
0.2109	-0.1765
0.2081	-0.1767
0.2056	-0.1766
0.2029	-0.1766
0.2011	-0.1771
0.1992	-0.1778
0.1957	-0.1772
0.1932	-0.1770
0.1905	-0.1769
0.1888	-0.1773
0.1861	-0.1772
0.1841	-0.1779
0.1816	-0.1776
0.1790	-0.1774
0.1763	-0.1773
0.1745	-0.1776
0.1719	-0.1773
0.1702	-0.1776
0.1682	-0.1781
0.1665	-0.1784
0.1645	-0.1788
0.1628	-0.1790
0.1602	-0.1787
0.1585	-0.1789
0.1565	-0.1793
0.1548	-0.1795
0.1523	-0.1790
0.1497	-0.1785
0.1480	-0.1786
0.1469	-0.1795
0.1451	-0.1798
0.1426	-0.1792
0.1401	-0.1786
0.1390	-0.1794
0.1380	-0.1803
0.1355	-0.1796
0.1338	-0.1797
0.1327	-0.1805
0.1303	-0.1798
0.1284	-0.1798
0.1268	-0.1798
0.1249	-0.1799
0.1239	-0.1806
0.1222	-0.1805
0.1204	-0.1805
0.1188	-0.1804
0.1170	-0.1804
0.1153	-0.1803
0.1142	-0.1810
0.1132	-0.1816
0.1114	-0.1815
0.1098	-0.1814
0.1080	-0.1813
0.1062	-0.1811
0.1052	-0.1818
0.1036	-0.1815
0.1025	-0.1822
0.1007	-0.1820
0.0991	-0.1817
0.0974	-0.1815
0.0963	-0.1821
0.0948	-0.1818
0.0937	-0.1823
0.0919	-0.1821
0.0902	-0.1819
0.0891	-0.1824
0.0876	-0.1820
0.0865	-0.1826
0.0848	-0.1822
0.0837	-0.1827
0.0822	-0.1823
0.0811	-0.1828
0.0794	-0.1825
0.0778	-0.1821
0.0767	-0.1825
0.0756	-0.1830
0.0745	-0.1835
0.0730	-0.1830
0.0713	-0.1826
0.0702	-0.1830
