x	y	r	phi
-0.3590	0.0574	0.3635	2.9829
-0.3578	0.0590	0.3626	2.9781
-0.3566	0.0606	0.3617	2.9734
-0.3563	0.0626	0.3618	2.9676
-0.3552	0.0642	0.3609	2.9629
-0.3540	0.0657	0.3600	2.9580
-0.3529	0.0672	0.3592	2.9535
-0.3517	0.0687	0.3583	2.9486
-0.3505	0.0702	0.3575	2.9441
-0.3504	0.0719	0.3577	2.9392
-0.3492	0.0734	0.3568	2.9343
-0.3479	0.0750	0.3559	2.9294
-0.3468	0.0764	0.3551	2.9249
-0.3455	0.0779	0.3542	2.9199
-0.3443	0.0794	0.3533	2.9150
-0.3439	0.0814	0.3534	2.9091
-0.3426	0.0830	0.3525	2.9041
-0.3414	0.0843	0.3517	2.8995
-0.3402	0.0858	0.3508	2.8944
-0.3396	0.0880	0.3508	2.8882
-0.3384	0.0893	0.3500	2.8835
-0.3371	0.0908	0.3491	2.8784
-0.3359	0.0922	0.3483	2.8737
-0.3353	0.0943	0.3483	2.8673
-0.3349	0.0964	0.3484	2.8614
-0.3335	0.0978	0.3476	2.8563
-0.3322	0.0992	0.3467	2.8514
-0.3309	0.1006	0.3459	2.8464
-0.3297	0.1020	0.3451	2.8415
-0.3283	0.1034	0.3442	2.8364
-0.3278	0.1055	0.3443	2.8303
-0.3265	0.1068	0.3435	2.8254
-0.3258	0.1089	0.3435	2.8190
-0.3245	0.1103	0.3427	2.8141
-0.3231	0.1116	0.3419	2.8089
-0.3225	0.1137	0.3420	2.8027
-0.3211	0.1151	0.3411	2.7975
-0.3208	0.1169	0.3414	2.7922
-0.3195	0.1181	0.3406	2.7874
-0.3181	0.1195	0.3398	2.7824
-0.3174	0.1215	0.3399	2.7759
-0.3160	0.1229	0.3391	2.7708
-0.3146	0.1242	0.3382	2.7654
-0.3139	0.1262	0.3384	2.7593
-0.3131	0.1284	0.3384	2.7526
-0.3118	0.1296	0.3376	2.7476
-0.3103	0.1310	0.3368	2.7422
-0.3089	0.1323	0.3360	2.7371
-0.3089	0.1350	0.3371	2.7296
-0.3074	0.1363	0.3362	2.7241
-0.3066	0.1383	0.3364	2.7178
-0.3051	0.1397	0.3356	2.7123
-0.3043	0.1417	0.3357	2.7059
-0.3028	0.1430	0.3349	2.7004
-0.3023	0.1447	0.3352	2.6951
-0.3009	0.1460	0.3344	2.6899
