x	y	r	phi
0.3593	-0.0716	0.3663	-0.1966
0.3574	-0.0738	0.3649	-0.2036
0.3555	-0.0756	0.3634	-0.2094
0.3555	-0.0772	0.3638	-0.2138
0.3556	-0.0788	0.3642	-0.2180
0.3537	-0.0804	0.3627	-0.2235
0.3507	-0.0825	0.3603	-0.2309
0.3508	-0.0840	0.3607	-0.2350
0.3508	-0.0856	0.3611	-0.2395
0.3488	-0.0872	0.3596	-0.2450
0.3478	-0.0888	0.3590	-0.2498
0.3469	-0.0903	0.3584	-0.2547
0.3459	-0.0922	0.3580	-0.2606
0.3439	-0.0937	0.3564	-0.2661
0.3429	-0.0954	0.3559	-0.2713
0.3419	-0.0969	0.3553	-0.2761
0.3408	-0.0988	0.3548	-0.2820
0.3398	-0.1002	0.3543	-0.2868
0.3388	-0.1017	0.3537	-0.2916
0.3377	-0.1032	0.3532	-0.2967
0.3367	-0.1047	0.3526	-0.3015
0.3356	-0.1062	0.3520	-0.3064
0.3346	-0.1080	0.3516	-0.3123
0.3325	-0.1094	0.3500	-0.3179
0.3314	-0.1108	0.3495	-0.3226
0.3304	-0.1123	0.3489	-0.3277
0.3292	-0.1141	0.3485	-0.3336
0.3282	-0.1155	0.3479	-0.3383
0.3271	-0.1169	0.3473	-0.3432
0.3260	-0.1183	0.3468	-0.3480
0.3238	-0.1199	0.3453	-0.3546
0.3207	-0.1211	0.3428	-0.3610
0.3196	-0.1225	0.3423	-0.3661
0.3205	-0.1240	0.3437	-0.3693
0.3204	-0.1254	0.3440	-0.3732
0.3182	-0.1270	0.3426	-0.3799
0.3171	-0.1284	0.3421	-0.3847
0.3169	-0.1298	0.3425	-0.3887
0.3158	-0.1311	0.3419	-0.3936
0.3146	-0.1324	0.3413	-0.3984
0.3134	-0.1337	0.3408	-0.4032
0.3133	-0.1351	0.3412	-0.4071
0.3121	-0.1367	0.3407	-0.4129
0.3109	-0.1381	0.3402	-0.4180
0.3107	-0.1394	0.3405	-0.4218
0.3095	-0.1407	0.3400	-0.4266
0.3093	-0.1421	0.3404	-0.4305
0.3081	-0.1434	0.3398	-0.4355
0.3069	-0.1446	0.3393	-0.4403
0.3057	-0.1461	0.3388	-0.4460
