x	y	r	phi
-0.3588	0.0528	0.3627	2.9956
-0.3583	0.0550	0.3625	2.9893
-0.3569	0.0565	0.3614	2.9845
-0.3556	0.0581	0.3603	2.9797
-0.3550	0.0603	0.3601	2.9733
-0.3536	0.0619	0.3590	2.9684
-0.3533	0.0638	0.3590	2.9630
-0.3519	0.0653	0.3579	2.9581
-0.3505	0.0669	0.3568	2.9531
-0.3498	0.0690	0.3566	2.9467
-0.3477	0.0699	0.3546	2.9432
-0.3470	0.0721	0.3544	2.9368
-0.3471	0.0750	0.3551	2.9288
-0.3449	0.0758	0.3532	2.9253
-0.3435	0.0773	0.3521	2.9202
-0.3428	0.0795	0.3519	2.9138
-0.3420	0.0817	0.3517	2.9072
-0.3406	0.0832	0.3506	2.9021
-0.3391	0.0847	0.3495	2.8970
-0.3377	0.0861	0.3485	2.8919
-0.3362	0.0876	0.3474	2.8867
-0.3354	0.0898	0.3472	2.8801
-0.3339	0.0912	0.3462	2.8749
-0.3338	0.0941	0.3468	2.8668
-0.3323	0.0956	0.3458	2.8615
-0.3308	0.0970	0.3447	2.8564
-0.3293	0.0985	0.3437	2.8510
-0.3291	0.1013	0.3444	2.8429
-0.3276	0.1028	0.3433	2.8375
-0.3260	0.1042	0.3423	2.8323
-0.3256	0.1060	0.3424	2.8268
-0.3240	0.1074	0.3413	2.8214
-0.3231	0.1096	0.3412	2.8146
-0.3215	0.1110	0.3401	2.8092
-0.3206	0.1131	0.3400	2.8024
-0.3190	0.1145	0.3389	2.7969
-0.3181	0.1167	0.3388	2.7900
-0.3171	0.1188	0.3386	2.7831
-0.3155	0.1202	0.3376	2.7776
-0.3145	0.1223	0.3375	2.7706
-0.3135	0.1245	0.3373	2.7637
-0.3119	0.1258	0.3363	2.7581
-0.3109	0.1280	0.3362	2.7510
-0.3098	0.1301	0.3361	2.7441
-0.3091	0.1320	0.3361	2.7381
-0.3074	0.1333	0.3351	2.7324
-0.3064	0.1354	0.3350	2.7254
-0.3053	0.1376	0.3349	2.7182
-0.3036	0.1389	0.3339	2.7126
-0.3031	0.1418	0.3347	2.7040
-0.3014	0.1431	0.3337	2.6983
-0.2997	0.1444	0.3327	2.6925
