x	y	r	phi
0.2400	-0.1468	0.2814	-0.5490
0.2383	-0.1481	0.2806	-0.5559
0.2368	-0.1489	0.2798	-0.5614
0.2362	-0.1503	0.2799	-0.5668
0.2364	-0.1520	0.2811	-0.5715
0.2349	-0.1529	0.2803	-0.5770
0.2343	-0.1543	0.2805	-0.5824
0.2336	-0.1556	0.2807	-0.5875
0.2321	-0.1564	0.2799	-0.5929
0.2314	-0.1578	0.2801	-0.5984
0.2307	-0.1590	0.2802	-0.6034
0.2292	-0.1598	0.2794	-0.6089
0.2286	-0.1611	0.2796	-0.6140
0.2279	-0.1624	0.2798	-0.6193
0.2272	-0.1637	0.2800	-0.6244
0.2265	-0.1650	0.2802	-0.6295
0.2258	-0.1663	0.2804	-0.6348
0.2242	-0.1671	0.2796	-0.6403
0.2235	-0.1683	0.2798	-0.6454
0.2228	-0.1696	0.2800	-0.6507
0.2221	-0.1709	0.2802	-0.6557
0.2214	-0.1721	0.2804	-0.6607
0.2196	-0.1732	0.2797	-0.6676
0.2189	-0.1745	0.2799	-0.6729
0.2182	-0.1757	0.2801	-0.6780
0.2175	-0.1769	0.2803	-0.6829
0.2167	-0.1781	0.2805	-0.6879
0.2159	-0.1794	0.2807	-0.6933
0.2152	-0.1806	0.2809	-0.6982
0.2155	-0.1821	0.2821	-0.7016
0.2137	-0.1831	0.2814	-0.7085
0.2121	-0.1838	0.2806	-0.7140
0.2105	-0.1844	0.2798	-0.7196
0.2097	-0.1857	0.2801	-0.7248
0.2089	-0.1869	0.2803	-0.7298
0.2090	-0.1886	0.2815	-0.7342
0.2081	-0.1899	0.2817	-0.7395
0.2074	-0.1910	0.2819	-0.7444
0.2066	-0.1922	0.2822	-0.7493
0.2057	-0.1935	0.2824	-0.7546
0.2049	-0.1946	0.2826	-0.7596
0.2042	-0.1958	0.2829	-0.7644
0.2033	-0.1969	0.2831	-0.7694
0.2025	-0.1982	0.2833	-0.7746
0.2017	-0.1993	0.2836	-0.7795
0.2009	-0.2005	0.2838	-0.7845
0.2000	-0.2017	0.2840	-0.7897
0.1991	-0.2029	0.2843	-0.7946
0.1983	-0.2040	0.2845	-0.7995
0.1974	-0.2052	0.2848	-0.8047
0.1966	-0.2063	0.2850	-0.8096
0.1949	-0.2068	0.2842	-0.8150
0.1940	-0.2081	0.2845	-0.8203
0.1932	-0.2092	0.2847	-0.8252
0.1923	-0.2103	0.2850	-0.8300
0.1914	-0.2115	0.2852	-0.8352
0.1905	-0.2126	0.2855	-0.8400
0.1897	-0.2137	0.2857	-0.8449
0.1896	-0.2154	0.2870	-0.8492
0.1886	-0.2166	0.2872	-0.8543
0.1877	-0.2177	0.2875	-0.8591
0.1868	-0.2188	0.2877	-0.8640
0.1859	-0.2199	0.2880	-0.8691
0.1857	-0.2217	0.2892	-0.8733
0.1841	-0.2221	0.2885	-0.8788
0.1839	-0.2239	0.2897	-0.8833
0.1829	-0.2250	0.2900	-0.8881
0.1820	-0.2261	0.2903	-0.8932
0.1810	-0.2273	0.2905	-0.8983
0.1800	-0.2284	0.2908	-0.9034
0.1790	-0.2295	0.2911	-0.9085
0.1780	-0.2307	0.2913	-0.9136
0.1770	-0.2317	0.2916	-0.9184
0.1760	-0.2328	0.2919	-0.9234
0.1759	-0.2344	0.2931	-0.9269
0.1749	-0.2355	0.2934	-0.9321
0.1739	-0.2366	0.2937	-0.9371
0.1729	-0.2377	0.2939	-0.9419
0.1719	-0.2388	0.2942	-0.9470
0.1715	-0.2406	0.2955	-0.9513
0.1705	-0.2417	0.2958	-0.9564
0.1694	-0.2427	0.2960	-0.9614
0.1684	-0.2438	0.2963	-0.9665
0.1673	-0.2449	0.2966	-0.9715
0.1662	-0.2460	0.2969	-0.9766
0.1652	-0.2471	0.2972	-0.9815
0.1648	-0.2489	0.2985	-0.9859
0.1637	-0.2499	0.2987	-0.9909
0.1633	-0.2517	0.3000	-0.9953
0.1623	-0.2527	0.3003	-0.9999
0.1612	-0.2537	0.3006	-1.0049
0.1601	-0.2548	0.3009	-1.0099
0.1589	-0.2558	0.3012	-1.0149
0.1585	-0.2576	0.3025	-1.0192
0.1574	-0.2586	0.3028	-1.0242
0.1563	-0.2597	0.3031	-1.0291
0.1560	-0.2612	0.3043	-1.0323
0.1549	-0.2622	0.3046	-1.0372
0.1538	-0.2632	0.3049	-1.0422
0.1526	-0.2643	0.3052	-1.0470
0.1515	-0.2653	0.3055	-1.0520
0.1510	-0.2670	0.3067	-1.0563
0.1504	-0.2688	0.3080	-1.0606
0.1493	-0.2698	0.3083	-1.0654
0.1487	-0.2716	0.3096	-1.0698
0.1475	-0.2726	0.3099	-1.0746
0.1458	-0.2727	0.3092	-1.0799
0.1452	-0.2745	0.3105	-1.0841
0.1440	-0.2755	0.3108	-1.0890
0.1435	-0.2772	0.3121	-1.0932
0.1431	-0.2788	0.3134	-1.0965
0.1420	-0.2797	0.3136	-1.1011
0.1413	-0.2814	0.3149	-1.1054
0.1401	-0.2824	0.3152	-1.1102
0.1389	-0.2834	0.3156	-1.1151
0.1383	-0.2851	0.3169	-1.1193
0.1370	-0.2861	0.3172	-1.1242
0.1364	-0.2878	0.3185	-1.1283
0.1351	-0.2887	0.3188	-1.1332
0.1338	-0.2897	0.3191	-1.1380
0.1332	-0.2914	0.3204	-1.1422
0.1319	-0.2923	0.3207	-1.1470
0.1306	-0.2933	0.3210	-1.1518
0.1302	-0.2948	0.3222	-1.1548
0.1290	-0.2957	0.3226	-1.1595
0.1282	-0.2974	0.3239	-1.1637
0.1275	-0.2991	0.3252	-1.1679
0.1268	-0.3009	0.3265	-1.1721
0.1255	-0.3017	0.3268	-1.1765
0.1242	-0.3026	0.3271	-1.1813
0.1229	-0.3035	0.3274	-1.1861
0.1221	-0.3052	0.3287	-1.1902
0.1213	-0.3069	0.3300	-1.1944
0.1200	-0.3078	0.3303	-1.1991
0.1195	-0.3093	0.3316	-1.2020
0.1182	-0.3101	0.3319	-1.2068
0.1174	-0.3118	0.3332	-1.2109
0.1165	-0.3136	0.3345	-1.2151
0.1157	-0.3153	0.3358	-1.2191
0.1143	-0.3161	0.3361	-1.2239
0.1129	-0.3169	0.3365	-1.2285
0.1120	-0.3187	0.3378	-1.2327
0.1107	-0.3195	0.3381	-1.2374
0.1101	-0.3210	0.3393	-1.2403
0.1092	-0.3227	0.3406	-1.2444
0.1078	-0.3235	0.3410	-1.2491
0.1069	-0.3252	0.3423	-1.2532
0.1060	-0.3268	0.3436	-1.2572
0.1050	-0.3285	0.3449	-1.2614
0.1037	-0.3293	0.3452	-1.2658
0.1027	-0.3309	0.3465	-1.2698
0.1020	-0.3325	0.3478	-1.2730
0.1006	-0.3333	0.3481	-1.2777
0.0996	-0.3349	0.3494	-1.2817
0.0987	-0.3365	0.3507	-1.2856
0.0977	-0.3382	0.3520	-1.2896
0.0962	-0.3390	0.3524	-1.2943
0.0952	-0.3406	0.3537	-1.2983
0.0937	-0.3414	0.3540	-1.3029
0.0927	-0.3430	0.3553	-1.3069
0.0920	-0.3445	0.3566	-1.3098
0.0909	-0.3461	0.3579	-1.3139
0.0898	-0.3478	0.3592	-1.3180
0.0884	-0.3485	0.3595	-1.3223
0.0873	-0.3501	0.3608	-1.3264
0.0863	-0.3517	0.3621	-1.3301
0.0861	-0.3540	0.3643	-1.3322
0.0846	-0.3547	0.3647	-1.3367
0.0835	-0.3563	0.3660	-1.3405
0.0825	-0.3579	0.3673	-1.3442
0.0814	-0.3594	0.3686	-1.3480
0.0808	-0.3619	0.3708	-1.3512
0.0792	-0.3626	0.3712	-1.3557
0.0785	-0.3640	0.3724	-1.3584
0.0774	-0.3656	0.3737	-1.3621
0.0762	-0.3672	0.3750	-1.3662
0.0751	-0.3687	0.3763	-1.3699
0.0740	-0.3703	0.3776	-1.3736
0.0728	-0.3719	0.3789	-1.3774
0.0713	-0.3725	0.3792	-1.3816
0.0708	-0.3748	0.3815	-1.3841
0.0697	-0.3764	0.3828	-1.3877
0.0685	-0.3779	0.3841	-1.3915
0.0672	-0.3795	0.3854	-1.3955
0.0660	-0.3810	0.3867	-1.3993
0.0648	-0.3825	0.3880	-1.4030
0.0633	-0.3831	0.3883	-1.4072
0.0627	-0.3855	0.3905	-1.4097
0.0614	-0.3870	0.3918	-1.4133
0.0599	-0.3876	0.3922	-1.4176
0.0586	-0.3891	0.3935	-1.4213
0.0572	-0.3906	0.3948	-1.4253
0.0560	-0.3921	0.3961	-1.4291
0.0554	-0.3944	0.3983	-1.4312
0.0540	-0.3960	0.3996	-1.4352
0.0527	-0.3974	0.4009	-1.4389
0.0511	-0.3980	0.4013	-1.4431
0.0498	-0.3995	0.4026	-1.4469
0.0488	-0.4019	0.4048	-1.4500
0.0473	-0.4034	0.4062	-1.4541
0.0467	-0.4057	0.4084	-1.4562
0.0456	-0.4081	0.4107	-1.4595
0.0441	-0.4096	0.4120	-1.4635
0.0427	-0.4111	0.4133	-1.4672
0.0413	-0.4126	0.4146	-1.4710
0.0405	-0.4149	0.4168	-1.4734
0.0391	-0.4163	0.4181	-1.4771
0.0380	-0.4187	0.4204	-1.4804
0.0365	-0.4202	0.4218	-1.4842
0.0353	-0.4226	0.4240	-1.4874
0.0337	-0.4240	0.4254	-1.4914
0.0327	-0.4253	0.4266	-1.4940
0.0315	-0.4277	0.4289	-1.4974
0.0301	-0.4302	0.4312	-1.5009
0.0286	-0.4316	0.4325	-1.5047
0.0270	-0.4330	0.4338	-1.5084
0.0261	-0.4353	0.4361	-1.5109
0.0246	-0.4367	0.4374	-1.5146
0.0232	-0.4390	0.4397	-1.5179
0.0219	-0.4414	0.4420	-1.5213
0.0205	-0.4438	0.4442	-1.5245
0.0195	-0.4461	0.4465	-1.5271
0.0179	-0.4474	0.4478	-1.5308
0.0163	-0.4488	0.4491	-1.5346
0.0147	-0.4512	0.4514	-1.5381
0.0131	-0.4525	0.4527	-1.5419
0.0121	-0.4548	0.4549	-1.5441
0.0105	-0.4571	0.4573	-1.5478
0.0090	-0.4595	0.4596	-1.5512
0.0075	-0.4618	0.4619	-1.5545
0.0060	-0.4641	0.4642	-1.5579
0.0048	-0.4664	0.4664	-1.5604
