x	y	r	phi
-0.2397	0.3927	0.4601	2.1188
-0.2385	0.3943	0.4608	2.1147
-0.2373	0.3959	0.4615	2.1107
-0.2356	0.3965	0.4612	2.1070
-0.2344	0.3981	0.4620	2.1029
-0.2338	0.4015	0.4646	2.0981
-0.2325	0.4031	0.4653	2.0940
-0.2308	0.4037	0.4650	2.0901
-0.2302	0.4061	0.4668	2.0866
-0.2289	0.4076	0.4675	2.0826
-0.2276	0.4092	0.4682	2.0784
-0.2262	0.4107	0.4689	2.0743
-0.2251	0.4132	0.4706	2.0697
-0.2238	0.4148	0.4713	2.0655
-0.2229	0.4161	0.4721	2.0625
-0.2215	0.4177	0.4727	2.0583
-0.2204	0.4201	0.4744	2.0539
-0.2189	0.4217	0.4751	2.0495
-0.2174	0.4232	0.4758	2.0454
-0.2163	0.4257	0.4775	2.0410
-0.2153	0.4270	0.4783	2.0378
-0.2139	0.4285	0.4790	2.0338
-0.2123	0.4301	0.4796	2.0294
-0.2111	0.4325	0.4813	2.0249
-0.2097	0.4340	0.4820	2.0208
-0.2084	0.4365	0.4837	2.0163
-0.2074	0.4378	0.4845	2.0132
-0.2059	0.4393	0.4851	2.0091
-0.2045	0.4418	0.4868	2.0044
-0.2030	0.4432	0.4875	2.0003
-0.2017	0.4457	0.4892	1.9958
-0.2001	0.4471	0.4899	1.9917
-0.1993	0.4494	0.4916	1.9882
-0.1979	0.4519	0.4933	1.9835
-0.1962	0.4533	0.4940	1.9793
-0.1949	0.4557	0.4956	1.9749
-0.1933	0.4572	0.4963	1.9708
-0.1924	0.4594	0.4981	1.9673
-0.1906	0.4609	0.4987	1.9629
-0.1891	0.4633	0.5004	1.9584
-0.1877	0.4657	0.5021	1.9540
-0.1860	0.4671	0.5028	1.9498
-0.1845	0.4695	0.5044	1.9453
-0.1834	0.4718	0.5062	1.9416
-0.1817	0.4732	0.5069	1.9375
-0.1802	0.4755	0.5085	1.9330
-0.1786	0.4779	0.5102	1.9285
-0.1771	0.4803	0.5119	1.9241
-0.1753	0.4816	0.5126	1.9199
-0.1741	0.4839	0.5143	1.9162
-0.1725	0.4863	0.5160	1.9117
-0.1709	0.4886	0.5176	1.9072
-0.1693	0.4909	0.5193	1.9028
-0.1675	0.4933	0.5209	1.8981
-0.1662	0.4955	0.5227	1.8944
-0.1642	0.4969	0.5233	1.8900
-0.1624	0.4992	0.5250	1.8852
