x	y	r	phi
-0.3599	0.1346	0.3842	2.7838
-0.3589	0.1360	0.3838	2.7793
-0.3580	0.1374	0.3834	2.7752
-0.3569	0.1388	0.3830	2.7706
-0.3549	0.1400	0.3815	2.7660
-0.3540	0.1413	0.3811	2.7618
-0.3540	0.1430	0.3818	2.7577
-0.3530	0.1444	0.3814	2.7533
-0.3520	0.1457	0.3810	2.7491
-0.3499	0.1469	0.3795	2.7441
