x	y	r	phi
0.3590	-0.0500	0.3625	-0.1383
0.3567	-0.0524	0.3605	-0.1460
0.3553	-0.0545	0.3594	-0.1523
0.3539	-0.0570	0.3585	-0.1596
0.3525	-0.0591	0.3574	-0.1662
0.3512	-0.0615	0.3565	-0.1734
0.3497	-0.0635	0.3554	-0.1797
0.3482	-0.0656	0.3543	-0.1863
0.3468	-0.0680	0.3534	-0.1936
0.3463	-0.0697	0.3532	-0.1986
0.3447	-0.0716	0.3521	-0.2048
0.3433	-0.0740	0.3512	-0.2124
0.3418	-0.0760	0.3501	-0.2187
0.3402	-0.0779	0.3490	-0.2250
0.3397	-0.0799	0.3490	-0.2309
0.3382	-0.0819	0.3479	-0.2375
0.3366	-0.0838	0.3468	-0.2439
0.3351	-0.0860	0.3459	-0.2512
0.3344	-0.0877	0.3457	-0.2563
0.3328	-0.0895	0.3447	-0.2627
0.3313	-0.0917	0.3437	-0.2699
0.3306	-0.0933	0.3436	-0.2751
0.3300	-0.0949	0.3433	-0.2800
0.3284	-0.0970	0.3424	-0.2873
0.3277	-0.0987	0.3423	-0.2925
0.3260	-0.1004	0.3411	-0.2988
0.3244	-0.1025	0.3402	-0.3060
0.3237	-0.1041	0.3401	-0.3112
0.3230	-0.1056	0.3398	-0.3161
0.3214	-0.1077	0.3389	-0.3234
0.3206	-0.1093	0.3387	-0.3284
0.3199	-0.1108	0.3385	-0.3333
0.3182	-0.1128	0.3376	-0.3405
0.3175	-0.1143	0.3374	-0.3456
0.3157	-0.1159	0.3363	-0.3519
0.3150	-0.1177	0.3363	-0.3577
0.3142	-0.1193	0.3361	-0.3628
0.3134	-0.1207	0.3359	-0.3676
0.3117	-0.1226	0.3349	-0.3748
0.3109	-0.1241	0.3348	-0.3798
0.3101	-0.1255	0.3345	-0.3846
0.3093	-0.1270	0.3343	-0.3897
0.3085	-0.1287	0.3343	-0.3953
0.3067	-0.1303	0.3332	-0.4016
0.3058	-0.1317	0.3330	-0.4066
0.3050	-0.1334	0.3329	-0.4122
0.3042	-0.1348	0.3327	-0.4170
0.3033	-0.1362	0.3325	-0.4220
0.3025	-0.1375	0.3323	-0.4268
0.3016	-0.1392	0.3322	-0.4324
0.3007	-0.1405	0.3319	-0.4371
0.2999	-0.1419	0.3317	-0.4420
0.2990	-0.1432	0.3315	-0.4468
0.2981	-0.1449	0.3314	-0.4523
0.2972	-0.1462	0.3312	-0.4573
